# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.164
metadata : {}


# id : NWRW1800000038.164.1.1
정용진 부회장에 벌금 최고형

정용진	정용진/NNP
부회장에	부회장/NNG+에/JKB
벌금	벌금/NNG
최고형	최고형/NNG


# id : NWRW1800000038.164.2.1
법원, 1500만원 선고… "같은 범행 반복땐 징역형" 경고

법원,	법원/NNG+,/SP
1500만원	1500/SN+만/NR+원/NNB
선고…	선고/NNG+…/SE
"같은	"/SS+같/VA+은/ETM
범행	범행/NNG
반복땐	반복/NNG+때/NNG+ㄴ/JX
징역형"	징역형/NNG+"/SS
경고	경고/NNG


# id : NWRW1800000038.164.3.1
지난해 국회 국정감사와 청문회의 증인으로 채택됐지만 정당한 이유 없이 출석하지 않은 혐의로 재판에 넘겨진 정용진(鄭溶鎭·사진) 신세계그룹 부회장에게 법원이 검찰 구형(벌금 700만원)보다 높은 벌금 1500만원을 선고했다.

지난해	지난해/NNG
국회	국회/NNG
국정감사와	국정/NNG+감사/NNG+와/JC
청문회의	청문회/NNG+의/JKG
증인으로	증인/NNG+으로/JKB
채택됐지만	채택/NNG+되/XSV+었/EP+지만/EC
정당한	정당하/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
출석하지	출석/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
혐의로	혐의/NNG+로/JKB
재판에	재판/NNG+에/JKB
넘겨진	넘기/VV+어/EC+지/VX+ㄴ/ETM
정용진(鄭溶鎭·사진)	정용진/NNP+(/SS+鄭溶鎭/SH+·/SP+사진/NNG+)/SS
신세계그룹	신세계그룹/NNP
부회장에게	부회장/NNG+에게/JKB
법원이	법원/NNG+이/JKS
검찰	검찰/NNG
구형(벌금	구형/NNG+(/SS+벌금/NNG
700만원)보다	700/SN+만/NR+원/NNB+)/SS+보다/JKB
높은	높/VA+은/ETM
벌금	벌금/NNG
1500만원을	1500/SN+만/NR+원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.3.2
법원은 정 부회장에게 "같은 범행을 반복하면 징역형을 선고할 수 있다"는 뜻을 밝혀 주목을 받았다.

법원은	법원/NNG+은/JX
정	정/NNP
부회장에게	부회장/NNG+에게/JKB
"같은	"/SS+같/VA+은/ETM
범행을	범행/NNG+을/JKO
반복하면	반복/NNG+하/XSV+면/EC
징역형을	징역형/NNG+을/JKO
선고할	선고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"는	있/VA+다/EF+"/SS+는/ETM
뜻을	뜻/NNG+을/JKO
밝혀	밝히/VV+어/EC
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.4.1
서울중앙지법 형사8단독(재판장 소병석)은 18일 대형 유통업체의 무분별한 사업 확장 등에 대한 국회 국정감사와 청문회에 세 차례 출석하지 않은 혐의로 기소된 정 부회장에게 처할 수 있는 벌금형 중 최고형인 1500만원을 선고했다.

서울중앙지법	서울중앙지법/NNP
형사8단독(재판장	형사/NNG+8/SN+단독/NNG+(/SS+재판장/NNG
소병석)은	소병석/NNP+)/SS+은/JX
18일	18/SN+일/NNB
대형	대형/NNG
유통업체의	유통업체/NNG+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
사업	사업/NNG
확장	확장/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
국정감사와	국정/NNG+감사/NNG+와/JC
청문회에	청문회/NNG+에/JKB
세	세/MMN
차례	차례/NNG
출석하지	출석/NNG+하/XSV+지/EC
