# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.174
metadata : {}


# id : NWRW1800000054.174.1.1
"삼성동(박 前대통령 옛날집)에 진짜 돈 있을까" 특검, 한때 압수수색 검토

"삼성동(박	"/SS+삼성동/NNP+(/SS+박/NNP
前대통령	前/SH+대통령/NNG
옛날집)에	옛날/NNG+집/NNG+)/SS+에/JKB
진짜	진짜/MAG
돈	돈/NNG
있을까"	있/VA+을까/EF+"/SS
특검,	특검/NNG+,/SP
한때	한때/MAG
압수수색	압수/NNG+수색/NNG
검토	검토/NNG


# id : NWRW1800000054.174.2.1
장시호가 폭로한 최순실 귓속말 진위 여부 파악 위해 고민

장시호가	장시호/NNP+가/JKS
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
최순실	최순실/NNP
귓속말	귓속말/NNG
진위	진위/NNG
여부	여부/NNG
파악	파악/NNG
위해	위하/VV+아/EC
고민	고민/NNG


# id : NWRW1800000054.174.3.1
박영수 특검팀이 지난 1월 말 수사 당시 박근혜(65) 전 대통령의 서울 삼성동 자택에 대한 압수 수색을 검토했던 것으로 25일 알려졌다.

박영수	박영수/NNP
특검팀이	특검/NNG+팀/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
말	말/NNB
수사	수사/NNG
당시	당시/NNG
박근혜(65)	박근혜/NNP+(/SS+65/SN+)/SS
전	전/MMD
대통령의	대통령/NNG+의/JKG
서울	서울/NNP
삼성동	삼성동/NNP
자택에	자택/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수	압수/NNG
수색을	수색/NNG+을/JKO
검토했던	검토/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
25일	25/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.174.4.1
특검 관계자 등에 따르면 특검팀은 당시 최순실(61)씨의 조카 장시호(38)씨에게 "이모(최씨)가 박 전 대통령의 삼성동 집 2층에 돈이 있다고 했다"는 진술을 확보한 뒤 그 진위를 확인하기 위해 압수 수색을 추진했다는 것이다.

특검	특검/NNG
관계자	관계자/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
특검팀은	특검/NNG+팀/NNG+은/JX
당시	당시/NNG
최순실(61)씨의	최순실/NNP+(/SS+61/SN+)/SS+씨/NNB+의/JKG
조카	조카/NNG
장시호(38)씨에게	장시호/NNP+(/SS+38/SN+)/SS+씨/NNB+에게/JKB
"이모(최씨)가	"/SS+이모/NNG+(/SS+최/NNP+씨/NNB+)/SS+가/JKS
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
삼성동	삼성동/NNP
집	집/NNG
2층에	2/SN+층/NNG+에/JKB
돈이	돈/NNG+이/JKS
있다고	있/VA+다고/EC
했다"는	하/VV+았/EP+다/EF+"/SS+는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
진위를	진위/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
압수	압수/NNG
수색을	수색/NNG+을/JKO
추진했다는	추진/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.174.4.2
박 전 대통령은 지난 20일 이 집을 67억5000만원을 받고 마리오아울렛 홍성열 회장에게 매각한 바 있다.

박	박/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
이	이/MMD
집을	집/NNG+을/JKO
67억5000만원을	67/SN+억/NR+5000/SN+만/NR+원/NNB+을/JKO
받고	받/VV+고/EC
마리오아울렛	마리오아울렛/NNP
홍성열	홍성열/NNP
회장에게	회장/NNG+에게/JKB
매각한	매각/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.174.5.1
이와 관련, 특검팀은 지난 24일 서울중앙지법에서 열린 공판에서 "작년 12월 4일 이모와 함께 검찰 조사를 받던 중 이모가 앞에 놓인 A4 용지에 '삼성동 2층 방, 유주 유치원'이라고 메모해 보여줬고, 나에게 귓속말로 '삼성동 2층 방에 돈이 있다. 그 돈 갖고 유연이(최씨 딸 정유라씨의 개명 전 이름)와 유주(정씨의 아들) 잘 키워'라고 말했다"는 장씨의 진술 조서를 공개했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
특검팀은	특검/NNG+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
서울중앙지법에서	서울중앙지법/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
공판에서	공판/NNG+에서/JKB
"작년	"/SS+작년/NNG
12월	12/SN+월/NNB
4일	4/SN+일/NNB
이모와	이모/NNG+와/JKB
함께	함께/MAG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받던	받/VV+던/ETM
중	중/NNB
이모가	이모/NNG+가/JKS
앞에	앞/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
A4	A/SL+4/SN
