# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.317
metadata : {}


# id : NWRW1800000021.317.1.1
내년 폐기물 자원화 사업에 762억원 쏟기로

내년	내년/NNG
폐기물	폐기물/NNG
자원화	자원/NNG+화/XSN
사업에	사업/NNG+에/JKB
762억원	762/SN+억/NR+원/NNB
쏟기로	쏟/VV+기/ETN+로/JKB


# id : NWRW1800000021.317.2.1
정부가 28일 국무회의를 열어 의결한 내년도 환경 분야 예산 중 눈에 띄는 부분은 폐기물에너지 자원화, 기후변화 대응 등 저탄소 녹색성장 분야다.

정부가	정부/NNG+가/JKS
28일	28/SN+일/NNB
국무회의를	국무/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
의결한	의결/NNG+하/XSV+ㄴ/ETM
내년도	내년도/NNG
환경	환경/NNG
분야	분야/NNG
예산	예산/NNG
중	중/NNB
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
부분은	부분/NNG+은/JX
폐기물에너지	폐기물/NNG+에너지/NNG
자원화,	자원/NNG+화/XSN+,/SP
기후변화	기후/NNG+변화/NNG
대응	대응/NNG
등	등/NNB
저탄소	저/XPN+탄소/NNG
녹색성장	녹색/NNG+성장/NNG
분야다.	분야/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.317.2.2
단순 소각하거나 매립하던 폐기물을 에너지원으로 활용하는 폐기물자원화 사업 예산은 올해 359억 원에서 내년에는 762억 원으로 2배 이상으로 늘어났다.

단순	단순/NNG
소각하거나	소각/NNG+하/XSV+거나/EC
매립하던	매립/NNG+하/XSV+던/ETM
폐기물을	폐기물/NNG+을/JKO
에너지원으로	에너지원/NNG+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
폐기물자원화	폐기물/NNG+자원/NNG+화/XSN
사업	사업/NNG
예산은	예산/NNG+은/JX
올해	올해/NNG
359억	359/SN+억/NR
원에서	원/NNB+에서/JKB
내년에는	내년/NNG+에/JKB+는/JX
762억	762/SN+억/NR
원으로	원/NNB+으로/JKB
2배	2/SN+배/NNG
이상으로	이상/NNG+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.2.3
환경부는 폐기물 에너지화 종합대책에서 현재 매립하거나 바다에 버리는 가연성 폐기물과 유기성 폐기물을 2020년까지 전량 에너지화하기로 했다.

환경부는	환경부/NNG+는/JX
폐기물	폐기물/NNG
에너지화	에너지/NNG+화/XSN
종합대책에서	종합/NNG+대책/NNG+에서/JKB
현재	현재/MAG
매립하거나	매립/NNG+하/XSV+거나/EC
바다에	바다/NNG+에/JKB
버리는	버리/VV+는/ETM
가연성	가연/NNG+성/XSN
폐기물과	폐기물/NNG+과/JC
유기성	유기성/NNG
폐기물을	폐기물/NNG+을/JKO
2020년까지	2020/SN+년/NNB+까지/JX
전량	전량/NNG
에너지화하기로	에너지/NNG+화/XSN+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.317.2.4
2012년까지는 고형연료화(RDF) 시설 20곳과 전용발전 시설 10곳, 바이오가스화 및 발전시설 23곳을 확충한다.

2012년까지는	2012/SN+년/NNB+까지/JX+는/JX
고형연료화(RDF)	고형/NNG+연료/NNG+화/XSN+(/SS+RDF/SL+)/SS
시설	시설/NNG
20곳과	20/SN+곳/NNG+과/JC
전용발전	전용/NNG+발전/NNG
10곳,	10/SN+곳/NNG+,/SP
바이오가스화	바이오가스/NNG+화/XSN
및	및/MAG
발전시설	발전/NNG+시설/NNG
23곳을	23/SN+곳/NNG+을/JKO
확충한다.	확충/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.317.2.5
매립가스와 소각여열 회수 지원사업도 추진한다.

