# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.101
metadata : {}


# id : NWRW1800000045.101.1.1
“문화관광산업은 한국 경제도약을 이끌 성장엔진”

“문화관광산업은	“/SS+문화/NNG+관광/NNG+산업/NNG+은/JX
한국	한국/NNP
경제도약을	경제/NNG+도약/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
성장엔진”	성장/NNG+엔진/NNG+”/SS


# id : NWRW1800000045.101.2.1
[대한민국 문화관광 산업대상/심사평]

[대한민국	[/SS+대한민국/NNP
문화관광	문화/NNG+관광/NNG
산업대상/심사평]	산업/NNG+대상/NNG+//SP+심사/NNG+평/NNG+]/SS


# id : NWRW1800000045.101.3.1
2015년도 ‘문화관광 산업대상’을 수상하게 된 24개 기업 및 기관과 그 임직원 여러분, 그리고 문화관광 발전을 위해 많은 공헌을 하신 분들께 축하의 말씀을 드립니다.

2015년도	2015/SN+년도/NNB
‘문화관광	‘/SS+문화/NNG+관광/NNG
산업대상’을	산업/NNG+대상/NNG+’/SS+을/JKO
수상하게	수상/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
24개	24/SN+개/NNB
기업	기업/NNG
및	및/MAG
기관과	기관/NNG+과/JC
그	그/MMD
임직원	임직원/NNG
여러분,	여러분/NP+,/SP
그리고	그리고/MAJ
문화관광	문화/NNG+관광/NNG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
많은	많/VA+은/ETM
공헌을	공헌/NNG+을/JKO
하신	하/VV+시/EP+ㄴ/ETM
분들께	분/NNB+들/XSN+께/JKB
축하의	축하/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
드립니다.	드리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.3.2
올해 메르스를 포함하여 문화관광산업은 여러 가지 도전이 있었습니다만, 이러한 어려움에도 불구하고 수상에 이르기까지 많은 노력을 하셨을 여러분들께 다시 한번 아낌없는 찬사와 격려를 보냅니다.

올해	올해/NNG
메르스를	메르스/NNG+를/JKO
포함하여	포함/NNG+하/XSV+아/EC
문화관광산업은	문화/NNG+관광/NNG+산업/NNG+은/JX
여러	여러/MMN
가지	가지/NNB
도전이	도전/NNG+이/JKS
있었습니다만,	있/VA+었/EP+습니다/EF+만/JX+,/SP
이러한	이러하/VA+ㄴ/ETM
어려움에도	어려움/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
수상에	수상/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
많은	많/VA+은/ETM
노력을	노력/NNG+을/JKO
하셨을	하/VV+시/EP+었/EP+을/ETM
여러분들께	여러분/NP+들/XSN+께/JKB
다시	다시/MAG
한번	한/MMN+번/NNB
아낌없는	아낌없/VA+는/ETM
찬사와	찬사/NNG+와/JC
격려를	격려/NNG+를/JKO
보냅니다.	보내/VV+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.3.3
특히 본 시상이 올해 시작되는 문화관광산업분야의 유일한 시상이라는 점에서 수상기업 및 수상자 여러분들께도 더 의미 있는 수상이 되리라고 생각됩니다.

특히	특히/MAG
본	본/MMD
시상이	시상/NNG+이/JKS
올해	올해/NNG
시작되는	시작/NNG+되/XSV+는/ETM
문화관광산업분야의	문화/NNG+관광/NNG+산업/NNG+분야/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
시상이라는	시상/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
수상기업	수상/NNG+기업/NNG
및	및/MAG
수상자	수상자/NNG
여러분들께도	여러분/NP+들/XSN+께/JKB+도/JX
더	더/MAG
의미	의미/NNG
있는	있/VA+는/ETM
수상이	수상/NNG+이/JKC
되리라고	되/VV+리라고/EC
생각됩니다.	생각/NNG+되/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.4.1
한국의 관광시장 규모는 상당히 빠르게 늘어나고 있습니다.

한국의	한국/NNP+의/JKG
관광시장	관광/NNG+시장/NNG
규모는	규모/NNG+는/JX
상당히	상당히/MAG
빠르게	빠르/VA+게/EC
늘어나고	늘어나/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000045.101.4.2
작년 말에는 들어오고 나가는 관광객을 모두 합쳐 3000만 명이 넘었고, 2018년경에는 한국의 관광객 수가 5000만 명 이상이 되지 않겠느냐는 전망입니다.

작년	작년/NNG
말에는	말/NNB+에/JKB+는/JX
들어오고	들어오/VV+고/EC
나가는	나가/VV+는/ETM
관광객을	관광객/NNG+을/JKO
모두	모두/MAG
합쳐	합치/VV+어/EC
3000만	3000/SN+만/NR
명이	명/NNB+이/JKS
넘었고,	넘/VV+었/EP+고/EC+,/SP
2018년경에는	2018/SN+년/NNB+경/XSN+에/JKB+는/JX
한국의	한국/NNP+의/JKG
관광객	관광객/NNG
수가	수/NNG+가/JKS
5000만	5000/SN+만/NR
명	명/NNB
이상이	이상/NNG+이/JKC
되지	되/VV+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
전망입니다.	전망/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.101.4.3
정부에서도 관광·콘텐츠 부문을 포함해 7대 서비스 산업을 직접 육성해 15조 원의 투자를 유치하겠다는 입장이고, 이를 통해 관광산업이 1, 2, 3차 산업 모두에 활력을 줄 것으로 기대하고 있습니다.

정부에서도	정부/NNG+에서/JKB+도/JX
관광·콘텐츠	관광/NNG+·/SP+콘텐츠/NNG
부문을	부문/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
7대	7/SN+대/NNG
서비스	서비스/NNG
산업을	산업/NNG+을/JKO
직접	직접/MAG
육성해	육성/NNG+하/XSV+아/EC
15조	15/SN+조/NR
원의	원/NNB+의/JKG
투자를	투자/NNG+를/JKO
유치하겠다는	유치/NNG+하/XSV+겠/EP+다는/ETM
입장이고,	입장/NNG+이/VCP+고/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
관광산업이	관광/NNG+산업/NNG+이/JKS
1,	1/SN+,/SP
2,	2/SN+,/SP
3차	3/SN+차/NNB
산업	산업/NNG
모두에	모두/NNG+에/JKB
활력을	활력/NNG+을/JKO
줄	주/VV+ㄹ/ETM
