# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.384
metadata : {}


# id : NWRW1800000030.384.1.1
[수도권] [서울人] 도시계획 박사 출신 강홍빈 서울역사박물관장

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
[서울人]	[/SS+서울/NNP+人/SH+]/SS
도시계획	도시/NNG+계획/NNG
박사	박사/NNG
출신	출신/NNG
강홍빈	강홍빈/NNP
서울역사박물관장	서울역사박물관장/NNG


# id : NWRW1800000030.384.2.1
•"박물관은 기억의 저장고, 서울의 뿌리를 찾아보세요"

•"박물관은	•/SW+"/SS+박물관/NNG+은/JX
기억의	기억/NNG+의/JKG
저장고,	저장고/NNG+,/SP
서울의	서울/NNP+의/JKG
뿌리를	뿌리/NNG+를/JKO
찾아보세요"	찾아보/VV+시/EP+어요/EF+"/SS


# id : NWRW1800000030.384.3.1
서울 경희궁 옆에 자리 잡은 서울역사박물관은 '서울에 있는 역사박물관'인지 '서울 역사를 다루는 박물관'인지 모호하게 다가온다.

서울	서울/NNP
경희궁	경희궁/NNP
옆에	옆/NNG+에/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
서울역사박물관은	서울역사박물관/NNP+은/JX
'서울에	'/SS+서울/NNP+에/JKB
있는	있/VA+는/ETM
역사박물관'인지	역사/NNG+박물관/NNG+'/SS+이/VCP+ㄴ지/EC
'서울	'/SS+서울/NNP
역사를	역사/NNG+를/JKO
다루는	다루/VV+는/ETM
박물관'인지	박물관/NNG+'/SS+이/VCP+ㄴ지/EC
모호하게	모호하/VA+게/EC
다가온다.	다가오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.384.3.2
서울역사박물관의 강홍빈(66) 관장은 "시의원들도 '서울역사박물관'이 '대한민국역사박물관'과 어떻게 다르냐고 질문한다"고 밝힌 뒤 "우리 박물관은 서울의 역사를 다루고 서울의 정체성을 밝히는 곳"이라고 말했다.

서울역사박물관의	서울역사박물관/NNP+의/JKG
강홍빈(66)	강홍빈/NNP+(/SS+66/SN+)/SS
관장은	관장/NNG+은/JX
"시의원들도	"/SS+시/NNG+의원/NNG+들/XSN+도/JX
'서울역사박물관'이	'/SS+서울역사박물관/NNP+'/SS+이/JKS
'대한민국역사박물관'과	'/SS+대한민국역사박물관/NNP+'/SS+과/JKB
어떻게	어떻/VA+게/EC
다르냐고	다르/VA+냐고/EC
질문한다"고	질문/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
"우리	"/SS+우리/NP
박물관은	박물관/NNG+은/JX
서울의	서울/NNP+의/JKG
역사를	역사/NNG+를/JKO
다루고	다루/VV+고/EC
정체성을	정체/NNG+성/XSN+을/JKO
밝히는	밝히/VV+는/ETM
곳"이라고	곳/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.384.4.1
달리 말해 서울역사박물관은 서울의 구체적인 장소와 사람을 다룬다고 말했다.

달리	달리/MAG
말해	말/NNG+하/XSV+아/EC
서울역사박물관은	서울역사박물관/NNP+은/JX
서울의	서울/NNP+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
장소와	장소/NNG+와/JC
사람을	사람/NNG+을/JKO
다룬다고	다루/VV+ㄴ다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.384.4.2
강 관장은 "예를 들어 서울의 종로가 어떻게 근대를 거치면서 서민들의 공간으로 바뀌었는지 자료 발굴과 전시를 통해 보여주는 것"이라고 설명했다.

강	강/NNP
관장은	관장/NNG+은/JX
