# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.231
metadata : {}


# id : NWRW1800000022.231.1.1
[충청] 90세 이상 노인, 장수축하금 받는다

[충청]	[/SS+충청/NNP+]/SS
90세	90/SN+세/NNB
이상	이상/NNG
노인,	노인/NNG+,/SP
장수축하금	장수/NNG+축하금/NNG
받는다	받/VV+는다/EF


# id : NWRW1800000022.231.2.1
대전시가 90세 이상 노인에게 생일 때 장수축하금을 지급하는 방안을 검토 중이다.

대전시가	대전시/NNP+가/JKS
90세	90/SN+세/NNB
이상	이상/NNG
노인에게	노인/NNG+에게/JKB
생일	생일/NNG
때	때/NNG
장수축하금을	장수/NNG+축하금/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.231.3.1
3월 말 현재 대전에 거주하는 90세 이상 노인은 2177명으로 이 가운데 100세 이상 노인은 모두 56명이다.

3월	3/SN+월/NNB
말	말/NNB
현재	현재/MAG
대전에	대전/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
90세	90/SN+세/NNB
이상	이상/NNG
노인은	노인/NNG+은/JX
2177명으로	2177/SN+명/NNB+으로/JKB
이	이/MMD
가운데	가운데/NNG
100세	100/SN+세/NNB
모두	모두/MAG
56명이다.	56/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.231.4.1
시는 이와 관련, 조례를 개정해 이르면 내년부터 90세 이상 노인에 30만원, 100세 이상 노인에게 100만원의 장수축하금을 생일날 지급한다는 방침이다.

시는	시/NNG+는/JX
이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
조례를	조례/NNG+를/JKO
개정해	개정/NNG+하/XSV+아/EC
이르면	이르/VV+면/EC
내년부터	내년/NNG+부터/JX
90세	90/SN+세/NNB
이상	이상/NNG
노인에	노인/NNG+에/JKB
30만원,	30/SN+만/NR+원/NNB+,/SP
100세	100/SN+세/NNB
노인에게	노인/NNG+에게/JKB
100만원의	100/SN+만/NR+원/NNB+의/JKG
장수축하금을	장수/NNG+축하금/NNG+을/JKO
생일날	생일날/NNG
지급한다는	지급/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.231.5.1
시는 이와 함께 효 문화 확산을 위한 연구활동 및 전문인력 양성 등을 위한 '효문화지원센터' 설립도 구상하고 있다.

시는	시/NNG+는/JX
이와	이/NP+와/JKB
함께	함께/MAG
효	효/NNG
문화	문화/NNG
확산을	확산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연구활동	연구/NNG+활동/NNG
및	및/MAG
전문인력	전문/NNG+인력/NNG
양성	양성/NNG
등을	등/NNB+을/JKO
'효문화지원센터'	'/SS+효/NNG+문화/NNG+지원/NNG+센터/NNG+'/SS
설립도	설립/NNG+도/JX
구상하고	구상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.231.6.1
시 관계자는 "앞으로 노인복지관과 경로당을 지속적으로 확충하는 등 노인여가시설을 확대하고 장수건강 프로그램의 보급에도 앞장서겠다"고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
노인복지관과	노인/NNG+복지관/NNG+과/JC
경로당을	경로당/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
확충하는	확충/NNG+하/XSV+는/ETM
등	등/NNB
노인여가시설을	노인/NNG+여가/NNG+시설/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
장수건강	장수/NNG+건강/NNG
프로그램의	프로그램/NNG+의/JKG
보급에도	보급/NNG+에/JKB+도/JX
앞장서겠다"고	앞장서/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.231.7.1
한국정책평가연구원이 최근 20년간 시·도별 자연재해 사망률 분석에 따르면 전국 평균은 151명이나 대전은 4명에 불과, 안전한 도시로 나타났다.

한국정책평가연구원이	한국정책평가연구원/NNP+이/JKS
최근	최근/MAG
20년간	20/SN+년/NNB+간/XSN
시·도별	시·도/NNG+별/XSN
자연재해	자연재해/NNG
사망률	사망/NNG+률/XSN
분석에	분석/NNG+에/JKB
따르면	따르/VV+면/EC
전국	전국/NNG
평균은	평균/NNG+은/JX
151명이나	151/SN+명/NNB+이/VCP+나/EC
대전은	대전/NNP+은/JX
4명에	4/SN+명/NNB+에/JKB
불과,	불과/MAG+,/SP
안전한	안전/NNG+하/XSA+ㄴ/ETM
도시로	도시/NNG+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.231.7.2
통계청 발표 평균 수명은 서울 80.39세, 제주 79.30세, 대전 79.21세로 3위이다.

통계청	통계청/NNG
발표	발표/NNG
평균	평균/NNG
수명은	수명/NNG+은/JX
서울	서울/NNP
80.39세,	80/SN+./SP+39/SN+세/NNB+,/SP
제주	제주/NNP
79.30세,	79/SN+./SP+30/SN+세/NNB+,/SP
대전	대전/NNP
79.21세로	79/SN+./SP+21/SN+세/NNB+로/JKB
3위이다.	3/SN+위/NNB+이/VCP+다/EF+./SF


