# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.410
metadata : {}


# id : NWRW1800000038.410.1.1
美 워싱턴 해양체계사령부(NAVSEA-함정·잠수함 등 건조·보수 담당) 괴한 총기난사 10여명 死傷

美	美/SH
워싱턴	워싱턴/NNP
해양체계사령부(NAVSEA-함정·잠수함	해양/NNG+체계/NNG+사령부/NNG+(/SS+NAVSEA/SL+-/SO+함정/NNG+·/SP+잠수함/NNG
등	등/NNB
건조·보수	건조/NNG+·/SP+보수/NNG
담당)	담당/NNG+)/SS
괴한	괴한/NNG
총기난사	총기/NNG+난사/NNG
10여명	10/SN+여/XSN+명/NNB
死傷	死傷/SH


# id : NWRW1800000038.410.2.1
범인은 2명… 레이건 공항 통제

범인은	범인/NNG+은/JX
2명…	2/SN+명/NNB+…/SE
레이건	레이건/NNP
공항	공항/NNG
통제	통제/NNG


# id : NWRW1800000038.410.3.1
미국 워싱턴DC 해군 조선소에서 16일(현지 시각) 무장 괴한이 총기를 난사해 수명이 숨지고 10여명이 부상을 입었다고 미 해군이 밝혔다.

미국	미국/NNP
워싱턴DC	워싱턴/NNP+DC/SL
해군	해군/NNG
조선소에서	조선소/NNG+에서/JKB
16일(현지	16/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
무장	무장/NNG
괴한이	괴한/NNG+이/JKS
총기를	총기/NNG+를/JKO
난사해	난사/NNG+하/XSV+아/EC
수명이	수/NNG+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
10여명이	10/SN+여/XSN+명/NNB+이/JKS
부상을	부상/NNG+을/JKO
입었다고	입/VV+었/EP+다고/EC
미	미/NNP
해군이	해군/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.410.3.2
워싱턴포스트(WP)는 "4명이 사망했으며 8명이 부상했다"고 전했다.

워싱턴포스트(WP)는	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+는/JX
"4명이	"/SS+4/SN+명/NNB+이/JKS
사망했으며	사망/NNG+하/XSV+았/EP+으며/EC
8명이	8/SN+명/NNB+이/JKS
부상했다"고	부상/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.3.3
해군 대변인은 용의자 2명을 사살했다고 발표했다.

해군	해군/NNG
대변인은	대변인/NNG+은/JX
용의자	용의자/NNG
2명을	2/SN+명/NNB+을/JKO
사살했다고	사살/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.3.4
그러나 다른 해군 관계자는 죽었는지 체포했는지 불분명하다고 밝혔다.

그러나	그러나/MAJ
다른	다른/MMD
해군	해군/NNG
관계자는	관계자/NNG+는/JX
죽었는지	죽/VV+었/EP+는지/EC
체포했는지	체포/NNG+하/XSV+았/EP+는지/EC
불분명하다고	불분명하/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.410.4.1
해군에 따르면 총을 든 용의자는 이날 오전 8시 20분쯤 해군 해양체계사령부(NAVSEA) 건물에 진입해 근무자들을 향해 총격을 가했다.

해군에	해군/NNG+에/JKB
따르면	따르/VV+면/EC
총을	총/NNG+을/JKO
든	들/VV+ㄴ/ETM
용의자는	용의자/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
8시	8/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
해군	해군/NNG
해양체계사령부(NAVSEA)	해양/NNG+체계/NNG+사령부/NNG+(/SS+NAVSEA/SL+)/SS
건물에	건물/NNG+에/JKB
진입해	진입/NNG+하/XSV+아/EC
근무자들을	근무자/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
총격을	총격/NNG+을/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.4.2
해군은 "용의자 수색을 위해 경찰이 본부 내 197번 건물에 진입했다.

해군은	해군/NNG+은/JX
"용의자	"/SS+용의자/NNG
수색을	수색/NNG+을/JKO
위해	위하/VV+아/EC
경찰이	경찰/NNG+이/JKS
본부	본부/NNG
내	내/NNB
197번	197/SN+번/NNB
건물에	건물/NNG+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.5.1
긴급 요원들이 투입됐고 근무자에 대한 대피 명령이 내려진 상태"라고 밝혔다.

긴급	긴급/NNG
요원들이	요원/NNG+들/XSN+이/JKS
투입됐고	투입/NNG+되/XSV+었/EP+고/EC
근무자에	근무자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대피	대피/NNG
명령이	명령/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
상태"라고	상태/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.410.5.2
총격을 목격한 해군 행정 관리자 릭 메이슨은 "괴한이 카페테리아로 들어가는 직원들을 조준해 총을 쐈다"고 말했다.

총격을	총격/NNG+을/JKO
목격한	목격/NNG+하/XSV+ㄴ/ETM
해군	해군/NNG
행정	행정/NNG
관리자	관리자/NNG
릭	릭/NNP
메이슨은	메이슨/NNP+은/JX
"괴한이	"/SS+괴한/NNG+이/JKS
카페테리아로	카페테리아/NNG+로/JKB
들어가는	들어가/VV+는/ETM
직원들을	직원/NNG+들/XSN+을/JKO
조준해	조준/NNG+하/XSV+아/EC
총을	총/NNG+을/JKO
쐈다"고	쏘/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.6.1
경찰과 연방수사국(FBI)도 총격이 보고돼 조사에 나섰다.

경찰과	경찰/NNG+과/JC
연방수사국(FBI)도	연방수사국/NNP+(/SS+FBI/SL+)/SS+도/JX
총격이	총격/NNG+이/JKS
보고돼	보고/NNG+되/XSV+어/EC
조사에	조사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.410.6.2
CNN은 용의자가 건물 지붕으로 도망간 것으로 보인다고 전했다.

CNN은	CNN/SL+은/JX
용의자가	용의자/NNG+가/JKS
건물	건물/NNG
지붕으로	지붕/NNG+으로/JKB
도망간	도망가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.6.3
해양체계사령부는 함정과 잠수정 등의 건조 및 유지·보수를 맡는 곳으로, 이곳에는 약 3000여명이 근무하고 있는 것으로 알려졌다.

해양체계사령부는	해양/NNG+체계/NNG+사령부/NNG+는/JX
함정과	함정/NNG+과/JC
잠수정	잠수정/NNG
등의	등/NNB+의/JKG
건조	건조/NNG
및	및/MAG
유지·보수를	유지/NNG+·/SP+보수/NNG+를/JKO
맡는	맡/VV+는/ETM
곳으로,	곳/NNG+으로/JKB+,/SP
이곳에는	이곳/NP+에/JKB+는/JX
약	약/MMA
3000여명이	3000/SN+여/XSN+명/NNB+이/JKS
근무하고	근무/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.410.7.1
버락 오바마 미국 대통령은 이날 금융위기 5주년을 맞아 특별 연설을 하기에 앞서 리사 모나코 국가안보 및 대테러 보좌관 등으로부터 보고를 받았다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
금융위기	금융/NNG+위기/NNG
5주년을	5/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
특별	특별/NNG
연설을	연설/NNG+을/JKO
하기에	하/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
리사	리사/NNP
모나코	모나코/NNP
국가안보	국가/NNG+안보/NNG
및	및/MAG
대테러	대테러/NNG
보좌관	보좌관/NNG
등으로부터	등/NNB+으로부터/JKB
보고를	보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.410.7.2
이번 사건으로 일대 교통이 완전히 통제됐으며 워싱턴DC 내 레이건 공항의 항공기 이·착륙도 금지됐다.

이번	이번/NNG
사건으로	사건/NNG+으로/JKB
일대	일대/NNG
교통이	교통/NNG+이/JKS
완전히	완전히/MAG
통제됐으며	통제/NNG+되/XSV+었/EP+으며/EC
워싱턴DC	워싱턴/NNP+DC/SL
내	내/NNB
레이건	레이건/NNP
공항의	공항/NNG+의/JKG
항공기	항공기/NNG
이·착륙도	이·착륙/NNG+도/JX
금지됐다.	금지/NNG+되/XSV+었/EP+다/EF+./SF


