# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.42
metadata : {}


# id : NWRW1800000046.42.1.1
'여객기 3强'으로 날아오른 중국

'여객기	'/SS+여객기/NNG
3强'으로	3/SN+强/SH+'/SS+으로/JKB
날아오른	날아오르/VV+ㄴ/ETM
중국	중국/NNP


# id : NWRW1800000046.42.2.1
독자 개발 상업용 여객기 C919 처음으로 공개, 보잉·에어버스와 어깨 겨뤄

독자	독자/NNG
개발	개발/NNG
상업용	상업/NNG+용/XSN
여객기	여객기/NNG
C919	C/SL+919/SN
처음으로	처음/NNG+으로/JKB
공개,	공개/NNG+,/SP
보잉·에어버스와	보잉/NNP+·/SP+에어버스/NNP+와/JC
어깨	어깨/NNG
겨뤄	겨루/VV+어/EC


# id : NWRW1800000046.42.3.1
중국이 독자 개발해 온 중대형 여객기 C919가 최종 조립을 마치고 2일 처음 공개됐다.

중국이	중국/NNP+이/JKS
독자	독자/NNG
개발해	개발/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
중대형	중대형/NNG
여객기	여객기/NNG
C919가	C/SL+919/SN+가/JKS
최종	최종/NNG
조립을	조립/NNG+을/JKO
마치고	마치/VV+고/EC
2일	2/SN+일/NNB
처음	처음/NNG
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.42.4.1
관영 CCTV는 이날 상하이 푸둥(浦東)공장에서 면사포를 벗고 나오는 C919의 출고식을 생중계했다.

관영	관영/NNG
CCTV는	CCTV/SL+는/JX
이날	이날/NNG
상하이	상하이/NNP
푸둥(浦東)공장에서	푸둥/NNP+(/SS+浦東/SH+)/SS+공장/NNG+에서/JKB
면사포를	면사포/NNG+를/JKO
벗고	벗/VV+고/EC
나오는	나오/VV+는/ETM
C919의	C/SL+919/SN+의/JKG
출고식을	출고식/NNG+을/JKO
생중계했다.	생/XPN+중계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.4.2
CCTV는 "C919 생산은 중국 항공 산업의 출발을 알리는 신호탄이자, 중국 제조업이 첨단 단계로 업그레이드됐다는 의미"라고 했다.

CCTV는	CCTV/SL+는/JX
"C919	"/SS+C/SL+919/SN
생산은	생산/NNG+은/JX
중국	중국/NNP
항공	항공/NNG
산업의	산업/NNG+의/JKG
출발을	출발/NNG+을/JKO
알리는	알리/VV+는/ETM
신호탄이자,	신호탄/NNG+이/VCP+자/EC+,/SP
제조업이	제조업/NNG+이/JKS
첨단	첨단/NNG
단계로	단계/NNG+로/JKB
업그레이드됐다는	업그레이드/NNG+되/XSV+었/EP+다는/ETM
의미"라고	의미/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.4.3
C919를 제작한 중국상용항공기(COMAC·코맥)는 지난 2008년 여객기 독자 개발에 착수했으며, 현재 국내외 21개 항공업체로부터 517대를 선(先)주문 받은 상태다.

C919를	C/SL+919/SN+를/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
중국상용항공기(COMAC·코맥)는	중국상용항공기/NNP+(/SS+COMAC/SL+·/SP+코맥/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
여객기	여객기/NNG
독자	독자/NNG
개발에	개발/NNG+에/JKB
착수했으며,	착수/NNG+하/XSV+았/EP+으며/EC+,/SP
현재	현재/MAG
국내외	국내외/NNG
21개	21/SN+개/NNB
항공업체로부터	항공업체/NNG+로부터/JKB
517대를	517/SN+대/NNB+를/JKO
선(先)주문	선/NNG+(/SS+先/SH+)/SS+주문/NNG
받은	받/VV+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.4.4
이 중 135대는 중국 업체의 주문이다.

이	이/MMD
중	중/NNB
135대는	135/SN+대/NNB+는/JX
중국	중국/NNP
업체의	업체/NNG+의/JKG
주문이다.	주문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.4.5
코맥 측은 "앞으로 20년 동안 2000여 대를 판매하는 것이 목표"라고 밝혔다.

코맥	코맥/NNP
측은	측/NNB+은/JX
"앞으로	"/SS+앞/NNG+으로/JKB
20년	20/SN+년/NNB
동안	동안/NNG
2000여	2000/SN+여/XSN
대를	대/NNB+를/JKO
판매하는	판매/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
목표"라고	목표/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.42.4.6
총 1조위안(약 180조원)에 이르는 규모다.

총	총/MMA
1조위안(약	1/SN+조/NR+위안/NNB+(/SS+약/MMA
180조원)에	180/SN+조/NR+원/NNB+)/SS+에/JKB
이르는	이르/VV+는/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.5.1
중국은 고속철이 자체 노하우와 저렴한 가격을 무기로 세계를 휩쓸기 시작한 것처럼 중국산 여객기도 세계 하늘을 누빌 것으로 기대하고 있다.

중국은	중국/NNP+은/JX
고속철이	고속철/NNG+이/JKS
자체	자체/NNG
노하우와	노하우/NNG+와/JC
저렴한	저렴하/VA+ㄴ/ETM
가격을	가격/NNG+을/JKO
무기로	무기/NNG+로/JKB
세계를	세계/NNG+를/JKO
휩쓸기	휩쓸/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
중국산	중국/NNP+산/XSN
여객기도	여객기/NNG+도/JX
세계	세계/NNG
하늘을	하늘/NNG+을/JKO
누빌	누비/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.42.5.2
C919란 명칭에 들어간 'C'는 중국(China)과 제작사(COMAC)의 영문 첫 글자를 딴 것이다.

C919란	C/SL+919/SN+란/JX
명칭에	명칭/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
'C'는	'/SS+C/SL+'/SS+는/JX
중국(China)과	중국/NNP+(/SS+China/SL+)/SS+과/JC
제작사(COMAC)의	제작사/NNG+(/SS+COMAC/SL+)/SS+의/JKG
영문	영문/NNG
첫	첫/MMN
글자를	글자/NNG+를/JKO
딴	따/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.5.3
현재 세계 시장을 양분하는 에어버스(유럽)의 'A'와 보잉(미국)의 'B'와 함께 항공업계의 'ABC'가 되겠다는 의지를 담았다는 분석이다.

현재	현재/MAG
세계	세계/NNG
시장을	시장/NNG+을/JKO
양분하는	양분/NNG+하/XSV+는/ETM
에어버스(유럽)의	에어버스/NNP+(/SS+유럽/NNP+)/SS+의/JKG
'A'와	'/SS+A/SL+'/SS+와/JC
보잉(미국)의	보잉/NNP+(/SS+미국/NNP+)/SS+의/JKG
'B'와	'/SS+B/SL+'/SS+와/JKB
함께	함께/MAG
항공업계의	항공업/NNG+계/XSN+의/JKG
'ABC'가	'/SS+ABC/SL+'/SS+가/JKC
되겠다는	되/VV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
담았다는	담/VV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.5.4
시진핑 국가주석도 "국력의 중요한 지표인 대형 여객기 제작에 중국의 꿈이 걸려 있다"고 했다.

시진핑	시진핑/NNP
국가주석도	국가주석/NNG+도/JX
"국력의	"/SS+국력/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
지표인	지표/NNG+이/VCP+ㄴ/ETM
대형	대형/NNG
여객기	여객기/NNG
제작에	제작/NNG+에/JKB
중국의	중국/NNP+의/JKG
꿈이	꿈/NNG+이/JKS
걸려	걸리/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.5.5
중국은 승객 300명 이상 탑승하는 대형 여객기 C929도 개발하고 있다.

중국은	중국/NNP+은/JX
승객	승객/NNG
300명	300/SN+명/NNB
이상	이상/NNG
탑승하는	탑승/NNG+하/XSV+는/ETM
대형	대형/NNG
여객기	여객기/NNG
C929도	C/SL+929/SN+도/JX
개발하고	개발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.42.6.1
원래 C919는 작년 말 시험비행에 나설 계획이었으나, 기술적 문제로 연기됐다.

원래	원래/MAG
C919는	C/SL+919/SN+는/JX
작년	작년/NNG
말	말/NNB
시험비행에	시험/NNG+비행/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획이었으나,	계획/NNG+이/VCP+었/EP+으나/EC+,/SP
기술적	기술/NNG+적/XSN
문제로	문제/NNG+로/JKB
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.42.6.2
여객기는 조그만 제작 실수가 대참사로 이어지는 만큼 중국산이 자리를 잡는 데는 시간이 걸릴 것이란 관측도 제기된다.

여객기는	여객기/NNG+는/JX
조그만	조그맣/VA+ㄴ/ETM
제작	제작/NNG
실수가	실수/NNG+가/JKS
대참사로	대/XPN+참사/NNG+로/JKB
이어지는	이어지/VV+는/ETM
만큼	만큼/NNB
중국산이	중국/NNP+산/XSN+이/JKS
자리를	자리/NNG+를/JKO
잡는	잡/VV+는/ETM
데는	데/NNB+는/JX
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측도	관측/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.42.6.3
중국은 내년 상반기 C919 시험비행을 끝내고, 미국 연방항공청(FAA)의 운항 안전 허가를 받는 것이 목표다.

중국은	중국/NNP+은/JX
내년	내년/NNG
상반기	상반기/NNG
C919	C/SL+919/SN
시험비행을	시험/NNG+비행/NNG+을/JKO
끝내고,	끝내/VV+고/EC+,/SP
미국	미국/NNP
연방항공청(FAA)의	연방항공청/NNP+(/SS+FAA/SL+)/SS+의/JKG
운항	운항/NNG
안전	안전/NNG
허가를	허가/NNG+를/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.42.7.1
보잉은 작년 9월 보고서에서 "중국은 앞으로 20년 동안 6020대의 여객기 수요가 발생할 것"이라고 했다.

보잉은	보잉/NNP+은/JX
작년	작년/NNG
9월	9/SN+월/NNB
보고서에서	보고서/NNG+에서/JKB
"중국은	"/SS+중국/NNP+은/JX
앞으로	앞/NNG+으로/JKB
20년	20/SN+년/NNB
동안	동안/NNG
6020대의	6020/SN+대/NNB+의/JKG
여객기	여객기/NNG
수요가	수요/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.7.2
중국의 여객기 보유 대수는 지금보다 3배 이상 증가할 것으로 추산했다.

중국의	중국/NNP+의/JKG
여객기	여객기/NNG
보유	보유/NNG
대수는	대수/NNG+는/JX
지금보다	지금/NNG+보다/JKB
3배	3/SN+배/NNG
이상	이상/NNG
증가할	증가/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산했다.	추산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.42.7.3
