# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.419
metadata : {}


# id : NWRW1800000030.419.1.1
[호남] "남해안 거점대 역할 수행하겠다"

[호남]	[/SS+호남/NNP+]/SS
"남해안	"/SS+남해안/NNP
거점대	거점대/NNG
역할	역할/NNG
수행하겠다"	수행/NNG+하/XSV+겠/EP+다/EF+"/SS


# id : NWRW1800000030.419.2.1
•송영무 순천대 총장 취임

•송영무	•/SW+송영무/NNP
순천대	순천대/NNP
총장	총장/NNG
취임	취임/NNG


# id : NWRW1800000030.419.3.1
국립 순천대 송영무(57·사진) 신임 총장 취임식이 지난 11일 순천대 70주년기념관 우석홀에서 열렸다.

국립	국립/NNG
순천대	순천대/NNP
송영무(57·사진)	송영무/NNP+(/SS+57/SN+·/SP+사진/NNG+)/SS
신임	신임/NNG
총장	총장/NNG
취임식이	취임식/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
70주년기념관	70/SN+주년/NNB+기념관/NNG
우석홀에서	우석홀/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.419.4.1
송 총장은 취임사를 통해 "1935년 개교한 순천대는 지속적인 성장으로 남해안권 거점대학으로 자리매김했다"며 "그러나 지금은 구조조정, 국립대 법인화, 대학 입학자원 절대 감소 등 대학의 생존을 위협하는 문제들과 직면해 있다"고 했다.

송	송/NNP
총장은	총장/NNG+은/JX
취임사를	취임사/NNG+를/JKO
통해	통하/VV+아/EC
"1935년	"/SS+1935/SN+년/NNB
개교한	개교/NNG+하/XSV+ㄴ/ETM
순천대는	순천대/NNP+는/JX
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
성장으로	성장/NNG+으로/JKB
남해안권	남해안/NNP+권/XSN
거점대학으로	거점/NNG+대학/NNG+으로/JKB
자리매김했다"며	자리매김/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
지금은	지금/NNG+은/JX
구조조정,	구조/NNG+조정/NNG+,/SP
국립대	국립대/NNG
법인화,	법인/NNG+화/XSN+,/SP
대학	대학/NNG
입학자원	입학/NNG+자원/NNG
절대	절대/NNG
감소	감소/NNG
등	등/NNB
대학의	대학/NNG+의/JKG
생존을	생존/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
