# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.103
metadata : {}


# id : NWRW1800000026.103.1.1
[심층분석] 삼성 컨트롤타워 '전략기획실' 부활하나;이건희 회장은 방향 제시→기획실 구체화→계열사 실행 '스피드 경영' 되살릴 듯

[심층분석]	[/SS+심층/NNG+분석/NNG+]/SS
삼성	삼성/NNP
컨트롤타워	컨트롤/NNG+타워/NNG
'전략기획실'	'/SS+전략/NNG+기획실/NNG+'/SS
부활하나;이건희	부활/NNG+하/XSV+나/EF+;/SP+이건희/NNP
회장은	회장/NNG+은/JX
방향	방향/NNG
제시→기획실	제시/NNG+→/SW+기획실/NNG
구체화→계열사	구체/NNG+화/XSN+→/SW+계열사/NNG
실행	실행/NNG
'스피드	'/SS+스피드/NNG
경영'	경영/NNG+'/SS
되살릴	되살리/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000026.103.2.1
이건희 회장이 삼성전자 회장으로 복귀하면서 과거 이 회장의 손발 역할을 했던 '전략기획실' 부활에 관심이 쏠리고 있다.

이건희	이건희/NNP
회장이	회장/NNG+이/JKS
삼성전자	삼성전자/NNP
회장으로	회장/NNG+으로/JKB
복귀하면서	복귀/NNG+하/XSV+면서/EC
과거	과거/NNG
이	이/NNP
회장의	회장/NNG+의/JKG
손발	손발/NNG
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
'전략기획실'	'/SS+전략/NNG+기획실/NNG+'/SS
부활에	부활/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.103.3.1
이 회장이 "머뭇거릴 시간이 없다"고 강조한 만큼 스피드 경영을 하는데 의사결정의 중심 역할을 담당할 조직은 필수적이기 때문이다.

이	이/NNP
회장이	회장/NNG+이/JKS
"머뭇거릴	"/SS+머뭇거리/VV+ㄹ/ETM
시간이	시간/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
스피드	스피드/NNG
경영을	경영/NNG+을/JKO
하는데	하/VV+는/ETM+데/NNB
의사결정의	의사/NNG+결정/NNG+의/JKG
중심	중심/NNG
역할을	역할/NNG+을/JKO
담당할	담당/NNG+하/XSV+ㄹ/ETM
조직은	조직/NNG+은/JX
필수적이기	필수/NNG+적/XSN+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.103.3.2
