# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.281
metadata : {}


# id : NWRW1800000032.281.1.1
‘자립생활 꿈’ 휠체어에 싣고 떠난 ‘스마일맨’

‘자립생활	‘/SS+자립/NNG+생활/NNG
꿈’	꿈/NNG+’/SS
휠체어에	휠체어/NNG+에/JKB
싣고	싣/VV+고/EC
떠난	떠나/VV+ㄴ/ETM
‘스마일맨’	‘/SS+스마일맨/NNG+’/SS


# id : NWRW1800000032.281.2.1
장애인운동가 김공대씨 사망…자립공간 확보 이튿날 교통사고

장애인운동가	장애인/NNG+운동가/NNG
김공대씨	김공대/NNP+씨/NNB
사망…자립공간	사망/NNG+…/SE+자립/NNG+공간/NNG
확보	확보/NNG
이튿날	이튿날/NNG
교통사고	교통사고/NNG


# id : NWRW1800000032.281.3.1
그토록 꿈꾸던 ‘자립생활’을 코앞에 둔 한 젊은 장애인 활동가가 불의의 사고로 세상을 떠나 주위를 안타깝게 하고 있다.

그토록	그토록/MAG
꿈꾸던	꿈꾸/VV+던/ETM
‘자립생활’을	‘/SS+자립/NNG+생활/NNG+’/SS+을/JKO
코앞에	코앞/NNG+에/JKB
둔	두/VV+ㄴ/ETM
한	한/MMN
젊은	젊/VA+은/ETM
장애인	장애인/NNG
활동가가	활동가/NNG+가/JKS
불의의	불의/NNG+의/JKG
사고로	사고/NNG+로/JKB
세상을	세상/NNG+을/JKO
떠나	떠나/VV+아/EC
주위를	주위/NNG+를/JKO
안타깝게	안타깝/VA+게/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.281.4.1
대구·경산지역에서 활동하던 장애인활동가 김공대(사진·지적장애2급)씨가 지난 8일 오전 11시께 경산시의 한 주택가에서 전동휠체어를 타고 길을 건너다 승용차에 치여 숨졌다.

대구·경산지역에서	대구/NNP+·/SP+경산/NNP+지역/NNG+에서/JKB
활동하던	활동/NNG+하/XSV+던/ETM
장애인활동가	장애인/NNG+활동가/NNG
김공대(사진·지적장애2급)씨가	김공대/NNP+(/SS+사진/NNG+·/SP+지/NNG+적/XSN+장애/NNG+2/SN+급/NNG+)/SS+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
오전	오전/NNG
11시께	11/SN+시/NNB+께/XSN
경산시의	경산시/NNP+의/JKG
한	한/MMN
주택가에서	주택가/NNG+에서/JKB
전동휠체어를	전동/NNG+휠체어/NNG+를/JKO
타고	타/VV+고/EC
길을	길/NNG+을/JKO
건너다	건너/VV+다/EC
승용차에	승용차/NNG+에/JKB
치여	치이/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.281.4.2
향년 31.

향년	향년/NNG
31.	31/SN+./SF


# id : NWRW1800000032.281.5.1
김씨는 좁고 장애물 많은 인도에서 전동휠체어를 움직일 수 없어, 차도 가장자리를 지나가다가 변을 당한 것으로 알려졌다.

김씨는	김/NNP+씨/NNB+는/JX
좁고	좁/VA+고/EC
장애물	장애물/NNG
많은	많/VA+은/ETM
인도에서	인도/NNG+에서/JKB
전동휠체어를	전동/NNG+휠체어/NNG+를/JKO
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없어,	없/VA+어/EC+,/SP
차도	차도/NNG
가장자리를	가장자리/NNG+를/JKO
지나가다가	지나가/VV+다가/EC
변을	변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.281.6.1
김씨의 삶은 순탄치 않았지만 언제나 웃는 ‘스마일맨’이었다.

김씨의	김/NNP+씨/NNB+의/JKG
삶은	삶/NNG+은/JX
순탄치	순탄하/VA+지/EC
않았지만	않/VX+았/EP+지만/EC
언제나	언제나/MAG
웃는	웃/VV+는/ETM
‘스마일맨’이었다.	‘/SS+스마일맨/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.281.6.2
1981년 태어나 3살 무렵 ‘무연고’로 경산의 한 장애인생활시설에 맡겨진 그는 28년만인 지난 7월부터 경산장애인자립생활센터 체험홈에 거주하며 홀로서기를 준비해왔다.

1981년	1981/SN+년/NNB
태어나	태어나/VV+아/EC
3살	3/SN+살/NNB
무렵	무렵/NNB
‘무연고’로	‘/SS+무/XPN+연고/NNG+’/SS+로/JKB
경산의	경산/NNP+의/JKG
한	한/MMN
장애인생활시설에	장애인/NNG+생활/NNG+시설/NNG+에/JKB
맡겨진	맡기/VV+어/EC+지/VX+ㄴ/ETM
그는	그/NP+는/JX
28년만인	28/SN+년/NNB+만/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
7월부터	7/SN+월/NNB+부터/JX
경산장애인자립생활센터	경산장애인자립생활센터/NNP
체험홈에	체험/NNG+홈/NNG+에/JKB
거주하며	거주/NNG+하/XSV+며/EC
