# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.82
metadata : {}


# id : NWRW1800000026.82.1.1
[제14회 LG배 세계기왕전] 양쪽 뺨 맞기

[제14회	[/SS+제/XPN+14/SN+회/NNB
LG배	LG/SL+배/NNB
세계기왕전]	세계/NNG+기왕전/NNG+]/SS
양쪽	양쪽/NNG
뺨	뺨/NNG
맞기	맞/VV+기/ETN


# id : NWRW1800000026.82.2.1
준결승 제2국 <흑 6집반 공제·각 3시간>

준결승	준/XPN+결승/NNG
제2국	제/XPN+2/SN+국/NNB
<흑	</SS+흑/NNG
6집반	6/SN+집/NNG+반/NNG
공제·각	공제/NNG+·/SP+각/MMD
3시간>	3/SN+시간/NNB+>/SS


# id : NWRW1800000026.82.3.1
白 이창호 九단 黑 퍄오원야오 五단

白	白/SH
이창호	이창호/NNP
九단	九/SH+단/NNG
黑	黑/SH
퍄오원야오	퍄오원야오/NNP
五단	五/SH+단/NNG


# id : NWRW1800000026.82.4.1
〈제11보〉(169~181)=구름 잡는 것 같은 포석 단계와 달리 끝내기 계산은 수학적, 구체적이다.

〈제11보〉(169~181)=구름	〈/SS+제/XPN+11/SN+보/NNG+〉/SS+(/SS+169/SN+~/SO+181/SN+)/SS+=/SW+구름/NNG
잡는	잡/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
포석	포석/NNG
단계와	단계/NNG+와/JKB
달리	달리/MAG
끝내기	끝내기/NNG
계산은	계산/NNG+은/JX
수학적,	수학/NNG+적/XSN+,/SP
구체적이다.	구체/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.82.4.2
전자는 대개 '이 한 수'가 없는 데 반해 후자는 확실한 정답이 존재한다.

전자는	전자/NNG+는/JX
대개	대개/MAG
'이	'/SS+이/MMD
한	한/MMN
수'가	수/NNB+'/SS+가/JKS
없는	없/VA+는/ETM
데	데/NNB
반해	반하/VV+아/EC
후자는	후자/NNG+는/JX
확실한	확실하/VA+ㄴ/ETM
정답이	정답/NNG+이/JKS
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.82.4.3
하지만 선, 후수 다툼에다 후속수단과 역(逆)끝내기 등 변수들이 얽히다 보면 '만점'짜리를 구하기란 쉽지 않을 경우도 많다.

하지만	하지만/MAJ
선,	선/NNG+,/SP
후수	후/NNG+수/NNB
다툼에다	다툼/NNG+에다/JKB
후속수단과	후속/NNG+수단/NNG+과/JC
역(逆)끝내기	역/NA+(/SS+逆/SH+)/SS+끝내기/NNG
등	등/NNB
변수들이	변수/NNG+들/XSN+이/JKS
얽히다	얽히/VV+다/EC
보면	보/VX+면/EC
'만점'짜리를	'/SS+만점/NNG+'/SS+짜리/XSN+를/JKO
구하기란	구하/VV+기/ETN+란/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
경우도	경우/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.82.4.4
그렇게 본다면 169의 입장에서 이 바둑이 흑 패배로 끝난 장본(張本)으로 자신이 지목된다는 건 억울할지도 모르겠다.

그렇게	그렇/VA+게/EC
본다면	보/VV+ㄴ다면/EC
169의	169/SN+의/JKG
입장에서	입장/NNG+에서/JKB
이	이/MMD
바둑이	바둑/NNG+이/JKS
흑	흑/NNG
패배로	패배/NNG+로/JKB
끝난	끝나/VV+ㄴ/ETM
장본(張本)으로	장본/NNG+(/SS+張本/SH+)/SS+으로/JKB
자신이	자신/NNG+이/JKS
지목된다는	지목/NNG+되/XSV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
억울할지도	억울/NNG+하/XSA+ㄹ지/EF+도/JX
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000026.82.5.1
그렇더라도 백이 170~173의 역끝내기를 해치우는 순간 파랑새는 날아가 버렸다.

그렇더라도	그렇/VA+더라도/EC
백이	백/NNG+이/JKS
170~173의	170/SN+~/SO+173/SN+의/JKG
역끝내기를	역끝내기/NNG+를/JKO
해치우는	해치우/VV+는/ETM
순간	순간/NNG
파랑새는	파랑새/NNG+는/JX
날아가	날아가/VV+아/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.82.5.2
물론 169를 게을리하면 백 '가'를 얻어맞는다.

물론	물론/MAG
169를	169/SN+를/JKO
게을리하면	게을리/MAG+하/XSV+면/EC
백	백/NNG
'가'를	'/SS+가/NNG+'/SS+를/JKO
얻어맞는다.	얻어맞/VV+는다/EF+./SF


# id : NWRW1800000026.82.5.3
'가'는 현재 반상(盤上)에서 가장 큰 곳임에 틀림없다.

'가'는	'/SS+가/NNG+'/SS+는/JX
현재	현재/MAG
반상(盤上)에서	반상/NNG+(/SS+盤上/SH+)/SS+에서/JKB
가장	가장/MAG
