# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.437
metadata : {}


# id : NWRW1800000024.437.1.1
토지·주택·전월세 실거래가 공개 추진

토지·주택·전월세	토지/NNG+·/SP+주택/NNG+·/SP+전월세/NNG
실거래가	실거래/NNG+가/XSN
공개	공개/NNG
추진	추진/NNG


# id : NWRW1800000024.437.2.1
앞으로 토지, 단독·연립주택, 주택 전·월세도 실거래 가격이 공개될 전망이다.

앞으로	앞/NNG+으로/JKB
토지,	토지/NNG+,/SP
단독·연립주택,	단독/NNG+·/SP+연립/NNG+주택/NNG+,/SP
주택	주택/NNG
전·월세도	전·월세/NNG+도/JX
실거래	실거래/NNG
가격이	가격/NNG+이/JKS
공개될	공개/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.437.3.1
국토해양부는 현재 아파트에 한해 이뤄지고 있는 실거래가 공개 확대를 위해 부동산거래관리 시스템 5개년 계획을 수립하기로 했다고 23일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
현재	현재/MAG
아파트에	아파트/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
이뤄지고	이뤄지/VV+고/EC
있는	있/VX+는/ETM
실거래가	실거래/NNG+가/XSN
공개	공개/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+아/EC
부동산거래관리	부동산/NNG+거래/NNG+관리/NNG
시스템	시스템/NNG
5개년	5/SN+개년/NNB
계획을	계획/NNG+을/JKO
수립하기로	수립/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.437.4.1
국토부는 우선 1단계로 내년 중에 아파트 동 정보와 다세대, 연립 실거래가를 먼저 공개하고, 2단계로 2011년에 단독, 비주거용 건축물, 토지의 실거래가로 공개 범위를 넓히기로 했다.

국토부는	국토부/NNG+는/JX
우선	우선/MAG
1단계로	1/SN+단계/NNG+로/JKB
내년	내년/NNG
중에	중/NNB+에/JKB
아파트	아파트/NNG
동	동/NNB
