# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.426
metadata : {}


# id : NWRW1800000030.426.1.1
[서울] 삐뽀삐뽀 사이렌 소리 높이자… 앞차 비켜서고 보행자도 멈칫

[서울]	[/SS+서울/NNP+]/SS
삐뽀삐뽀	삐뽀삐뽀/MAG
사이렌	사이렌/NNG
소리	소리/NNG
높이자…	높이/VV+자/EF+…/SE
앞차	앞차/NNG
비켜서고	비켜서/VV+고/EC
보행자도	보행자/NNG+도/JX
멈칫	멈칫/MAG


# id : NWRW1800000030.426.2.1
•"과태료 단속 홍보 덕에 차량 협조 전보다 늘어"

•"과태료	•/SW+"/SS+과태료/NNG
단속	단속/NNG
홍보	홍보/NNG
덕에	덕/NNG+에/JKB
차량	차량/NNG
협조	협조/NNG
전보다	전/NNG+보다/JKB
늘어"	늘/VV+어/EF+"/SS


# id : NWRW1800000030.426.3.1
21일 오전 10시쯤 서울 종로소방서 세종로119안전센터(이하 세종로센터).

21일	21/SN+일/NNB
오전	오전/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
서울	서울/NNP
종로소방서	종로소방서/NNP
세종로119안전센터(이하	세종로/NNP+119/SN+안전/NNG+센터/NNG+(/SS+이하/NNG
세종로센터).	세종로/NNP+센터/NNG+)/SS+./SF


# id : NWRW1800000030.426.3.2
구급출동을 알리는 방송이 나오자 세종로센터 구급대원들은 재빨리 구급차량에 올라탔다.

구급출동을	구급/NNG+출동/NNG+을/JKO
알리는	알리/VV+는/ETM
방송이	방송/NNG+이/JKS
나오자	나오/VV+자/EC
세종로센터	세종로/NNP+센터/NNG
구급대원들은	구급대원/NNG+들/XSN+은/JX
재빨리	재빨리/MAG
구급차량에	구급/NNG+차량/NNG+에/JKB
올라탔다.	올라타/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.3.3
정상운(49) 소방장은 출발과 동시에 사이렌 볼륨을 높였다.

정상운(49)	정상운/NNP+(/SS+49/SN+)/SS
소방장은	소방장/NNG+은/JX
출발과	출발/NNG+과/JKB
동시에	동시/NNG+에/JKB
사이렌	사이렌/NNG
볼륨을	볼륨/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.426.3.4
지하철 1호선 종각역 사거리에서 우회전한 구급차는 꽉 막힌 도로 가장자리 차선에 진입했다.

지하철	지하철/NNG
1호선	1/SN+호선/NNB
종각역	종각역/NNP
사거리에서	사거리/NNG+에서/JKB
우회전한	우회전/NNG+하/XSV+ㄴ/ETM
구급차는	구급차/NNG+는/JX
꽉	꽉/MAG
막힌	막히/VV+ㄴ/ETM
도로	도로/NNG
가장자리	가장자리/NNG
차선에	차선/NNG+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.3.5
구급차 앞에서 신호대기를 하고 있던 차량이 사이렌 소리를 높이자 왼쪽 차선으로 방향을 틀기 시작했다.

구급차	구급차/NNG
앞에서	앞/NNG+에서/JKB
신호대기를	신호/NNG+대기/NNG+를/JKO
하고	하/VV+고/EC
있던	있/VX+던/ETM
차량이	차량/NNG+이/JKS
사이렌	사이렌/NNG
소리를	소리/NNG+를/JKO
높이자	높이/VV+자/EC
왼쪽	왼쪽/NNG
차선으로	차선/NNG+으로/JKB
방향을	방향/NNG+을/JKO
틀기	틀/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.3.6
구급차가 좁은 공간을 비집고 10m가량 나아갔다.

구급차가	구급차/NNG+가/JKS
좁은	좁/VA+은/ETM
공간을	공간/NNG+을/JKO
비집고	비집/VV+고/EC
10m가량	10/SN+m/SW+가량/XSN
나아갔다.	나아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.3.7
시내버스 기사도 구급차가 바짝 붙자 운전대를 왼쪽으로 급하게 돌렸다.

시내버스	시내버스/NNG
기사도	기사/NNG+도/JX
구급차가	구급차/NNG+가/JKS
바짝	바짝/MAG
붙자	붙/VV+자/EC
운전대를	운전대/NNG+를/JKO
왼쪽으로	왼쪽/NNG+으로/JKB
급하게	급하/VA+게/EC
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.426.3.8
시내버스는 신호대기 중 조금이라도 더 공간을 만들어보려고 계속 옆 차선을 파고들었다.

시내버스는	시내버스/NNG+는/JX
신호대기	신호/NNG+대기/NNG
중	중/NNB
조금이라도	조금/NNG+이라도/JX
더	더/MAG
공간을	공간/NNG+을/JKO
만들어보려고	만들/VV+어/EC+보/VX+려고/EC
계속	계속/MAG
옆	옆/NNG
차선을	차선/NNG+을/JKO
파고들었다.	파고들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.426.3.9
횡단보도를 건너는 보행자들도 구급차가 앞에 서면 가던 길을 멈췄다.

횡단보도를	횡단보도/NNG+를/JKO
건너는	건너/VV+는/ETM
보행자들도	보행자/NNG+들/XSN+도/JX
구급차가	구급차/NNG+가/JKS
앞에	앞/NNG+에/JKB
서면	서/VV+면/EC
가던	가/VV+던/ETM
길을	길/NNG+을/JKO
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.426.3.10
구급대는 종로구 수송동 미국대사관 뒤에 있는 세종로센터를 출발한 지 5분여 만에 신고장소인 서대문구 독립문 인근에 도착했다.

구급대는	구급대/NNG+는/JX
종로구	종로구/NNP
수송동	수송동/NNP
미국대사관	미국/NNP+대사관/NNG
뒤에	뒤/NNG+에/JKB
있는	있/VA+는/ETM
세종로센터를	세종로/NNP+센터/NNG+를/JKO
출발한	출발/NNG+하/XSV+ㄴ/ETM
지	지/NNB
5분여	5/SN+분/NNB+여/XSN
만에	만/NNB+에/JKB
신고장소인	신고/NNG+장소/NNG+이/VCP+ㄴ/ETM
서대문구	서대문구/NNP
독립문	독립문/NNP
인근에	인근/NNG+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.3.11
세종로센터 구급대원 윤득준(41) 소방장은 "출동할 때 양보하지 않는 차량을 단속하겠다고 발표한 뒤로는 상황이 많이 좋아진 편"이라고 말했다.

세종로센터	세종로/NNP+센터/NNG
구급대원	구급대원/NNG
윤득준(41)	윤득준/NNP+(/SS+41/SN+)/SS
소방장은	소방장/NNG+은/JX
"출동할	"/SS+출동/NNG+하/XSV+ㄹ/ETM
때	때/NNG
양보하지	양보/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
차량을	차량/NNG+을/JKO
단속하겠다고	단속/NNG+하/XSV+겠/EP+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤로는	뒤/NNG+로/JKB+는/JX
상황이	상황/NNG+이/JKS
많이	많이/MAG
좋아진	좋/VA+아/EC+지/VX+ㄴ/ETM
편"이라고	편/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.426.4.1
서울시 소방재난본부는 지난 9일부터 '긴급자동차 양보의무 위반차량 단속'을 하고 있다.

서울시	서울시/NNP
소방재난본부는	소방/NNG+재난/NNG+본부/NNG+는/JX
