# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.182
metadata : {}


# id : NWRW1800000048.182.1.1
‘현존 가장 오래된 먹조각’ 보물 됐다

‘현존	‘/SS+현존/NNG
가장	가장/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
먹조각’	먹/NNG+조각/NNG+’/SS
보물	보물/NNG
됐다	되/VV+었/EP+다/EF


# id : NWRW1800000048.182.2.1
1998년 청주 명암동에서 출토

1998년	1998/SN+년/NNB
청주	청주/NNP
명암동에서	명암동/NNP+에서/JKB
출토	출토/NNG


# id : NWRW1800000048.182.3.1
‘단산오옥 명 고려 먹’

‘단산오옥	‘/SS+단산오옥/NNG
명	명/NNG
고려	고려/NNP
먹’	먹/NNG+’/SS


# id : NWRW1800000048.182.4.1
먹이 국가지정문화재 되긴 처음

먹이	먹/NNG+이/JKS
국가지정문화재	국가/NNG+지정/NNG+문화재/NNG
되긴	되/VV+기/ETN+ㄴ/JX
처음	처음/NNG


# id : NWRW1800000048.182.5.1
현재 남아 있는 가장 오래된 고려시대의 먹조각이 나라의 공식 보물이 됐다.

현재	현재/MAG
남아	남/VV+아/EC
있는	있/VX+는/ETM
가장	가장/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
고려시대의	고려/NNP+시대/NNG+의/JKG
먹조각이	먹/NNG+조각/NNG+이/JKS
나라의	나라/NNG+의/JKG
공식	공식/NNG
보물이	보물/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.182.5.2
문화재청은 98년 청주시 명암동에서 출토된 ‘단산오옥(丹山烏玉) 명 고려 먹’을 국가지정문화재인 보물로 지정했다고 23일 밝혔다.

문화재청은	문화재청/NNG+은/JX
98년	98/SN+년/NNB
청주시	청주시/NNP
명암동에서	명암동/NNP+에서/JKB
출토된	출토/NNG+되/XSV+ㄴ/ETM
‘단산오옥(丹山烏玉)	‘/SS+단산오옥/NNG+(/SS+丹山烏玉/SH+)/SS
명	명/NNG
고려	고려/NNP
먹’을	먹/NNG+’/SS+을/JKO
국가지정문화재인	국가/NNG+지정/NNG+문화재/NNG+이/VCP+ㄴ/ETM
보물로	보물/NNG+로/JKB
지정했다고	지정/NNG+하/XSV+았/EP+다고/EC
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.182.5.3
문방사우 가운데 하나로 우리 전통 기록문화 발전에 큰 구실을 한 도구인 먹이 국가지정문화재가 된 것은 이번이 처음이다.

문방사우	문방사우/NNG
가운데	가운데/NNG
하나로	하나/NR+로/JKB
우리	우리/NP
전통	전통/NNG
기록문화	기록/NNG+문화/NNG
발전에	발전/NNG+에/JKB
큰	크/VA+ㄴ/ETM
구실을	구실/NNG+을/JKO
한	하/VV+ㄴ/ETM
