# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.392
metadata : {}


# id : NWRW1800000036.392.1.1
새누리 지도부 “현행 경선룰로 8·20 전대”

새누리	새누리/NNP
지도부	지도부/NNG
“현행	“/SS+현행/NNG
경선룰로	경선/NNG+룰/NNG+로/JKB
8·20	8/SN+·/SP+20/SN
전대”	전대/NNG+”/SS


# id : NWRW1800000036.392.2.1
[한겨레] 25일 최고위 열어 확정할듯

[한겨레]	[/SS+한겨레/NNP+]/SS
25일	25/SN+일/NNB
최고위	최/XPN+고위/NNG
열어	열/VV+어/EC
확정할듯	확정/NNG+하/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000036.392.3.1
‘비박’ 주자들 “경선 불참” 반발

‘비박’	‘/SS+비/XPN+박/NNP+’/SS
주자들	주자/NNG+들/XSN
“경선	“/SS+경선/NNG
불참”	불참/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000036.392.4.1
새누리당이 25일 최고위원회를 열어 현행 경선 규칙대로 8월20일 대선 후보를 결정하는 전당대회 일정을 확정할 것으로 알려졌다.

새누리당이	새누리당/NNP+이/JKS
25일	25/SN+일/NNB
최고위원회를	최고/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
현행	현행/NNG
경선	경선/NNG
규칙대로	규칙/NNG+대로/JX
8월20일	8/SN+월/NNB+20/SN+일/NNB
대선	대선/NNG
후보를	후보/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
전당대회	전당/NNG+대회/NNG
일정을	일정/NNG+을/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.392.4.2
경선 연기를 주장해온 ‘비박(근혜)’ 주자들의 반발이 예상된다.

경선	경선/NNG
연기를	연기/NNG+를/JKO
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘비박(근혜)’	‘/SS+비/XPN+박/NNP+(/SS+근혜/NNP+)/SS+’/SS
주자들의	주자/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.392.5.1
서병수 사무총장은 24일 <한겨레>와의 통화에서 “대선 후보를 선출하는 전당대회를 8월20일에 하는 것은 이미 정해진 것”이라고 말했다.

서병수	서병수/NNP
사무총장은	사무총장/NNG+은/JX
24일	24/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“대선	“/SS+대선/NNG
후보를	후보/NNG+를/JKO
선출하는	선출/NNG+하/XSV+는/ETM
전당대회를	전당/NNG+대회/NNG+를/JKO
8월20일에	8/SN+월/NNB+20/SN+일/NNB+에/JKB
하는	하/VV+는/ETM
것은	것/NNB+은/JX
이미	이미/MAG
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.6.1
서 총장은 비박 주자들이 요구하는 경선 규칙 논의 기구에 관해서도 “기구를 만든들 무슨 논의를 할 수 있겠느냐”며 “이미 경선 규칙에 관한 장단점이 다 드러나 있고 의견이 팽팽한 만큼 결단의 문제만 남았다”고 말했다.

서	서/NNP
총장은	총장/NNG+은/JX
비박	비/XPN+박/NNP
주자들이	주자/NNG+들/XSN+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
경선	경선/NNG
규칙	규칙/NNG
논의	논의/NNG
기구에	기구/NNG+에/JKB
관해서도	관하/VV+아서/EC+도/JX
“기구를	“/SS+기구/NNG+를/JKO
만든들	만들/VV+ㄴ들/EC
무슨	무슨/MMD
논의를	논의/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠느냐”며	있/VA+겠/EP+느냐/EF+”/SS+며/EC
“이미	“/SS+이미/MAG
규칙에	규칙/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
장단점이	장단점/NNG+이/JKS
다	다/MAG
드러나	드러나/VV+아/EC
있고	있/VX+고/EC
의견이	의견/NNG+이/JKS
팽팽한	팽팽하/VA+ㄴ/ETM
만큼	만큼/NNB
결단의	결단/NNG+의/JKG
문제만	문제/NNG+만/JX
남았다”고	남/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.7.1
한 최고위원은 “내일 최고위원회에서 전당대회 날짜를 8월20일로 못박게 될 것”이라며 “경선룰은 바뀌지 않을 것”이라고 말했다.

한	한/MMN
최고위원은	최고/NNG+위원/NNG+은/JX
“내일	“/SS+내일/NNG
최고위원회에서	최고/NNG+위원회/NNG+에서/JKB
전당대회	전당/NNG+대회/NNG
날짜를	날짜/NNG+를/JKO
8월20일로	8/SN+월/NNB+20/SN+일/NNB+로/JKB
못박게	못/NNG+박/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“경선룰은	“/SS+경선/NNG+룰/NNG+은/JX
바뀌지	바뀌/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.8.1
황우여 대표도 현행 규칙 고수 뜻을 밝혔다.

황우여	황우여/NNP
대표도	대표/NNG+도/JX
현행	현행/NNG
규칙	규칙/NNG
고수	고수/NNG
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.392.8.2
황 대표는 “비박 주자들이 힘과 의견을 모아 경선 규칙을 고칠 수 있으면 고치는 것이지만 못 고치면 할 수 없다”며 “경선 규칙이 없는 것도 아니고, 크게 잘못된 것도 없다”고 말했다.

황	황/NNP
대표는	대표/NNG+는/JX
“비박	“/SS+비/XPN+박/NNP
주자들이	주자/NNG+들/XSN+이/JKS
힘과	힘/NNG+과/JC
의견을	의견/NNG+을/JKO
모아	모으/VV+아/EC
경선	경선/NNG
규칙을	규칙/NNG+을/JKO
고칠	고치/VV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
고치는	고치/VV+는/ETM
것이지만	것/NNB+이/VCP+지만/EC
못	못/MAG
고치면	고치/VV+면/EC
할	하/VV+ㄹ/ETM
없다”며	없/VA+다/EF+”/SS+며/EC
“경선	“/SS+경선/NNG
규칙이	규칙/NNG+이/JKS
없는	없/VA+는/ETM
것도	것/NNB+도/JX
아니고,	아니/VCN+고/EC+,/SP
크게	크/VA+게/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.392.8.3
