# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.338
metadata : {}


# id : NWRW1800000049.338.1.1
[단독]5시 넘으면 ‘눈치’… 말뿐인 종일보육

[단독]5시	[/SS+단독/NNG+]/SS+5/SN+시/NNB
넘으면	넘/VV+으면/EC
‘눈치’…	‘/SS+눈치/NNG+’/SS+…/SE
말뿐인	말/NNG+뿐/JX+이/VCP+ㄴ/ETM
종일보육	종일/NNG+보육/NNG


# id : NWRW1800000049.338.2.1
맞춤형 보육 1주일… 어린이집 현실은

맞춤형	맞춤/NNG+형/XSN
보육	보육/NNG
1주일…	1/SN+주일/NNB+…/SE
어린이집	어린이집/NNG
현실은	현실/NNG+은/JX


# id : NWRW1800000049.338.3.1
맞춤형 보육이 시작된 지 1주일이 지났지만 달라진 게 없다는 학부모 불만이 쏟아지고 있어 보건복지부가 어린이집에 대한 감독을 강화하기로 했다.

맞춤형	맞춤/NNG+형/XSN
보육이	보육/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
지	지/NNB
1주일이	1/SN+주일/NNB+이/JKS
지났지만	지나/VV+았/EP+지만/EC
달라진	달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
학부모	학부모/NNG
불만이	불만/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있어	있/VX+어/EC
보건복지부가	보건/NNG+복지부/NNG+가/JKS
어린이집에	어린이집/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감독을	감독/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.338.4.1
복지부는 전국 어린이집에 학부모들의 요구사항을 반영한 ‘운영계획서’를 만들어 원내에 비치하라는 공문을 6일 전달한 것으로 확인됐다.

복지부는	복지부/NNG+는/JX
전국	전국/NNG
어린이집에	어린이집/NNG+에/JKB
학부모들의	학부모/NNG+들/XSN+의/JKG
요구사항을	요구/NNG+사항/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
‘운영계획서’를	‘/SS+운영/NNG+계획서/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
원내에	원내/NNG+에/JKB
비치하라는	비치/NNG+하/XSV+라는/ETM
공문을	공문/NNG+을/JKO
6일	6/SN+일/NNB
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.338.4.2
이에 따라 전국 어린이집은 설문을 통해 학부모들이 원하는 종일반, 맞춤반 운영 시간을 조사해 학부모 의견을 토대로 어린이집 이용 시간이 탄력적으로 적용된 운영계획서를 만들고 이를 시행해야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
