# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.206
metadata : {}


# id : NWRW1800000054.206.1.1
건보적용 대상서 빠진 탈모인들 "500만 모욕… 촛불 들어야 하나"

건보적용	건보/NNG+적용/NNG
대상서	대상/NNG+서/JKB
빠진	빠지/VV+ㄴ/ETM
탈모인들	탈모인/NNG+들/XSN
"500만	"/SS+500/SN+만/NR
모욕…	모욕/NNG+…/SE
촛불	촛불/NNG
들어야	들/VV+어야/EC
하나"	하/VX+나/EF+"/SS


# id : NWRW1800000054.206.2.1
발기부전·코골이도 혜택 못받아

발기부전·코골이도	발기/NNG+부전/NNG+·/SP+코골이/NNG+도/JX
혜택	혜택/NNG
못받아	못/MAG+받/VV+아/EF


# id : NWRW1800000054.206.3.1
"탈모(脫毛)는 심하면 정신질환까지 유발하는 심각한 질병인데 왜 탈모인을 차별하나." "탈모에도 보험 적용해 달라."

"탈모(脫毛)는	"/SS+탈모/NNG+(/SS+脫毛/SH+)/SS+는/JX
심하면	심하/VA+면/EC
정신질환까지	정신/NNG+질환/NNG+까지/JX
유발하는	유발/NNG+하/XSV+는/ETM
심각한	심각하/VA+ㄴ/ETM
질병인데	질병/NNG+이/VCP+ㄴ데/EC
왜	왜/MAG
탈모인을	탈모인/NNG+을/JKO
차별하나."	차별/NNG+하/XSV+나/EF+./SF+"/SS
"탈모에도	"/SS+탈모/NNG+에/JKB+도/JX
보험	보험/NNG
적용해	적용/NNG+하/XSV+아/EC
달라."	달/VX+라/EF+./SF+"/SS


# id : NWRW1800000054.206.4.1
문재인 대통령은 지난 9일 "앞으로 미용·성형과 같이 명백하게 보험 대상에서 제외할 것 이외에는 모든 (건강보험 혜택을 받지 못하는) 비급여에 건강보험을 적용하겠다"고 밝혔다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
"앞으로	"/SS+앞/NNG+으로/JKB
