# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.123
metadata : {}


# id : NWRW1800000028.123.1.1
미, 보수 ‘싱크탱크 저널리즘’ 활개

미,	미/NNP+,/SP
보수	보수/NNG
‘싱크탱크	‘/SS+싱크탱크/NNG
저널리즘’	저널리즘/NNG+’/SS
활개	활개/NNG


# id : NWRW1800000028.123.2.1
미국의 전통적 종이언론들이 경영난 등으로 지방조직을 축소하고 지역 언론들은 문을 닫는 가운데 보수적인 연구소·기관(싱크탱크)의 재정적 후원을 받는 인터넷 뉴스매체들이 그 공백을 메우면서 이른바 ‘싱크탱크 저널리즘’ 현상이 나타나고 있다.

미국의	미국/NNP+의/JKG
전통적	전통/NNG+적/XSN
종이언론들이	종이/NNG+언론/NNG+들/XSN+이/JKS
경영난	경영난/NNG
등으로	등/NNB+으로/JKB
지방조직을	지방/NNG+조직/NNG+을/JKO
축소하고	축소/NNG+하/XSV+고/EC
지역	지역/NNG
언론들은	언론/NNG+들/XSN+은/JX
문을	문/NNG+을/JKO
닫는	닫/VV+는/ETM
가운데	가운데/NNG
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
연구소·기관(싱크탱크)의	연구소/NNG+·/SP+기관/NNG+(/SS+싱크탱크/NNG+)/SS+의/JKG
재정적	재정/NNG+적/XSN
후원을	후원/NNG+을/JKO
받는	받/VV+는/ETM
인터넷	인터넷/NNG
뉴스매체들이	뉴스/NNG+매체/NNG+들/XSN+이/JKS
그	그/MMD
공백을	공백/NNG+을/JKO
메우면서	메우/VV+면서/EC
이른바	이른바/MAG
‘싱크탱크	‘/SS+싱크탱크/NNG
저널리즘’	저널리즘/NNG+’/SS
현상이	현상/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.123.2.2
특히 이들 싱크탱크의 지원을 받는 온라인 매체들은 취재영역을 적극적으로 확대하면서 보수적 이념을 확산시키고 있다.

특히	특히/MAG
이들	이/NP+들/XSN
싱크탱크의	싱크탱크/NNG+의/JKG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
온라인	온라인/NNG
매체들은	매체/NNG+들/XSN+은/JX
취재영역을	취재/NNG+영역/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
확대하면서	확대/NNG+하/XSV+면서/EC
보수적	보수/NNG+적/XSN
이념을	이념/NNG+을/JKO
확산시키고	확산/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.123.2.3
이에 따라 언론영역을 넘보는 싱크탱크의 이런 활동이 정치적 여론조작이나 왜곡된 의제설정을 낳을 수 있다는 우려가 제기되고 있다고 <에이피>(AP) 통신이 14일 전했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
언론영역을	언론/NNG+영역/NNG+을/JKO
넘보는	넘보/VV+는/ETM
싱크탱크의	싱크탱크/NNG+의/JKG
이런	이런/MMD
활동이	활동/NNG+이/JKS
정치적	정치/NNG+적/XSN
여론조작이나	여론/NNG+조작/NNG+이나/JC
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
의제설정을	의제/NNG+설정/NNG+을/JKO
낳을	낳/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
제기되고	제기/NNG+되/XSV+고/EC
