# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.28
metadata : {}


# id : NWRW1800000026.28.1.1
[새 영화] 500일의 썸머_멕 라이언 닮은 그녀, 그리고 연애의 법칙

[새	[/SS+새/MMA
영화]	영화/NNG+]/SS
500일의	500/SN+일/NNB+의/JKG
썸머_멕	썸머/NNG+_/SS+멕/NNP
라이언	라이언/NNP
닮은	닮/VV+은/ETM
그녀,	그녀/NP+,/SP
그리고	그리고/MAJ
연애의	연애/NNG+의/JKG
법칙	법칙/NNG


# id : NWRW1800000026.28.2.1
이 대단히 재미있는 로맨틱 코미디는 이런 자막으로 시작한다.

이	이/MMD
대단히	대단히/MAG
재미있는	재미있/VA+는/ETM
로맨틱	로맨틱/NNG
코미디는	코미디/NNG+는/JX
이런	이런/MMD
자막으로	자막/NNG+으로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.2.2
"이 영화는 허구이므로 등장인물과 닮은 사람이 있다고 하더라도 오직 우연일 뿐입니다.

"이	"/SS+이/MMD
영화는	영화/NNG+는/JX
허구이므로	허구/NNG+이/VCP+므로/EC
등장인물과	등장인물/NNG+과/JKB
닮은	닮/VV+은/ETM
사람이	사람/NNG+이/JKS
있다고	있/VA+다고/EC
하더라도	하/VV+더라도/EC
오직	오직/MAG
우연일	우연/NNG+이/VCP+ㄹ/ETM
뿐입니다.	뿐/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.28.2.3
특히 너… 제니 벡맨.

특히	특히/MAG
너…	너/NP+…/SE
제니	제니/NNP
벡맨.	벡맨/NNP+./SF


# id : NWRW1800000026.28.2.4
망할 ×." 이렇게 시작한 영화 '500일의 썸머(21일 개봉)'는 끝까지 아기자기하고 촘촘하게 한 커플의 연애사를 풀어놓는다.

망할	망하/VV+ㄹ/ETM
×."	×/SW+./SF+"/SS
이렇게	이렇/VA+게/EC
시작한	시작/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
'500일의	'/SS+500/SN+일/NNB+의/JKG
썸머(21일	썸머/NNG+(/SS+21/SN+일/NNB
개봉)'는	개봉/NNG+)/SS+'/SS+는/JX
끝까지	끝/NNG+까지/JX
아기자기하고	아기자기/MAG+하고/JKB
촘촘하게	촘촘하/VA+게/EC
한	한/MMN
커플의	커플/NNG+의/JKG
연애사를	연애사/NNG+를/JKO
풀어놓는다.	풀어놓/VV+는다/EF+./SF


# id : NWRW1800000026.28.2.5
윈저공과 심슨 부인의 사랑부터 마님과 돌쇠의 정분(情分)까지, 모든 연애는 사실 어슷비슷하다.

윈저공과	윈저공/NNP+과/JC
심슨	심슨/NNP
부인의	부인/NNG+의/JKG
사랑부터	사랑/NNG+부터/JX
마님과	마님/NNG+과/JC
돌쇠의	돌쇠/NNP+의/JKG
정분(情分)까지,	정분/NNG+(/SS+情分/SH+)/SS+까지/JX+,/SP
모든	모든/MMN
연애는	연애/NNG+는/JX
사실	사실/MAG
어슷비슷하다.	어슷비슷/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000026.28.2.6
이 영화가 재미있는 건 특이한 사랑 얘기를 하는 것이 아니라, 평범한 연애에서 얘깃거리를 정확히 집어냈기 때문이다.

이	이/MMD
영화가	영화/NNG+가/JKS
재미있는	재미있/VA+는/ETM
건	거/NNB+ㄴ/JX
특이한	특이/NNG+하/XSA+ㄴ/ETM
사랑	사랑/NNG
얘기를	얘기/NNG+를/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
평범한	평범하/VA+ㄴ/ETM
연애에서	연애/NNG+에서/JKB
얘깃거리를	얘깃거리/NNG+를/JKO
정확히	정확히/MAG
집어냈기	집어내/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.28.3.1
톰(조셉 고든 레빗)은 신참 직원 썸머(주이 디샤넬)에게 첫눈에 반한다.

톰(조셉	톰/NNP+(/SS+조셉/NNP
고든	고든/NNP
레빗)은	레빗/NNP+)/SS+은/JX
신참	신참/NNG
직원	직원/NNG
썸머(주이	썸머/NNP+(/SS+주이/NNP
디샤넬)에게	디샤넬/NNP+)/SS+에게/JKB
첫눈에	첫눈/NNG+에/JKB
반한다.	반하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.28.3.2
만난 지 3일째, 톰은 썸머와 처음으로 음악 이야기를 나누고 28일째엔 그녀에게 좋아한다고 말한다.

만난	만나/VV+ㄴ/ETM
지	지/NNB
3일째,	3/SN+일/NNB+째/XSN+,/SP
톰은	톰/NNP+은/JX
썸머와	썸머/NNP+와/JKB
처음으로	처음/NNG+으로/JKB
음악	음악/NNG
이야기를	이야기/NNG+를/JKO
나누고	나누/VV+고/EC
28일째엔	28/SN+일/NNB+째/XSN+에/JKB+ㄴ/JX
그녀에게	그녀/NP+에게/JKB
