# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.210
metadata : {}


# id : NWRW1800000041.210.1.1
설익은 한가위… ‘과일 물가’ 비상

설익은	설익/VV+은/ETM
한가위…	한가위/NNG+…/SE
‘과일	‘/SS+과일/NNG
물가’	물가/NNG+’/SS
비상	비상/NNG


# id : NWRW1800000041.210.2.1
38년만에 가장 이른 차례상… 수확량 줄어든 단감 등 값 껑충 올 비용 5% 늘어 21만5240원 정부 15개 품목 공급량 50% 늘리기로… 중소기업 자금도 21조원 지원

38년만에	38/SN+년/NNB+만/NNB+에/JKB
가장	가장/MAG
이른	이르/VA+ㄴ/ETM
차례상…	차례상/NNG+…/SE
수확량	수확량/NNG
줄어든	줄어들/VV+ㄴ/ETM
단감	단감/NNG
등	등/NNB
값	값/NNG
껑충	껑충/MAG
올	올/NNG
비용	비용/NNG
5%	5/SN+%/SW
늘어	늘/VV+어/EC
21만5240원	21/SN+만/NR+5240/SN+원/NNB
정부	정부/NNG
15개	15/SN+개/NNB
품목	품목/NNG
공급량	공급량/NNG
50%	50/SN+%/SW
늘리기로…	늘리/VV+기/ETN+로/JKB+…/SE
중소기업	중소기업/NNG
자금도	자금/NNG+도/JX
21조원	21/SN+조/NR+원/NNB
지원	지원/NNG


# id : NWRW1800000041.210.3.1
올해 추석이 1976년 이후 38년 만에 가장 빨리 찾아오면서 차례상을 차리는 데 지난해보다 5% 정도 비용이 더 들 것이라는 전망이 나왔다.

올해	올해/NNG
추석이	추석/NNG+이/JKS
1976년	1976/SN+년/NNB
이후	이후/NNG
38년	38/SN+년/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
빨리	빨리/MAG
찾아오면서	찾아오/VV+면서/EC
차례상을	차례상/NNG+을/JKO
차리는	차리/VV+는/ETM
데	데/NNB
지난해보다	지난해/NNG+보다/JKB
5%	5/SN+%/SW
정도	정도/NNG
비용이	비용/NNG+이/JKS
더	더/MAG
들	들/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.3.2
이에 따라 정부는 추석 때 주로 소비되는 배추 사과 배 쇠고기 등 15개 품목을 평소보다 50% 이상 많이 시장에 내놓기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정부는	정부/NNG+는/JX
추석	추석/NNG
때	때/NNG
주로	주로/MAG
소비되는	소비/NNG+되/XSV+는/ETM
배추	배추/NNG
사과	사과/NNG
배	배/NNG
쇠고기	쇠고기/NNG
등	등/NNB
15개	15/SN+개/NNB
품목을	품목/NNG+을/JKO
평소보다	평소/NNG+보다/JKB
50%	50/SN+%/SW
이상	이상/NNG
많이	많이/MAG
시장에	시장/NNG+에/JKB
내놓기로	내놓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.210.3.3
백화점 대형마트 등 유통업계도 추석 관련 물품 확보에 나섰다.

백화점	백화점/NNG
대형마트	대형/NNG+마트/NNG
등	등/NNB
유통업계도	유통업/NNG+계/XSN+도/JX
추석	추석/NNG
관련	관련/NNG
물품	물품/NNG
확보에	확보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.210.4.1
19일 롯데마트에 따르면 올해 추석 차례상을 차리는 데 드는 비용은 지난해보다 5.2% 더 늘어날 것으로 예상된다.

19일	19/SN+일/NNB
롯데마트에	롯데마트/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
추석	추석/NNG
차례상을	차례상/NNG+을/JKO
차리는	차리/VV+는/ETM
데	데/NNB
드는	들/VV+는/ETM
비용은	비용/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
5.2%	5/SN+./SP+2/SN+%/SW
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.210.4.2
롯데마트가 지난해 조사한 차례상 비용(추석 7일 전 기준)은 20만4620원.

롯데마트가	롯데마트/NNP+가/JKS
지난해	지난해/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
차례상	차례상/NNG
비용(추석	비용/NNG+(/SS+추석/NNG
7일	7/SN+일/NNB
전	전/NNG
기준)은	기준/NNG+)/SS+은/JX
20만4620원.	20/SN+만/NR+4620/SN+원/NNB+./SF


# id : NWRW1800000041.210.4.3
올해는 이 비용이 21만5240원으로 늘어날 것으로 보인다.

올해는	올해/NNG+는/JX
이	이/MMD
비용이	비용/NNG+이/JKS
21만5240원으로	21/SN+만/NR+5240/SN+원/NNB+으로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.210.4.4
과일 값과 쇠고기 가격 등이 올랐기 때문이다.

과일	과일/NNG
값과	값/NNG+과/JC
쇠고기	쇠고기/NNG
가격	가격/NNG
등이	등/NNB+이/JKS
올랐기	오르/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.210.4.5
품목별로 보면 특히 이른 추석으로 과실이 충분히 익지 않아 수확량이 줄어든 단감과 밤 등의 인상률이 눈에 띈다.

품목별로	품목/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
특히	특히/MAG
이른	이르/VA+ㄴ/ETM
추석으로	추석/NNG+으로/JKB
과실이	과실/NNG+이/JKS
충분히	충분히/MAG
익지	익/VV+지/EC
않아	않/VX+아/EC
수확량이	수확량/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
단감과	단감/NNG+과/JC
밤	밤/NNG
등의	등/NNB+의/JKG
인상률이	인상/NNG+률/XSN+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.210.4.6
추석 7일 전을 기준으로 단감(5개)은 지난해 8500원에서 올해 1만2000원으로 41.2%, 밤(1kg)은 7500원에서 1만 원으로 33.3% 오를 것으로 보인다.

추석	추석/NNG
7일	7/SN+일/NNB
전을	전/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
단감(5개)은	단감/NNG+(/SS+5/SN+개/NNB+)/SS+은/JX
지난해	지난해/NNG
8500원에서	8500/SN+원/NNB+에서/JKB
올해	올해/NNG
1만2000원으로	1/SN+만/NR+2000/SN+원/NNB+으로/JKB
41.2%,	41/SN+./SP+2/SN+%/SW+,/SP
밤(1kg)은	밤/NNG+(/SS+1/SN+kg/SW+)/SS+은/JX
