# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.289
metadata : {}


# id : NWRW1800000028.289.1.1
라다크 잔스카르 순례기를 시작하며 /‘산타클로스 스님’ 따라 /잃어버린 얼굴 찾아

라다크	라다크/NNP
잔스카르	잔스카르/NNP
순례기를	순례기/NNG+를/JKO
시작하며	시작/NNG+하/XSV+며/EC
/‘산타클로스	//SP+‘/SS+산타클로스/NNP
스님’	스님/NNG+’/SS
따라	따르/VV+아/EC
/잃어버린	//SP+잃어버리/VV+ㄴ/ETM
얼굴	얼굴/NNG
찾아	찾/VV+아/EF


# id : NWRW1800000028.289.2.1
휴심(休心)을 위한 방법에는 여러 가지가 있습니다.

휴심(休心)을	휴심/NNG+(/SS+休心/SH+)/SS+을/JKO
위한	위하/VV+ㄴ/ETM
방법에는	방법/NNG+에/JKB+는/JX
여러	여러/MMN
가지가	가지/NNB+가/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000028.289.2.2
‘마음을 쉬기 위해’ 어떤 사람들은 명상이나 수행·수도를 하기도 하고, 어떤 사람들은 예수 그리스도나 관세음보살과 같은 성인과 수호자들을 관상하거나 주문을 외우기도 합니다.

‘마음을	‘/SS+마음/NNG+을/JKO
쉬기	쉬/VV+기/ETN
위해’	위하/VV+아/EC+’/SS
어떤	어떤/MMD
사람들은	사람/NNG+들/XSN+은/JX
명상이나	명상/NNG+이나/JC
수행·수도를	수행/NNG+·/SP+수도/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
예수	예수/NNP
그리스도나	그리스도/NNG+나/JC
관세음보살과	관세음보살/NNP+과/JKB
같은	같/VA+은/ETM
성인과	성인/NNG+과/JC
수호자들을	수호자/NNG+들/XSN+을/JKO
관상하거나	관상/NNG+하/XSV+거나/EC
주문을	주문/NNG+을/JKO
외우기도	외우/VV+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.2.3
그리고 순례를 하는 이들이 있습니다.

그리고	그리고/MAJ
순례를	순례/NNG+를/JKO
하는	하/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000028.289.3.1
문명이 편리해지면서 호텔을 이용한 편한 성지순례도 많지만 아직도 티베트의 수도 라사를 향해 온몸을 땅에 엎드리는 오체투지로 수천 리를 가는 고행을 자처하는 순례자들도 있습니다.

문명이	문명/NNG+이/JKS
편리해지면서	편리/NNG+하/XSA+아/EC+지/VX+면서/EC
호텔을	호텔/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
편한	편하/VA+ㄴ/ETM
성지순례도	성지/NNG+순례/NNG+도/JX
많지만	많/VA+지만/EC
아직도	아직/MAG+도/JX
티베트의	티베트/NNP+의/JKG
수도	수도/NNG
라사를	라사/NNP+를/JKO
향해	향하/VV+아/EC
온몸을	온몸/NNG+을/JKO
땅에	땅/NNG+에/JKB
엎드리는	엎드리/VV+는/ETM
오체투지로	오체투지/NNG+로/JKB
수천	수천/NR
리를	리/NNB+를/JKO
가는	가/VV+는/ETM
고행을	고행/NNG+을/JKO
자처하는	자처/NNG+하/XSV+는/ETM
순례자들도	순례자/NNG+들/XSN+도/JX
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000028.289.3.2
이런 순례는 생을 거듭하면서도 좀체 버리지 못하는 집착의 끈을 끊거나 거듭나기 위한 고행입니다.

이런	이런/MMD
순례는	순례/NNG+는/JX
생을	생/NNG+을/JKO
거듭하면서도	거듭/MAG+하/XSV+면서/EC+도/JX
좀체	좀체/MAG
버리지	버리/VV+지/EC
못하는	못하/VX+는/ETM
집착의	집착/NNG+의/JKG
끈을	끈/NNG+을/JKO
끊거나	끊/VV+거나/EC
거듭나기	거듭나/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고행입니다.	고행/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.4.1
티베트의 정신적 지도자인 달라이 라마에게 누군가 명상을 비롯한 많은 수행 가운데 어떤 것이 가장 훌륭한 수행법인지를 물은 적이 있다고 합니다.

티베트의	티베트/NNP+의/JKG
정신적	정신/NNG+적/XSN
지도자인	지도자/NNG+이/VCP+ㄴ/ETM
달라이	달라이/NNP
라마에게	라마/NNP+에게/JKB
누군가	누구/NP+이/VCP+ㄴ가/EF
명상을	명상/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
수행	수행/NNG
가운데	가운데/NNG
어떤	어떤/MMD
것이	것/NNB+이/JKS
가장	가장/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
수행법인지를	수행법/NNG+이/VCP+ㄴ지/EF+를/JKO
물은	묻/VV+은/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.4.2
그때 달라이 라마는 “수행법에는 우등하고 열등한 것이 따로 없지만, 순례가 가져다주는 유익함이 크다”며 순례를 적극 권장했다고 합니다.

그때	그때/NNG
달라이	달라이/NNP
라마는	라마/NNP+는/JX
“수행법에는	“/SS+수행법/NNG+에/JKB+는/JX
우등하고	우등/NNG+하/XSA+고/EC
열등한	열등/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKS
따로	따로/MAG
없지만,	없/VA+지만/EC+,/SP
순례가	순례/NNG+가/JKS
가져다주는	가져다주/VV+는/ETM
유익함이	유익/NNG+하/XSA+ㅁ/ETN+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
순례를	순례/NNG+를/JKO
적극	적극/NNG
권장했다고	권장/NNG+하/XSV+았/EP+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.4.3
왜 달라이 라마는 수많은 수행·수도의 방법 중에서 유달리 순례를 권장했을까요?

왜	왜/MAG
달라이	달라이/NNP
라마는	라마/NNP+는/JX
수많은	수많/VA+은/ETM
수행·수도의	수행/NNG+·/SP+수도/NNG+의/JKG
방법	방법/NNG
중에서	중/NNB+에서/JKB
유달리	유달리/MAG
순례를	순례/NNG+를/JKO
권장했을까요?	권장/NNG+하/XSV+았/EP+을까/EF+요/JX+?/SF


# id : NWRW1800000028.289.5.1
히말라야 오지 중의 오지

히말라야	히말라야/NNP
오지	오지/NNG
중의	중/NNB+의/JKG


# id : NWRW1800000028.289.6.1
순례는 예고되지 않은 드라마입니다.

순례는	순례/NNG+는/JX
예고되지	예고/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
드라마입니다.	드라마/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.6.2
늘 예상치 못한 일에 봉착할 수 있습니다.

늘	늘/MAG
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
일에	일/NNG+에/JKB
봉착할	봉착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000028.289.6.3
그러면서 순례자는 시험에 듭니다.

그러면서	그러/VV+면서/EC
순례자는	순례자/NNG+는/JX
시험에	시험/NNG+에/JKB
듭니다.	들/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.6.4
체력과 마음의 한계 상황을 초극하는 과정을 거치면서 오랫동안 잠자던 내면이 깨어나기 시작합니다.

체력과	체력/NNG+과/JC
마음의	마음/NNG+의/JKG
한계	한계/NNG
상황을	상황/NNG+을/JKO
초극하는	초극/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
거치면서	거치/VV+면서/EC
오랫동안	오랫동안/NNG
잠자던	잠자/VV+던/ETM
내면이	내면/NNG+이/JKS
깨어나기	깨어나/VV+기/ETN
시작합니다.	시작/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.7.1
휴심정에 새로 연재되고 있는 ‘라다크·잔스카르 순례기’는 거대한 히말라야에서도 오지로 꼽히는 곳을 순례한 기록이며, 꼭꼭 숨은 우리의 내면을 깨우는 여정입니다.

휴심정에	휴심정/NNG+에/JKB
새로	새로/MAG
연재되고	연재/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
‘라다크·잔스카르	‘/SS+라다크/NNP+·/SP+잔스카르/NNP
순례기’는	순례기/NNG+’/SS+는/JX
거대한	거대/NNG+하/XSA+ㄴ/ETM
히말라야에서도	히말라야/NNP+에서/JKB+도/JX
오지로	오지/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
곳을	곳/NNG+을/JKO
순례한	순례/NNG+하/XSV+ㄴ/ETM
기록이며,	기록/NNG+이/VCP+며/EC+,/SP
꼭꼭	꼭꼭/MAG
숨은	숨/VV+은/ETM
우리의	우리/NP+의/JKG
내면을	내면/NNG+을/JKO
깨우는	깨우/VV+는/ETM
여정입니다.	여정/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.289.7.2
휴심정은 그동안 ‘하늘이 감춘 땅’과 ‘인도오지순례’ 등을 통해 세파에 물들지 않은 숨은 땅을 찾아갔습니다.

휴심정은	휴심정/NNG+은/JX
그동안	그동안/NNG
