# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.317
metadata : {}


# id : NWRW1800000040.317.1.1
[아침 햇발] 콩 한쪽의 행복 / 정영무

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
콩	콩/NNG
한쪽의	한쪽/NNG+의/JKG
행복	행복/NNG
/	//SP
정영무	정영무/NNP


# id : NWRW1800000040.317.2.1
예술가가 작품에 필요한 모든 재료를 가졌듯이 우리는 모두 행복에 필요한 모든 것을 가졌다고 괴테는 <빌헬름 마이스터>에서 썼다.

예술가가	예술가/NNG+가/JKS
작품에	작품/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
재료를	재료/NNG+를/JKO
가졌듯이	가지/VV+었/EP+듯이/EC
우리는	우리/NP+는/JX
모두	모두/MAG
행복에	행복/NNG+에/JKB
것을	것/NNB+을/JKO
가졌다고	가지/VV+었/EP+다고/EC
괴테는	괴테/NNP+는/JX
<빌헬름	</SS+빌헬름/NNP
마이스터>에서	마이스터/NNG+>/SS+에서/JKB
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.317.2.2
세네카가 인간은 보이지 않는 구석에서도 하늘로 도약할 수 있다고 말했듯이, 나치의 유대인 수용소에서도 행복은 있었다고 한다.

세네카가	세네카/NNP+가/JKS
인간은	인간/NNG+은/JX
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
구석에서도	구석/NNG+에서/JKB+도/JX
하늘로	하늘/NNG+로/JKB
도약할	도약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
말했듯이,	말/NNG+하/XSV+았/EP+듯이/EC+,/SP
나치의	나치/NNP+의/JKG
유대인	유대인/NNP
수용소에서도	수용소/NNG+에서/JKB+도/JX
행복은	행복/NNG+은/JX
있었다고	있/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.317.2.3
행복이란 주관적이고 사람에 따라 제각각이어서 인간이란 무엇인가라는 물음처럼 가슴 설레지만 잡힐 듯 잡히지 않는다.

행복이란	행복/NNG+이란/JX
주관적이고	주관/NNG+적/XSN+이/VCP+고/EC
사람에	사람/NNG+에/JKB
따라	따르/VV+아/EC
제각각이어서	제각각/NNG+이/VCP+어서/EC
인간이란	인간/NNG+이란/JX
무엇인가라는	무엇/NP+이/VCP+ㄴ가라는/ETM
물음처럼	물음/NNG+처럼/JKB
가슴	가슴/NNG
설레지만	설레/VV+지만/EC
잡힐	잡히/VV+ㄹ/ETM
