# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.275
metadata : {}


# id : NWRW1800000026.275.1.1
初中高에 '독도 수업'

初中高에	初中高/SH+에/JKB
'독도	'/SS+독도/NNP
수업'	수업/NNG+'/SS


# id : NWRW1800000026.275.2.1
내년 1학기부터 전국 모든 초·중·고교에서 '독도 수업'이 열리게 된다.

내년	내년/NNG
1학기부터	1/SN+학기/NNG+부터/JX
전국	전국/NNG
모든	모든/MMN
초·중·고교에서	초·중·고교/NNG+에서/JKB
'독도	'/SS+독도/NNP
수업'이	수업/NNG+'/SS+이/JKS
열리게	열리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.275.3.1
교육과학기술부는 16개 시·도 교육청에 "각 학교에서 재량활동 시간을 이용해 독도 관련 교육을 강화하라"는 지침을 내렸다고 12일 밝혔다.

교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
16개	16/SN+개/NNB
시·도	시·도/NNG
교육청에	교육청/NNG+에/JKB
"각	"/SS+각/MMD
학교에서	학교/NNG+에서/JKB
재량활동	재량/NNG+활동/NNG
시간을	시간/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
독도	독도/NNP
관련	관련/NNG
교육을	교육/NNG+을/JKO
강화하라"는	강화/NNG+하/XSV+라/EF+"/SS+는/ETM
지침을	지침/NNG+을/JKO
내렸다고	내리/VV+었/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.275.3.2
재량활동 시간은 정규 수업 외 학교장 권한으로 편성할 수 있는 수업 시간이다.

재량활동	재량/NNG+활동/NNG
시간은	시간/NNG+은/JX
정규	정규/NNG
수업	수업/NNG
외	외/NNB
학교장	학교장/NNG
권한으로	권한/NNG+으로/JKB
편성할	편성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간이다.	시간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.275.4.1
지금은 행정구역상 독도가 속한 경북도교육청의 초·중·고에서 연간 10여시간 독도 관련 재량수업을 진행하고 있고, 충남교육청도 독도 관련 수업을 하고 있다.

지금은	지금/NNG+은/JX
행정구역상	행정/NNG+구역/NNG+상/XSN
독도가	독도/NNP+가/JKS
속한	속하/VV+ㄴ/ETM
경북도교육청의	경북도교육청/NNP+의/JKG
초·중·고에서	초·중·고/NNG+에서/JKB
연간	연간/NNG
10여시간	10/SN+여/XSN+시간/NNB
독도	독도/NNP
관련	관련/NNG
재량수업을	재량/NNG+수업/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
충남교육청도	충남교육청/NNP+도/JX
수업을	수업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


