# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.233
metadata : {}


# id : NWRW1800000054.233.1.1
청주, 유네스코 국제기록유산센터 유치

청주,	청주/NNP+,/SP
유네스코	유네스코/NNP
국제기록유산센터	국제기록유산센터/NNP
유치	유치/NNG


# id : NWRW1800000054.233.2.1
260억 들여 2019년 완공… 등재된 기록유산 보존·관리

260억	260/SN+억/NR
들여	들이/VV+어/EC
2019년	2019/SN+년/NNB
완공…	완공/NNG+…/SE
등재된	등재/NNG+되/XSV+ㄴ/ETM
기록유산	기록/NNG+유산/NNG
보존·관리	보존/NNG+·/SP+관리/NNG


# id : NWRW1800000054.233.3.1
세계 최고(最古) 금속활자본 직지(直指)가 탄생한 충북 청주시에 유네스코 국제기록유산센터(ICDH)가 들어선다.

세계	세계/NNG
최고(最古)	최고/NNG+(/SS+最古/SH+)/SS
금속활자본	금속/NNG+활자본/NNG
직지(直指)가	직지/NNP+(/SS+直指/SH+)/SS+가/JKS
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
충북	충북/NNP
청주시에	청주시/NNP+에/JKB
유네스코	유네스코/NNP
국제기록유산센터(ICDH)가	국제기록유산센터/NNP+(/SS+ICDH/SL+)/SS+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.233.4.1
행정안전부 국가기록원은 7일 유네스코 산하기관인 '국제기록유산센터(ICDH· International Center for Documentary Heritage)'를 한국 청주에 유치하는 데 성공했다고 밝혔다.

행정안전부	행정/NNG+안전부/NNG
국가기록원은	국가/NNG+기록원/NNG+은/JX
7일	7/SN+일/NNB
유네스코	유네스코/NNP
산하기관인	산하/NNG+기관/NNG+이/VCP+ㄴ/ETM
'국제기록유산센터(ICDH·	'/SS+국제기록유산센터/NNP+(/SS+ICDH/SL+·/SP
International	International/SL
Center	Center/SL
for	for/SL
Documentary	Documentary/SL
Heritage)'를	Heritage/SL+)/SS+'/SS+를/JKO
한국	한국/NNP
청주에	청주/NNP+에/JKB
유치하는	유치/NNG+하/XSV+는/ETM
데	데/NNB
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.233.4.2
유네스코는 지난 6일(현지 시각) 프랑스 파리 본부에서 열린 제39차 총회에서 국제기록유산센터 청주 유치를 최종적으로 확정했다.

유네스코는	유네스코/NNP+는/JX
지난	지나/VV+ㄴ/ETM
6일(현지	6/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
프랑스	프랑스/NNP
파리	파리/NNP
본부에서	본부/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
제39차	제/XPN+39/SN+차/NNB
총회에서	총회/NNG+에서/JKB
국제기록유산센터	국제기록유산센터/NNP
청주	청주/NNP
유치를	유치/NNG+를/JKO
최종적으로	최종/NNG+적/XSN+으로/JKB
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.233.4.3
앞서 지난 10월 제202차 집행이사회에서 이사국 만장일치로 ICDH의 한국 설립안을 가결했다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
제202차	제/XPN+202/SN+차/NNB
집행이사회에서	집행/NNG+이사회/NNG+에서/JKB
이사국	이사국/NNG
만장일치로	만장일치/NNG+로/JKB
ICDH의	ICDH/SL+의/JKG
한국	한국/NNP
설립안을	설립/NNG+안/NNG+을/JKO
가결했다.	가결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.233.4.4
ICDH는 기록유산 등재 업무와 직접적 연관은 없으나, 보존과 연구·교육을 담당하는 사무국을 보유하면 앞으로 세계기록유산 정책 전반에 한국의 발언권이 강화될 전망이다.

ICDH는	ICDH/SL+는/JX
기록유산	기록/NNG+유산/NNG
등재	등재/NNG
업무와	업무/NNG+와/JKB
직접적	직접/NNG+적/XSN
연관은	연관/NNG+은/JX
없으나,	없/VA+으나/EC+,/SP
보존과	보존/NNG+과/JC
