# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.372
metadata : {}


# id : NWRW1800000041.372.1.1
北김정은, 南에 친서 2장… 대화공세 신호탄?

北김정은,	北/SH+김정은/NNP+,/SP
南에	南/SH+에/JKB
친서	친서/NNG
2장…	2/SN+장/NNB+…/SE
대화공세	대화/NNG+공세/NNG
신호탄?	신호탄/NNG+?/SF


# id : NWRW1800000041.372.2.1
현정은 회장-이희호 여사에 전달 김양건, 방북 DJ측 관계자에… “금강산관광-이산상봉 문제에서 小路를 대통로로 만들어가자”

현정은	현정은/NNP
회장-이희호	회장/NNG+-/SO+이희호/NNP
여사에	여사/NNG+에/JKB
전달	전달/NNG
김양건,	김양건/NNP+,/SP
방북	방북/NNG
DJ측	DJ/SL+측/NNB
관계자에…	관계자/NNG+에/JKB+…/SE
“금강산관광-이산상봉	“/SS+금강산/NNP+관광/NNG+-/SO+이산/NNG+상봉/NNG
문제에서	문제/NNG+에서/JKB
小路를	小路/SH+를/JKO
대통로로	대/XPN+통로/NNG+로/JKB
만들어가자”	만들/VV+어/EC+가/VX+자/EF+”/SS


# id : NWRW1800000041.372.3.1
김양건 북한 노동당 대남비서 겸 통일전선부장이 24일 “금강산 관광, 5·24조치, 이산가족 상봉 문제에서 소로(小路)를 대통로로 만들자”고 밝혔다.

김양건	김양건/NNP
북한	북한/NNP
노동당	노동당/NNP
대남비서	대남/NNG+비서/NNG
겸	겸/NNB
통일전선부장이	통일/NNG+전선부장/NNG+이/JKS
24일	24/SN+일/NNB
“금강산	“/SS+금강산/NNP
관광,	관광/NNG+,/SP
5·24조치,	5/SN+·/SP+24/SN+조치/NNG+,/SP
이산가족	이산가족/NNG
상봉	상봉/NNG
문제에서	문제/NNG+에서/JKB
소로(小路)를	소로/NNG+(/SS+小路/SH+)/SS+를/JKO
대통로로	대/XPN+통로/NNG+로/JKB
만들자”고	만들/VV+자/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.372.3.2
김양건은 이날 개성공단을 방문한 김대중평화센터 관계자들에게 남북관계 개선 의사를 강하게 드러냈다.

김양건은	김양건/NNP+은/JX
이날	이날/NNG
개성공단을	개성공단/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
김대중평화센터	김대중평화센터/NNP
관계자들에게	관계자/NNG+들/XSN+에게/JKB
남북관계	남북/NNP+관계/NNG
개선	개선/NNG
의사를	의사/NNG+를/JKO
강하게	강하/VA+게/EC
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.372.3.3
내년 초 대남 대화 공세를 강화할 것임을 예고하는 것으로 보인다.

내년	내년/NNG
초	초/NNB
대남	대남/NNG
대화	대화/NNG
공세를	공세/NNG+를/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.372.4.1
김양건을 만난 김성재 김대중평화센터 이사는 동아일보와의 통화에서 “(김양건이) ‘언제든지 남북관계 개선을 정말 바라고 있다.

김양건을	김양건/NNP+을/JKO
만난	만나/VV+ㄴ/ETM
김성재	김성재/NNP
김대중평화센터	김대중평화센터/NNP
이사는	이사/NNG+는/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“(김양건이)	“/SS+(/SS+김양건/NNP+이/JKS+)/SS
‘언제든지	‘/SS+언제/NP+든지/JX
남북관계	남북/NNP+관계/NNG
개선을	개선/NNG+을/JKO
정말	정말/MAG
바라고	바라/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.372.4.2
남측이 그런 상황을 감안해 달라’고 말했다”고 전했다.

남측이	남측/NNG+이/JKS
그런	그런/MMD
상황을	상황/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
달라’고	달/VX+라/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.4.3
그는 “(김양건이) 남북대화를 위해 남측이 뭘 해야 한다는 조건을 내걸지 않았다.

그는	그/NP+는/JX
“(김양건이)	“/SS+(/SS+김양건/NNP+이/JKS+)/SS
남북대화를	남북/NNP+대화/NNG+를/JKO
위해	위하/VV+아/EC
남측이	남측/NNG+이/JKS
뭘	뭐/NP+ㄹ/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
조건을	조건/NNG+을/JKO
내걸지	내걸/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.372.4.4
그때(남북 고위급 접촉 조건으로 대북전단 살포 중지를 내걸었던 때)와 분위기가 달랐다”고 전했다.

그때(남북	그때/NNG+(/SS+남북/NNP
고위급	고위급/NNG
접촉	접촉/NNG
조건으로	조건/NNG+으로/JKB
대북전단	대북/NNG+전단/NNG
살포	살포/NNG
중지를	중지/NNG+를/JKO
내걸었던	내걸/VV+었/EP+던/ETM
때)와	때/NNG+)/SS+와/JC
분위기가	분위기/NNG+가/JKS
달랐다”고	다르/VA+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.4.5
황병서 북한군 총정치국장이 올해 10월 4일 인천에서 언급한 ‘대통로’ 표현을 김양건이 다시 꺼냈고, 한국 정부가 중시하는 이산가족 상봉 문제를 거론한 점이 눈길을 끈다.

황병서	황병서/NNP
북한군	북한군/NNG
총정치국장이	총정치국장/NNG+이/JKS
올해	올해/NNG
10월	10/SN+월/NNB
4일	4/SN+일/NNB
인천에서	인천/NNP+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
‘대통로’	‘/SS+대/XPN+통로/NNG+’/SS
표현을	표현/NNG+을/JKO
김양건이	김양건/NNP+이/JKS
다시	다시/MAG
꺼냈고,	꺼내/VV+었/EP+고/EC+,/SP
한국	한국/NNP
정부가	정부/NNG+가/JKS
중시하는	중시/NNG+하/XSV+는/ETM
이산가족	이산가족/NNG
상봉	상봉/NNG
문제를	문제/NNG+를/JKO
거론한	거론/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.372.5.1
김정은 노동당 제1비서는 이날 김양건을 통해 김대중 전 대통령의 부인 이희호 여사에게 “내년 좋은 계절에 꼭 평양을 방문해 달라”는 내용의 친서를 전했다.

김정은	김정은/NNP
노동당	노동당/NNP
제1비서는	제/XPN+1/SN+비서/NNG+는/JX
이날	이날/NNG
김양건을	김양건/NNP+을/JKO
통해	통하/VV+아/EC
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
부인	부인/NNG
이희호	이희호/NNP
여사에게	여사/NNG+에게/JKB
“내년	“/SS+내년/NNG
좋은	좋/VA+은/ETM
계절에	계절/NNG+에/JKB
꼭	꼭/MAG
평양을	평양/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
달라”는	달/VX+라/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
친서를	친서/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.6.1
이날 별도로 개성공단을 방문해 김양건을 만난 현정은 현대그룹 회장도 김정은의 친서를 받았다.

이날	이날/NNG
별도로	별도/NNG+로/JKB
개성공단을	개성공단/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
김양건을	김양건/NNP+을/JKO
만난	만나/VV+ㄴ/ETM
현정은	현정은/NNP
현대그룹	현대그룹/NNP
회장도	회장/NNG+도/JX
김정은의	김정은/NNP+의/JKG
친서를	친서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.372.6.2
현 회장은 “친서는 김정일 국방위원장 3주기에 현대가 정성껏 준비한 추모화환과 애도의 조의문을 보내온 데 대해 감사하게 생각한다.

현	현/NNP
회장은	회장/NNG+은/JX
“친서는	“/SS+친서/NNG+는/JX
김정일	김정일/NNP
국방위원장	국방/NNG+위원장/NNG
3주기에	3/SN+주기/NNG+에/JKB
현대가	현대/NNP+가/JKS
정성껏	정성껏/MAG
준비한	준비/NNG+하/XSV+ㄴ/ETM
추모화환과	추모/NNG+화환/NNG+과/JC
애도의	애도/NNG+의/JKG
조의문을	조의문/NNG+을/JKO
보내온	보내오/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
감사하게	감사/NNG+하/XSA+게/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.372.6.3
현대의 사업에 언제나 성과가 있기를 바란다.

현대의	현대/NNP+의/JKG
사업에	사업/NNG+에/JKB
언제나	언제나/MAG
성과가	성과/NNG+가/JKS
있기를	있/VV+기/ETN+를/JKO
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.372.6.4
앞으로 (현 회장이) 평양을 방문하면 반갑게 맞이할 것이라는 내용”이라고 설명했다.

앞으로	앞/NNG+으로/JKB
(현	(/SS+현/NNP
회장이)	회장/NNG+이/JKS+)/SS
평양을	평양/NNP+을/JKO
방문하면	방문/NNG+하/XSV+면/EC
