# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.89
metadata : {}


# id : NWRW1800000046.89.1.1
"가장 아픈 상처를 치료했습니다"

"가장	"/SS+가장/MAG
아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
치료했습니다"	치료/NNG+하/XSV+았/EP+습니다/EF+"/SS


# id : NWRW1800000046.89.2.1
코오롱그룹 '牛汀선행상' 시상식, 대상에 산부인과 의사 임선영씨

코오롱그룹	코오롱그룹/NNP
'牛汀선행상'	'/SS+牛汀/SH+선행상/NNG+'/SS
시상식,	시상식/NNG+,/SP
대상에	대상/NNG+에/JKB
산부인과	산부인과/NNG
의사	의사/NNG
임선영씨	임선영/NNP+씨/NNB


# id : NWRW1800000046.89.3.1
코오롱그룹 오운문화재단은 22일 서울 중구 웨스틴조선호텔에서 제15회 우정(牛汀)선행상 시상식을 개최했다.

코오롱그룹	코오롱그룹/NNP
오운문화재단은	오운문화재단/NNP+은/JX
22일	22/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
웨스틴조선호텔에서	웨스틴조선호텔/NNP+에서/JKB
제15회	제/XPN+15/SN+회/NNB
우정(牛汀)선행상	우정/NNP+(/SS+牛汀/SH+)/SS+선행상/NNG
시상식을	시상식/NNG+을/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.89.4.1
이날 시상식에선 산부인과 의사 임선영(58)씨가 올해 선행상 대상(상금 3000만원)을 받았다.

이날	이날/NNG
시상식에선	시상식/NNG+에서/JKB+ㄴ/JX
산부인과	산부인과/NNG
의사	의사/NNG
임선영(58)씨가	임선영/NNP+(/SS+58/SN+)/SS+씨/NNB+가/JKS
올해	올해/NNG
선행상	선행상/NNG
대상(상금	대상/NNG+(/SS+상금/NNG
3000만원)을	3000/SN+만/NR+원/NNB+)/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.89.4.2
임씨는 1986년 산부인과 전문의 자격을 취득한 직후부터 줄곧 여성 노숙인 시설인 서울시립영보자애원에서 매달 둘째 주 일요일마다 여성 노숙인 대상으로 산부인과 진료 봉사를 하고 있다.

임씨는	임/NNP+씨/NNB+는/JX
1986년	1986/SN+년/NNB
산부인과	산부인과/NNG
전문의	전문의/NNG
자격을	자격/NNG+을/JKO
취득한	취득/NNG+하/XSV+ㄴ/ETM
직후부터	직후/NNG+부터/JX
줄곧	줄곧/MAG
여성	여성/NNG
노숙인	노숙인/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
서울시립영보자애원에서	서울시립영보자애원/NNP+에서/JKB
매달	매달/MAG
둘째	둘째/NR
주	주/NNG
일요일마다	일요일/NNG+마다/JX
대상으로	대상/NNG+으로/JKB
진료	진료/NNG
봉사를	봉사/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.89.4.3
또 10년 전 한 성폭력 피해 여성을 무료 진료한 이후엔 한국여성의집이나 서울시 청소년쉼터 같은 기관을 통해 자신이 운영하는 병원을 찾는 성매매·성폭력 피해 여성도 무료로 진료하고 있다.

또	또/MAG
10년	10/SN+년/NNB
전	전/NNG
한	한/MMN
성폭력	성폭력/NNG
피해	피해/NNG
여성을	여성/NNG+을/JKO
무료	무료/NNG
진료한	진료/NNG+하/XSV+ㄴ/ETM
이후엔	이후/NNG+에/JKB+ㄴ/JX
한국여성의집이나	한국여성의집/NNP+이나/JC
서울시	서울시/NNP
청소년쉼터	청소년/NNG+쉼터/NNG
같은	같/VA+은/ETM
기관을	기관/NNG+을/JKO
통해	통하/VV+아/EC
자신이	자신/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
병원을	병원/NNG+을/JKO
찾는	찾/VV+는/ETM
성매매·성폭력	성매매/NNG+·/SP+성폭력/NNG
여성도	여성/NNG+도/JX
무료로	무료/NNG+로/JKB
진료하고	진료/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.89.4.4
재단은 "28년 동안 한결같이 여성 노숙인과 성매매·성폭력 피해 여성의 산부인과 진료를 맡으면서 그들의 가장 아픈 상처를 보듬었다는 점을 높이 평가했다"고 선정 이유를 밝혔다.

재단은	재단/NNG+은/JX
"28년	"/SS+28/SN+년/NNB
동안	동안/NNG
한결같이	한결같이/MAG
여성	여성/NNG
노숙인과	노숙인/NNG+과/JC
성매매·성폭력	성매매/NNG+·/SP+성폭력/NNG
피해	피해/NNG
여성의	여성/NNG+의/JKG
산부인과	산부인과/NNG
진료를	진료/NNG+를/JKO
맡으면서	맡/VV+으면서/EC
그들의	그/NP+들/XSN+의/JKG
가장	가장/MAG
아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
보듬었다는	보듬/VV+었/EP+다는/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
평가했다"고	평가/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
선정	선정/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.89.5.1
임영길(69)씨와 박정자(74)씨는 본상(상금 2000만원) 수상자로 선정됐다.

임영길(69)씨와	임영길/NNP+(/SS+69/SN+)/SS+씨/NNB+와/JC
박정자(74)씨는	박정자/NNP+(/SS+74/SN+)/SS+씨/NNB+는/JX
본상(상금	본상/NNG+(/SS+상금/NNG
2000만원)	2000/SN+만/NR+원/NNB+)/SS
수상자로	수상자/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.89.5.2
임씨는 14년 동안 거의 매일 20여곳의 쉼터와 복지관에서 음식 나눔 봉사 활동을 벌였고, 박씨는 29년간 청각 장애인을 위한 봉사에 나선 인물이다.

임씨는	임/NNP+씨/NNB+는/JX
14년	14/SN+년/NNB
동안	동안/NNG
거의	거의/MAG
매일	매일/MAG
20여곳의	20/SN+여/XSN+곳/NNG+의/JKG
쉼터와	쉼터/NNG+와/JC
복지관에서	복지관/NNG+에서/JKB
음식	음식/NNG
나눔	나누/VV+ㅁ/ETN
봉사	봉사/NNG
활동을	활동/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
박씨는	박/NNP+씨/NNB+는/JX
29년간	29/SN+년/NNB+간/XSN
청각	청각/NNG
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
봉사에	봉사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.89.5.3
장려상(상금 1000만원)은 15년 동안 장애인 및 시설아동에게 짜장면 제공 봉사 활동을 펼친 서동원(46)씨와 20년간 홀트아동복지회에서 58명의 어린이가 새 가족을 찾을 때까지 위탁모 역할을 맡아준 이순임(58)씨가 받았다.

장려상(상금	장려상/NNG+(/SS+상금/NNG
1000만원)은	1000/SN+만/NR+원/NNB+)/SS+은/JX
15년	15/SN+년/NNB
동안	동안/NNG
장애인	장애인/NNG
및	및/MAG
시설아동에게	시설/NNG+아동/NNG+에게/JKB
짜장면	짜장면/NNG
제공	제공/NNG
봉사	봉사/NNG
활동을	활동/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
서동원(46)씨와	서동원/NNP+(/SS+46/SN+)/SS+씨/NNB+와/JKB
