# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.162
metadata : {}


# id : NWRW1800000037.162.1.1
SIT 증후군을 아십니까

SIT	SIT/SL
증후군을	증후군/NNG+을/JKO
아십니까	알/VV+시/EP+ㅂ니까/EF


# id : NWRW1800000037.162.2.1
2시간 이상 앉아있으면 정맥혈전색전증 위험 2.8배 높아져

2시간	2/SN+시간/NNB
이상	이상/NNG
앉아있으면	앉/VV+아/EC+있/VX+으면/EC
정맥혈전색전증	정맥/NNG+혈전/NNG+색전증/NNG
위험	위험/NNG
2.8배	2/SN+./SP+8/SN+배/NNG
높아져	높아지/VV+어/EF


# id : NWRW1800000037.162.3.1
“SIT 증후군을 아시나요?”

“SIT	“/SS+SIT/SL
증후군을	증후군/NNG+을/JKO
아시나요?”	알/VV+시/EP+나/EF+요/JX+?/SF+”/SS


# id : NWRW1800000037.162.4.1
정맥혈전색전증은 비행기의 비좁은 일반석의 이름을 딴 ‘이코노미클래스증후군’으로 잘 알려져 있다.

정맥혈전색전증은	정맥/NNG+혈전/NNG+색전증/NNG+은/JX
비행기의	비행기/NNG+의/JKG
비좁은	비좁/VA+은/ETM
일반석의	일반석/NNG+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
‘이코노미클래스증후군’으로	‘/SS+이코노미클래스/NNG+증후군/NNG+’/SS+으로/JKB
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.162.4.2
장시간 비좁은 의자에 앉아야 하는 항공 여행에서 혈전의 위험이 주목 받으면서 붙여진 이름이다.

장시간	장시간/NNG
비좁은	비좁/VA+은/ETM
의자에	의자/NNG+에/JKB
앉아야	앉/VV+아야/EC
하는	하/VX+는/ETM
항공	항공/NNG
여행에서	여행/NNG+에서/JKB
혈전의	혈전/NNG+의/JKG
위험이	위험/NNG+이/JKS
주목	주목/NNG
받으면서	받/VV+으면서/EC
붙여진	붙이/VV+어/EC+지/VX+ㄴ/ETM
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.162.5.1
정맥혈전색전증은 혈전(피떡)이 혈관을 막거나 정맥을 타고 떠돌아다니는 질환이다.

정맥혈전색전증은	정맥/NNG+혈전/NNG+색전증/NNG+은/JX
혈전(피떡)이	혈전/NNG+(/SS+피떡/NNG+)/SS+이/JKS
혈관을	혈관/NNG+을/JKO
막거나	막/VV+거나/EC
정맥을	정맥/NNG+을/JKO
타고	타/VV+고/EC
떠돌아다니는	떠돌아다니/VV+는/ETM
질환이다.	질환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.162.5.2
이러한 혈전이 뇌혈관을 막으면 뇌경색을, 폐혈관을 막으면 폐색전을 일으켜 생명을 위협할 수 있다.

이러한	이러하/VA+ㄴ/ETM
