# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.257
metadata : {}


# id : NWRW1800000026.257.1.1
양희영 3언더 공동선두… 신지애도 1언더 순조;브리티시 여자오픈 1라운드

양희영	양희영/NNP
3언더	3/SN+언더/NNG
공동선두…	공동/NNG+선두/NNG+…/SE
신지애도	신지애/NNP+도/JX
1언더	1/SN+언더/NNG
순조;브리티시	순조/NNP+;/SW+브리티시/NNP
여자오픈	여자/NNG+오픈/NNG
1라운드	1/SN+라운드/NNG


# id : NWRW1800000026.257.2.1
여자골프 시즌 마지막 메이저 대회인 브리티시여자오픈은 신지애(22)에게 세계무대에서도 통할 수 있다는 자신감을 심어준 대회다.

여자골프	여자/NNG+골프/NNG
시즌	시즌/NNG
마지막	마지막/NNG
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
브리티시여자오픈은	브리티시/NNP+여자/NNG+오픈/NNG+은/JX
신지애(22)에게	신지애/NNP+(/SS+22/SN+)/SS+에게/JKB
세계무대에서도	세계/NNG+무대/NNG+에서/JKB+도/JX
통할	통하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
자신감을	자신감/NNG+을/JKO
심어준	심/VV+어/EC+주/VX+ㄴ/ETM
대회다.	대회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.257.3.1
2008년 국내 여자프로골프에서 활약하던 신지애는 브리티시여자오픈에서 최연소 우승을 차지하며 세계 여자골프의 '신데렐라'가 됐다.

2008년	2008/SN+년/NNB
국내	국내/NNG
여자프로골프에서	여자/NNG+프로/NNG+골프/NNG+에서/JKB
활약하던	활약/NNG+하/XSV+던/ETM
신지애는	신지애/NNP+는/JX
브리티시여자오픈에서	브리티시/NNP+여자/NNG+오픈/NNG+에서/JKB
최연소	최/XPN+연소/NNG
우승을	우승/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
세계	세계/NNG
여자골프의	여자/NNG+골프/NNG+의/JKG
'신데렐라'가	'/SS+신데렐라/NNP+'/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.257.3.2
신지애는 그해 미즈노 클래식과 ADT챔피언십 등 2승을 추가하며 미 LPGA투어 3승을 올렸다.

신지애는	신지애/NNP+는/JX
그해	그해/NNG
미즈노	미즈노/NNP
클래식과	클래식/NNG+과/JC
ADT챔피언십	ADT/SL+챔피언십/NNG
등	등/NNB
2승을	2/SN+승/NNB+을/JKO
추가하며	추가/NNG+하/XSV+며/EC
미	미/NNP
LPGA투어	LPGA/SL+투어/NNG
3승을	3/SN+승/NNB+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


