# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.208
metadata : {}


# id : NWRW1800000029.208.1.1
“타이레놀 장기복용, 혈액암 위험 높인다”

“타이레놀	“/SS+타이레놀/NNP
장기복용,	장기/NNG+복용/NNG+,/SP
혈액암	혈액암/NNG
위험	위험/NNG
높인다”	높이/VV+ㄴ다/EF+”/SS


# id : NWRW1800000029.208.2.1
美 워싱턴대 연구팀 주장

美	美/SH
워싱턴대	워싱턴대/NNP
연구팀	연구/NNG+팀/NNG
주장	주장/NNG


# id : NWRW1800000029.208.3.1
타이레놀로 잘 알려진 진통제 아세트아미노펜을 장기간 복용할 경우 혈액암이 발병할 위험이 커진다는 연구결과가 나왔다.

타이레놀로	타이레놀/NNP+로/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
진통제	진통제/NNG
아세트아미노펜을	아세트아미노펜/NNG+을/JKO
장기간	장기간/NNG
복용할	복용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
혈액암이	혈액암/NNG+이/JKS
발병할	발병/NNG+하/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
커진다는	커지/VV+ㄴ다는/ETM
연구결과가	연구/NNG+결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.208.4.1
10일 헬스데이뉴스 등에 따르면 미국 워싱턴대 의대 롤런드 월터 박사팀이 워싱턴 주에 거주하는 50∼76세 남녀 6만5000명을 대상으로 연구한 결과 아세트아미노펜을 일주일에 최소한 4번씩, 4년 이상 복용한 사람들은 혈액암에 걸릴 위험이 2배 가까이 높아진 것으로 조사됐다.

10일	10/SN+일/NNB
헬스데이뉴스	헬스데이뉴스/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
미국	미국/NNP
워싱턴대	워싱턴대/NNP
의대	의대/NNG
롤런드	롤런드/NNP
월터	월터/NNP
박사팀이	박사/NNG+팀/NNG+이/JKS
워싱턴	워싱턴/NNP
주에	주/NNG+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
50∼76세	50/SN+∼/SO+76/SN+세/NNB
남녀	남녀/NNG
6만5000명을	6/SN+만/NR+5000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
연구한	연구/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
아세트아미노펜을	아세트아미노펜/NNG+을/JKO
일주일에	일주일/NNG+에/JKB
최소한	최소한/NNG
4번씩,	4/SN+번/NNB+씩/XSN+,/SP
4년	4/SN+년/NNB
이상	이상/NNG
복용한	복용/NNG+하/XSV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
혈액암에	혈액암/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
2배	2/SN+배/NNG
가까이	가까이/MAG
높아진	높아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.208.5.1
아세트아미노펜 장기 복용으로 나타날 수 있는 혈액암은 비호지킨 임파샘암, 골수종양, 형질세포장애 등이다.

아세트아미노펜	아세트아미노펜/NNG
장기	장기/NNG
복용으로	복용/NNG+으로/JKB
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
혈액암은	혈액암/NNG+은/JX
비호지킨	비/XPN+호지킨/NNP
임파샘암,	임파샘/NNG+암/NNG+,/SP
골수종양,	골수/NNG+종양/NNG+,/SP
형질세포장애	형질/NNG+세포/NNG+장애/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.208.6.1
