# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.148
metadata : {}


# id : NWRW1800000026.148.1.1
[46용사들, 국민 가슴에 잠들다] "아들아! 여보! 아침 먹고 가야지"… 어머니·부인들이 차린 마지막 밥상

[46용사들,	[/SS+46/SN+용사/NNG+들/XSN+,/SP
국민	국민/NNG
가슴에	가슴/NNG+에/JKB
잠들다]	잠들/VV+다/EF+]/SS
"아들아!	"/SS+아들/NNG+아/JKV+!/SF
여보!	여보/IC+!/SF
아침	아침/NNG
먹고	먹/VV+고/EC
가야지"…	가/VV+아야지/EF+"/SS+…/SE
어머니·부인들이	어머니/NNG+·/SP+부인/NNG+들/XSN+이/JKS
차린	차리/VV+ㄴ/ETM
마지막	마지막/NNG
밥상	밥상/NNG


# id : NWRW1800000026.148.2.1
29일 오전 6시 40분쯤 경기도 평택 해군 2함대사령부에서 검은 상복을 입은 어머니들이 음식이 식지 않도록 밥과 국이 담긴 그릇을 랩으로 싸서 조심스럽게 들고 분향소 앞으로 걸어갔다.

29일	29/SN+일/NNB
오전	오전/NNG
6시	6/SN+시/NNB
40분쯤	40/SN+분/NNB+쯤/XSN
경기도	경기도/NNP
평택	평택/NNP
해군	해군/NNG
2함대사령부에서	2/SN+함대/NNG+사령부/NNG+에서/JKB
검은	검/VA+은/ETM
상복을	상복/NNG+을/JKO
입은	입/VV+은/ETM
어머니들이	어머니/NNG+들/XSN+이/JKS
음식이	음식/NNG+이/JKS
식지	식/VV+지/EC
않도록	않/VX+도록/EC
밥과	밥/NNG+과/JC
국이	국/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
그릇을	그릇/NNG+을/JKO
랩으로	랩/NNG+으로/JKB
싸서	싸/VV+아서/EC
조심스럽게	조심/NNG+스럽/XSA+게/EC
들고	들/VV+고/EC
분향소	분향소/NNG
앞으로	앞/NNG+으로/JKB
걸어갔다.	걸어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.148.2.2
눈물을 훔치며 걸음을 옮기는 동안에도 어머니들은 혹여 엎지를까 그릇 아래 위를 두 손으로 꼭 감쌌다.

눈물을	눈물/NNG+을/JKO
훔치며	훔치/VV+며/EC
걸음을	걸음/NNG+을/JKO
옮기는	옮기/VV+는/ETM
동안에도	동안/NNG+에/JKB+도/JX
어머니들은	어머니/NNG+들/XSN+은/JX
혹여	혹여/MAG
엎지를까	엎지르/VV+ㄹ까/EF
그릇	그릇/NNG
아래	아래/NNG
위를	위/NNG+를/JKO
두	두/MMN
손으로	손/NNG+으로/JKB
꼭	꼭/MAG
감쌌다.	감싸/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.148.2.3
어느덧 흰 쌀밥 46그릇과 고깃국이 영정 앞에 놓였다.

어느덧	어느덧/MAG
흰	희/VA+ㄴ/ETM
쌀밥	쌀밥/NNG
46그릇과	46/SN+그릇/NNG+과/JC
고깃국이	고깃국/NNG+이/JKS
영정	영정/NNG
앞에	앞/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.148.2.4
먼 길 떠나는 '천안함 46용사'를 위해 준비한 처음이자 마지막인 아침 밥상이었다.

먼	멀/VA+ㄴ/ETM
길	길/NNG
떠나는	떠나/VV+는/ETM
'천안함	'/SS+천안함/NNP
46용사'를	46/SN+용사/NNG+'/SS+를/JKO
위해	위하/VV+아/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
처음이자	처음/NNG+이/VCP+자/EC
마지막인	마지막/NNG+이/VCP+ㄴ/ETM
아침	아침/NNG
밥상이었다.	밥상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.148.3.1
그러나 밥은 줄지 않았다.

그러나	그러나/MAJ
밥은	밥/NNG+은/JX
줄지	줄/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.148.3.2
아들과 남편들은 밥상만 쳐다보고 있을 뿐이었다.

아들과	아들/NNG+과/JC
남편들은	남편/NNG+들/XSN+은/JX
밥상만	밥상/NNG+만/JX
쳐다보고	쳐다보/VV+고/EC
있을	있/VX+을/ETM
뿐이었다.	뿐/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.148.3.3
어머니들은 아들·남편들이 먹지 못하고 있는 밥을 국에 말아 주며 눈물을 삼켰다.

어머니들은	어머니/NNG+들/XSN+은/JX
아들·남편들이	아들/NNG+·/SP+남편/NNG+들/XSN+이/JKS
먹지	먹/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
밥을	밥/NNG+을/JKO
국에	국/NNG+에/JKB
말아	말/VV+아/EC
주며	주/VX+며/EC
눈물을	눈물/NNG+을/JKO
삼켰다.	삼키/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.148.3.4
어머니들은 영정 속 46용사들이 무덤덤히 바라보기만 하자 이내 울음을 터뜨렸다.

어머니들은	어머니/NNG+들/XSN+은/JX
영정	영정/NNG
속	속/NNG
46용사들이	46/SN+용사/NNG+들/XSN+이/JKS
무덤덤히	무덤덤히/MAG
바라보기만	바라보/VV+기/ETN+만/JX
하자	하/VX+자/EC
이내	이내/MAG
울음을	울음/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


