# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.372
metadata : {}


# id : NWRW1800000044.372.1.1
다시 손잡은 ‘풍우동주’

다시	다시/MAG
손잡은	손잡/VV+은/ETM
‘풍우동주’	‘/SS+풍우동주/NNG+’/SS


# id : NWRW1800000044.372.2.1
[한겨레] 박 대통령-새누리 새 지도부 오찬

[한겨레]	[/SS+한겨레/NNP+]/SS
박	박/NNP
대통령-새누리	대통령/NNG+-/SO+새누리/NNP
새	새/MMA
지도부	지도부/NNG
오찬	오찬/NNG


# id : NWRW1800000044.372.3.1
청, 새 지도부 협조 절실

청,	청/NNP+,/SP
새	새/MMA
지도부	지도부/NNG
협조	협조/NNG
절실	절실/XR


# id : NWRW1800000044.372.4.1
당, 재보선 앞 ‘친박’ 과시

당,	당/NNG+,/SP
재보선	재보선/NNG
앞	앞/NNG
‘친박’	‘/SS+친/XPN+박/NNP+’/SS
과시	과시/NNG


# id : NWRW1800000044.372.5.1
김무성 대표를 비롯한 새누리당 새 지도부가 15일 청와대를 방문해 박근혜 대통령과 오찬을 함께 했다.

김무성	김무성/NNP
대표를	대표/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
새누리당	새누리당/NNP
새	새/MMA
지도부가	지도부/NNG+가/JKS
15일	15/SN+일/NNB
청와대를	청와대/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JKB
오찬을	오찬/NNG+을/JKO
함께	함께/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.372.5.2
박 대통령의 전날 전당대회 참석에 이어 ‘당·청 일체’를 과시하려는 의지가 읽힌다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
전날	전날/NNG
전당대회	전당/NNG+대회/NNG
참석에	참석/NNG+에/JKB
이어	잇/VV+어/EC
‘당·청	‘/SS+당·청/NNG
일체’를	일체/NNG+’/SS+를/JKO
과시하려는	과시/NNG+하/XSV+려는/ETM
의지가	의지/NNG+가/JKS
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.372.6.1
회동에는 단순한 의전을 넘어서는 함의가 있다.

회동에는	회동/NNG+에/JKB+는/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
의전을	의전/NNG+을/JKO
넘어서는	넘어서/VV+는/ETM
함의가	함의/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.372.6.2
박 대통령은 국정을 원활하게 이끌기 위해 ‘비박’ 성향인 새누리당 지도부의 전폭적인 협조가 절박한 상태다.

박	박/NNP
대통령은	대통령/NNG+은/JX
국정을	국정/NNG+을/JKO
원활하게	원활/NNG+하/XSA+게/EC
이끌기	이끌/VV+기/ETN
위해	위하/VV+아/EC
‘비박’	‘/SS+비/XPN+박/NNP+’/SS
성향인	성향/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
지도부의	지도부/NNG+의/JKG
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
협조가	협조/NNG+가/JKS
절박한	절박하/VA+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.372.6.3
