# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.237
metadata : {}


# id : NWRW1800000033.237.1.1
드디어 터졌다, 장성호 2000안타… 양준혁-전준호 이어 3번째

드디어	드디어/MAG
터졌다,	터지/VV+었/EP+다/EF+,/SP
장성호	장성호/NNP
2000안타…	2000/SN+안타/NNG+…/SE
양준혁-전준호	양준혁/NNP+-/SO+전준호/NNP
이어	잇/VV+어/EC
3번째	3/SN+번/NNB+째/XSN


# id : NWRW1800000033.237.2.1
34세11개월 최연소 대기록

34세11개월	34/SN+세/NNB+11/SN+개월/NNB
최연소	최/XPN+연소/NNG
대기록	대/XPN+기록/NNG


# id : NWRW1800000033.237.3.1
삼성이 ‘괴물’ 한화 류현진을 무너뜨리며 선두 굳히기에 나섰다.

삼성이	삼성/NNP+이/JKS
‘괴물’	‘/SS+괴물/NNG+’/SS
한화	한화/NNP
류현진을	류현진/NNP+을/JKO
무너뜨리며	무너뜨리/VV+며/EC
선두	선두/NNG
굳히기에	굳히/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.4.1
삼성은 18일 제2의 홈구장인 포항에서 한화에 3-2로 역전승을 거두고 2연승을 달렸다.

삼성은	삼성/NNP+은/JX
18일	18/SN+일/NNB
제2의	제/XPN+2/SN+의/JKG
홈구장인	홈구장/NNG+이/VCP+ㄴ/ETM
포항에서	포항/NNP+에서/JKB
한화에	한화/NNP+에/JKB
3-2로	3/SN+-/SO+2/SN+로/JKB
역전승을	역전승/NNG+을/JKO
거두고	거두/VV+고/EC
2연승을	2/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.237.4.2
2위 롯데와의 승차를 5.5경기로 벌렸고 2년 연속 한국시리즈 직행을 향한 매직넘버를 ‘10’으로 줄였다.

2위	2/SN+위/NNB
롯데와의	롯데/NNP+와/JKB+의/JKG
승차를	승차/NNG+를/JKO
5.5경기로	5/SN+./SP+5/SN+경기/NNG+로/JKB
