# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.117
metadata : {}


# id : NWRW1800000032.117.1.1
나토군, 아프간서 BBC 기자 ‘오인 사살’ 인정

나토군,	나토군/NNG+,/SP
아프간서	아프간/NNP+서/JKB
BBC	BBC/SL
기자	기자/NNG
‘오인	‘/SS+오인/NNG
사살’	사살/NNG+’/SS
인정	인정/NNG


# id : NWRW1800000032.117.2.1
7월 현지 기자 크흐풀와크 ‘자살폭탄범’ 판단해 사격

7월	7/SN+월/NNB
현지	현지/NNG
기자	기자/NNG
크흐풀와크	크흐풀와크/NNP
‘자살폭탄범’	‘/SS+자살/NNG+폭탄범/NNG+’/SS
판단해	판단/NNG+하/XSV+아/EC
사격	사격/NNG


# id : NWRW1800000032.117.3.1
탈레반 탓하다 뒤늦게 인정…가족 “영어 썼을텐데”

탈레반	탈레반/NNP
탓하다	탓/NNG+하/XSV+다/EC
뒤늦게	뒤늦/VA+게/EC
인정…가족	인정/NNG+…/SE+가족/NNG
“영어	“/SS+영어/NNP
썼을텐데”	쓰/VV+었/EP+을/ETM+터/NNB+이/VCP+ㄴ데/EF+”/SS


# id : NWRW1800000032.117.4.1
북대서양조약기구(나토)가 이끄는 아프가니스탄의 국제안전지원군(ISAF)은 지난 7월 탈레반군과의 전투중에 자신들이 <비비시>(BBC) 기자를 사살한 사실을 공식적으로 인정했다.

북대서양조약기구(나토)가	북대서양조약기구/NNP+(/SS+나토/NNP+)/SS+가/JKS
이끄는	이끌/VV+는/ETM
아프가니스탄의	아프가니스탄/NNP+의/JKG
국제안전지원군(ISAF)은	국제/NNG+안전/NNG+지원군/NNG+(/SS+ISAF/SL+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
탈레반군과의	탈레반군/NNG+과/JKB+의/JKG
전투중에	전투/NNG+중/NNB+에/JKB
자신들이	자신/NNG+들/XSN+이/JKS
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
기자를	기자/NNG+를/JKO
사살한	사살/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
공식적으로	공식/NNG+적/XSN+으로/JKB
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.117.4.2
그러나 나토는 <비비시> 기자를 사살한 미군 병사는 합리적인 행동을 했다고 밝혔다.

그러나	그러나/MAJ
나토는	나토/NNP+는/JX
<비비시>	</SS+비비시/NNP+>/SS
기자를	기자/NNG+를/JKO
사살한	사살/NNG+하/XSV+ㄴ/ETM
미군	미군/NNG
병사는	병사/NNG+는/JX
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
행동을	행동/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.5.1
<비비시>와 <가디언> 등에 따르면, 나토군은 “지난 7월28일 아프간 남부 우르즈간의 타린코우트시에서 벌어진 탈레반군과의 전투에서 미군 병사가 <비비시> 기자 아흐메드 오메드 크흐풀와크를 자살폭탄 공격자로 오인해 사살했다”고 지난 6일 밝혔다.

<비비시>와	</SS+비비시/NNP+>/SS+와/JC
<가디언>	</SS+가디언/NNP+>/SS
등에	등/NNB+에/JKB
따르면,	따르/VV+면/EC+,/SP
나토군은	나토군/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
7월28일	7/SN+월/NNB+28/SN+일/NNB
아프간	아프간/NNP
남부	남부/NNG
우르즈간의	우르즈간/NNP+의/JKG
타린코우트시에서	타린코우트시/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
탈레반군과의	탈레반군/NNG+과/JKB+의/JKG
전투에서	전투/NNG+에서/JKB
미군	미군/NNG
병사가	병사/NNG+가/JKS
<비비시>	</SS+비비시/NNP+>/SS
기자	기자/NNG
아흐메드	아흐메드/NNP
오메드	오메드/NNP
크흐풀와크를	크흐풀와크/NNP+를/JKO
자살폭탄	자살/NNG+폭탄/NNG
공격자로	공격자/NNG+로/JKB
오인해	오인/NNG+하/XSV+아/EC
사살했다”고	사살/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.117.5.2
또 “그의 죽음은 비극적이었다”며 유족들에게 애도를 표했다.

또	또/MAG
“그의	“/SS+그/NP+의/JKG
죽음은	죽음/NNG+은/JX
비극적이었다”며	비극/NNG+적/XSN+이/VCP+었/EP+다/EF+”/SS+며/EC
유족들에게	유족/NNG+들/XSN+에게/JKB
애도를	애도/NNG+를/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.117.6.1
애초 나토군은 크흐풀와크가 탈레반군에 의해 살해됐다고 밝혔으나, 이에 대해 의문이 제기되자 이번 조사를 벌였다.

애초	애초/NNG
