# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.10
metadata : {}


# id : NWRW1800000022.10.1.1
"해머가 대한민국 민주주의를 때렸다";● 李대통령 라디오 연설서 정치권 비판

"해머가	"/SS+해머/NNG+가/JKS
대한민국	대한민국/NNP
민주주의를	민주주의/NNG+를/JKO
때렸다";●	때리/VV+었/EP+다/EF+"/SS+;/SW+●/SW
李대통령	李/SH+대통령/NNG
라디오	라디오/NNG
연설서	연설/NNG+서/JKB
정치권	정치/NNG+권/XSN
비판	비판/NNG


# id : NWRW1800000022.10.2.1
이명박 대통령은 12일 최근 주요법안 처리를 둘러싼 여야 간 폭력적 대립을 "경제위기만큼이나 심각한 정치위기"라고 규정하면서 "회의실 문을 부수는 해머가 대한민국 민주주의를 때리고 제 머리와 가슴을 때리는 것같이 아팠다"고 했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
12일	12/SN+일/NNB
최근	최근/MAG
주요법안	주요/NNG+법안/NNG
처리를	처리/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야	여야/NNG
간	간/NNB
폭력적	폭력/NNG+적/XSN
대립을	대립/NNG+을/JKO
"경제위기만큼이나	"/SS+경제/NNG+위기/NNG+만큼/JKB+이나/JX
심각한	심각하/VA+ㄴ/ETM
정치위기"라고	정치/NNG+위기/NNG+"/SS+라고/JKQ
규정하면서	규정/NNG+하/XSV+면서/EC
"회의실	"/SS+회의실/NNG
문을	문/NNG+을/JKO
부수는	부수/VV+는/ETM
해머가	해머/NNG+가/JKS
대한민국	대한민국/NNP
민주주의를	민주주의/NNG+를/JKO
때리고	때리/VV+고/EC
제	저/NP+의/JKG
머리와	머리/NNG+와/JC
가슴을	가슴/NNG+을/JKO
때리는	때리/VV+는/ETM
것같이	것/NNB+같이/JKB
아팠다"고	아프/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.3.1
이 대통령은 이날 라디오 연설에서 "이번 국회의 폭력사태는 (민주화에 대한) 우리의 자부심에 찬물을 끼얹을 뿐만 아니라 우리의 미래를 불안하게 만들었다"면서 정치권을 강하게 비판했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
라디오	라디오/NNG
연설에서	연설/NNG+에서/JKB
"이번	"/SS+이번/NNG
국회의	국회/NNG+의/JKG
폭력사태는	폭력/NNG+사태/NNG+는/JX
(민주화에	(/SS+민주/NNG+화/XSN+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
우리의	우리/NP+의/JKG
자부심에	자부심/NNG+에/JKB
찬물을	찬물/NNG+을/JKO
끼얹을	끼얹/VV+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
미래를	미래/NNG+를/JKO
불안하게	불안/NNG+하/XSA+게/EC
만들었다"면서	만들/VV+었/EP+다/EF+"/SS+면서/EC
정치권을	정치/NNG+권/XSN+을/JKO
강하게	강하/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.3.2
회의장을 부수기 위해 해머를 든 민주당은 물론 야당의 폭력을 방치한 한나라당과 김형오 국회의장에 대한 실망감도 담겨 있는 것으로 전해졌다.

회의장을	회의장/NNG+을/JKO
부수기	부수/VV+기/ETN
위해	위하/VV+아/EC
해머를	해머/NNG+를/JKO
든	들/VV+ㄴ/ETM
민주당은	민주당/NNP+은/JX
물론	물론/MAG
야당의	야당/NNG+의/JKG
폭력을	폭력/NNG+을/JKO
방치한	방치/NNG+하/XSV+ㄴ/ETM
한나라당과	한나라당/NNP+과/JC
김형오	김형오/NNP
국회의장에	국회/NNG+의장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실망감도	실망감/NNG+도/JX
담겨	담기/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.10.4.1
이 대통령은 "법안 처리가 늦어지면 그 피해는 고스란히 국민들에게, 특히 서민들에게 돌아갈 것"이라며 "정부는 물론 민간까지 나서 국가의 브랜드 가치를 높이기 위해 활발하게 움직이고 있는 이 시점에 그런 활동을 지원하고 이끌어야 할 정치가 오히려 공든 탑을 무너뜨리고 있다"고 했다.

이	이/MMD
대통령은	대통령/NNG+은/JX
"법안	"/SS+법안/NNG
처리가	처리/NNG+가/JKS
늦어지면	늦어지/VV+면/EC
그	그/MMD
피해는	피해/NNG+는/JX
고스란히	고스란히/MAG
국민들에게,	국민/NNG+들/XSN+에게/JKB+,/SP
특히	특히/MAG
서민들에게	서민/NNG+들/XSN+에게/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"정부는	"/SS+정부/NNG+는/JX
물론	물론/MAG
민간까지	민간/NNG+까지/JX
나서	나서/VV+어/EC
국가의	국가/NNG+의/JKG
브랜드	브랜드/NNG
가치를	가치/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
활발하게	활발하/VA+게/EC
움직이고	움직이/VV+고/EC
있는	있/VX+는/ETM
시점에	시점/NNG+에/JKB
그런	그런/MMD
활동을	활동/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
이끌어야	이끌/VV+어야/EC
할	하/VX+ㄹ/ETM
정치가	정치/NNG+가/JKS
오히려	오히려/MAG
공든	공들/VV+ㄴ/ETM
탑을	탑/NNG+을/JKO
무너뜨리고	무너뜨리/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.4.2
그는 "온 국민이 지켜야 할 법을 만드는 국회에서 법을 무시하고 지키지 않는다면 과연 어떻게 법치주의가 바로 설 수 있겠느냐"고도 했다.

그는	그/NP+는/JX
"온	"/SS+온/MMN
국민이	국민/NNG+이/JKS
지켜야	지키/VV+어야/EC
할	하/VX+ㄹ/ETM
법을	법/NNG+을/JKO
만드는	만들/VV+는/ETM
국회에서	국회/NNG+에서/JKB
무시하고	무시/NNG+하/XSV+고/EC
지키지	지키/VV+지/EC
않는다면	않/VX+는다면/EC
과연	과연/MAG
어떻게	어떻/VA+게/EC
법치주의가	법치주의/NNG+가/JKS
바로	바로/MAG
설	서/VV+ㄹ/ETM
수	수/NNB
있겠느냐"고도	있/VA+겠/EP+느냐/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.5.1
이 대통령은 이어 "선진일류국가를 앞장서 만들어 내는 가장 큰 원동력은 역시 정치"라며 "정치를 바로 세우는 정치개혁이 말이 아니라 이제 실천으로 이어져야 할 이유가 바로 여기에 있다"면서 여야에 정치개혁을 주문했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이어	이어/MAG
"선진일류국가를	"/SS+선진/NNG+일류/NNG+국가/NNG+를/JKO
앞장서	앞장서/VV+어/EC
만들어	만들/VV+어/EC
내는	내/VX+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원동력은	원동력/NNG+은/JX
역시	역시/MAG
정치"라며	정치/NNG+"/SS+이/VCP+라며/EC
"정치를	"/SS+정치/NNG+를/JKO
바로	바로/MAG
세우는	세우/VV+는/ETM
정치개혁이	정치/NNG+개혁/NNG+이/JKS
말이	말/NNG+이/JKC
아니라	아니/VCN+라/EC
이제	이제/MAG
실천으로	실천/NNG+으로/JKB
이어져야	이어지/VV+어야/EC
할	하/VX+ㄹ/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있다"면서	있/VA+다/EF+"/SS+면서/EC
여야에	여야/NNG+에/JKB
정치개혁을	정치/NNG+개혁/NNG+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.5.2
이 대통령은 "대통령으로서 무슨 정책을 내놔도 계속 반대만 하는 사람을 보면서 참으로 답답함을 느낄 때가 있다"면서 "정치적 양극화야말로 경제적 양극화 못지않게 우리 사회의 심각한 문제"라고도 했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"대통령으로서	"/SS+대통령/NNG+으로서/JKB
무슨	무슨/MMD
정책을	정책/NNG+을/JKO
내놔도	내놓/VV+아도/EC
계속	계속/MAG
반대만	반대/NNG+만/JX
하는	하/VV+는/ETM
사람을	사람/NNG+을/JKO
보면서	보/VV+면서/EC
참으로	참으로/MAG
답답함을	답답하/VA+ㅁ/ETN+을/JKO
느낄	느끼/VV+ㄹ/ETM
때가	때/NNG+가/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"정치적	"/SS+정치/NNG+적/XSN
양극화야말로	양극/NNG+화/XSN+야말로/JX
경제적	경제/NNG+적/XSN
양극화	양극/NNG+화/XSN
못지않게	못지않/VA+게/EC
우리	우리/NP
사회의	사회/NNG+의/JKG
심각한	심각하/VA+ㄴ/ETM
문제"라고도	문제/NNG+"/SS+라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.10.5.3
이 대통령은 "대통령으로서 저도 이번 일에 대해 자유로울 수 없다는 사실을 잘 알고 있다"면서 "인기발언이나 하면서, 행동하지 않는 대통령이 되지는 않겠다"고 자신의 각오와 심경을 밝혔다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"대통령으로서	"/SS+대통령/NNG+으로서/JKB
저도	저/NP+도/JX
이번	이번/NNG
일에	일/NNG+에/JKB
대해	대하/VV+아/EC
자유로울	자유/NNG+롭/XSA+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
사실을	사실/NNG+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"인기발언이나	"/SS+인기/NNG+발언/NNG+이나/JX
하면서,	하/VV+면서/EC+,/SP
행동하지	행동/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
대통령이	대통령/NNG+이/JKC
