# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.319
metadata : {}


# id : NWRW1800000046.319.1.1
새누리 당협위원장 물갈이 착수… 親朴 긴장

새누리	새누리/NNP
당협위원장	당협/NNG+위원장/NNG
물갈이	물갈이/NNG
착수…	착수/NNG+…/SE
親朴	親朴/SH
긴장	긴장/NNG


# id : NWRW1800000046.319.2.1
벌써 시작된 총선 공천戰… 野도 공천 실무 맡는 사무부총장 놓고 親盧·非盧 갈등

벌써	벌써/MAG
시작된	시작/NNG+되/XSV+ㄴ/ETM
총선	총선/NNG
공천戰…	공천/NNG+戰/SH+…/SE
野도	野/SH+도/JX
공천	공천/NNG
실무	실무/NNG
맡는	맡/VV+는/ETM
사무부총장	사무/NNG+부총장/NNG
놓고	놓/VV+고/EC
親盧·非盧	親盧/SH+·/SP+非盧/SH
갈등	갈등/NNG


# id : NWRW1800000046.319.3.1
내년 4월 총선이 1년도 넘게 남았지만 새누리당과 새정치민주연합 내부에서 일찌감치 공천을 둘러싼 계파 간 전운(戰雲)이 일고 있다.

내년	내년/NNG
4월	4/SN+월/NNB
총선이	총선/NNG+이/JKS
1년도	1/SN+년/NNB+도/JX
넘게	넘/VV+게/EC
남았지만	남/VV+았/EP+지만/EC
새누리당과	새누리당/NNP+과/JC
새정치민주연합	새정치민주연합/NNP
내부에서	내부/NNG+에서/JKB
일찌감치	일찌감치/MAG
공천을	공천/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
계파	계파/NNG
간	간/NNB
전운(戰雲)이	전운/NNG+(/SS+戰雲/SH+)/SS+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.319.4.1
새누리당은 23일 국회에서 열린 최고위원회의 비공개회의에서 부실 당원협의회(옛 지구당)에 대한 위원장 교체 방안을 논의한 것으로 알려졌다.

새누리당은	새누리당/NNP+은/JX
23일	23/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
최고위원회의	최고/NNG+위원회/NNG+의/JKG
비공개회의에서	비/XPN+공개회의/NNG+에서/JKB
부실	부실/NNG
당원협의회(옛	당원/NNG+협의회/NNG+(/SS+옛/MMA
지구당)에	지구당/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
위원장	위원장/NNG
