# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.73
metadata : {}


# id : NWRW1800000037.73.1.1
[반가워 또만나/반또 칼럼]연예인 사건사고에 왜 이리 난리인지…

[반가워	[/SS+반갑/VA+어/EC
또만나/반또	또/MAG+만나/VV+아/EC+//SP+반또/NNG
칼럼]연예인	칼럼/NNG+]/SS+연예인/NNG
사건사고에	사건/NNG+사고/NNG+에/JKB
왜	왜/MAG
이리	이리/MAG
난리인지…	난리/NNG+이/VCP+ㄴ지/EF+…/SE


# id : NWRW1800000037.73.2.1
‘혐의外 사생활은 함구’ 경찰 대응이 옳다

‘혐의外	‘/SS+혐의/NNG+外/SH
사생활은	사생활/NNG+은/JX
함구’	함구/NNG+’/SS
경찰	경찰/NNG
대응이	대응/NNG+이/JKS
옳다	옳/VA+다/EF


# id : NWRW1800000037.73.3.1
가수 손호영 씨의 전 여자친구가 손 씨 소유의 차량에서 숨진 채 발견된 지난달 21일 밤.

가수	가수/NNG
손호영	손호영/NNP
씨의	씨/NNB+의/JKG
전	전/MMD
여자친구가	여자/NNG+친구/NNG+가/JKS
손	손/NNP
씨	씨/NNB
소유의	소유/NNG+의/JKG
차량에서	차량/NNG+에서/JKB
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견된	발견/NNG+되/XSV+ㄴ/ETM
지난달	지난달/NNG
21일	21/SN+일/NNB
밤.	밤/NNG+./SF


# id : NWRW1800000037.73.3.2
사건이 접수된 서울 강남경찰서 본관 1층 로비는 취재진으로 인산인해를 이뤘다.

사건이	사건/NNG+이/JKS
접수된	접수/NNG+되/XSV+ㄴ/ETM
서울	서울/NNP
강남경찰서	강남경찰서/NNP
본관	본관/NNG
1층	1/SN+층/NNG
로비는	로비/NNG+는/JX
취재진으로	취재진/NNG+으로/JKB
인산인해를	인산인해/NNG+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.3.3
방송국과 연예매체 카메라 수십 대가 굳게 닫힌 형사과 문을 비췄다.

방송국과	방송국/NNG+과/JC
연예매체	연예/NNG+매체/NNG
카메라	카메라/NNG
수십	수십/NR
대가	대/NNB+가/JKS
굳게	굳/VA+게/EC
닫힌	닫히/VV+ㄴ/ETM
형사과	형사과/NNG
문을	문/NNG+을/JKO
비췄다.	비추/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.3.4
연예매체 기자들은 형사과 유리문 앞에 무작정 카메라를 들이밀고 사무실 안쪽에 있는 당직데스크에게 “한마디만 해 달라”고 보챘다.

연예매체	연예/NNG+매체/NNG
기자들은	기자/NNG+들/XSN+은/JX
형사과	형사과/NNG
유리문	유리문/NNG
앞에	앞/NNG+에/JKB
무작정	무/XPN+작정/NNG
카메라를	카메라/NNG+를/JKO
들이밀고	들이밀/VV+고/EC
사무실	사무실/NNG
안쪽에	안쪽/NNG+에/JKB
있는	있/VA+는/ETM
당직데스크에게	당직/NNG+데스크/NNG+에게/JKB
“한마디만	“/SS+한마디/NNG+만/JX
해	하/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
보챘다.	보채/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.73.3.5
한 경찰 간부는 로비를 지나다 말 한마디를 거는 바람에 카메라 수십 대에 쫓겨 도망가다시피 했다.

한	한/MMN
경찰	경찰/NNG
간부는	간부/NNG+는/JX
로비를	로비/NNG+를/JKO
지나다	지나/VV+다/EC
말	말/NNG
한마디를	한마디/NNG+를/JKO
거는	걸/VV+는/ETM
바람에	바람/NNB+에/JKB
카메라	카메라/NNG
수십	수십/NR
대에	대/NNB+에/JKB
쫓겨	쫓기/VV+어/EC
도망가다시피	도망가/VV+다시피/EC
했다.	하/VX+았/EP+다/EF+./SF


