# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.5
metadata : {}


# id : NWRW1800000025.5.1.1
[이 의원, 이 법안]민주당 박선숙의원 ‘보험업법-상법 개정안’

[이	[/SS+이/MMD
의원,	의원/NNG+,/SP
이	이/MMD
법안]민주당	법안/NNG+]/SS+민주당/NNP
박선숙의원	박선숙/NNP+의원/NNG
‘보험업법-상법	‘/SS+보험업법/NNG+-/SO+상법/NNG
개정안’	개정안/NNG+’/SS


# id : NWRW1800000025.5.2.1
체감경기가 좀처럼 회복되지 않는 상황에서 서민들에게는 ‘최후의 보루’로 마련해 둔 보험조차 버거운 ‘짐’이 되고 있다.

체감경기가	체감/NNG+경기/NNG+가/JKS
좀처럼	좀처럼/MAG
회복되지	회복/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
상황에서	상황/NNG+에서/JKB
서민들에게는	서민/NNG+들/XSN+에게/JKB+는/JX
‘최후의	‘/SS+최후/NNG+의/JKG
보루’로	보루/NNG+’/SS+로/JKB
마련해	마련/NNG+하/XSV+아/EC
둔	두/VX+ㄴ/ETM
보험조차	보험/NNG+조차/JX
버거운	버겁/VA+ㄴ/ETM
‘짐’이	‘/SS+짐/NNG+’/SS+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.5.3.1
5일 금융감독원과 생명보험협회가 국회에 제출한 자료에 따르면 금융위기가 본격화된 2008년 10월 이후 보험 해약건수가 가파르게 상승한 것으로 나타났다.

5일	5/SN+일/NNB
금융감독원과	금융/NNG+감독원/NNG+과/JKB
생명보험협회가	생명보험협회/NNP+가/JKS
국회에	국회/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
금융위기가	금융/NNG+위기/NNG+가/JKS
본격화된	본격/NNG+화/XSN+되/XSV+ㄴ/ETM
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
이후	이후/NNG
보험	보험/NNG
해약건수가	해약/NNG+건수/NNG+가/JKS
가파르게	가파르/VA+게/EC
상승한	상승/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.5.3.2
2005년부터 2007년까지 30%를 넘지 않았던 신규계약 대비 해약건수 비율은 경제위기가 본격화된 2008년 10월부터 이듬해 3월까지 50%를 넘었다.

2005년부터	2005/SN+년/NNB+부터/JX
2007년까지	2007/SN+년/NNB+까지/JX
30%를	30/SN+%/SW+를/JKO
넘지	넘/VV+지/EC
않았던	않/VX+았/EP+던/ETM
신규계약	신규/NNG+계약/NNG
대비	대비/NNG
해약건수	해약/NNG+건수/NNG
비율은	비율/NNG+은/JX
경제위기가	경제/NNG+위기/NNG+가/JKS
본격화된	본격/NNG+화/XSN+되/XSV+ㄴ/ETM
2008년	2008/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
이듬해	이듬해/NNG
3월까지	3/SN+월/NNB+까지/JX
50%를	50/SN+%/SW+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.5.3.3
생명보험 가입자는 긴급자금이 필요하거나, 경제적으로 보험 수혜를 기대할 필요가 없어져도 상당한 금전적 손실을 감수하며 보험을 해지해야 한다.

생명보험	생명/NNG+보험/NNG
가입자는	가입자/NNG+는/JX
긴급자금이	긴급/NNG+자금/NNG+이/JKS
필요하거나,	필요/NNG+하/XSA+거나/EC+,/SP
경제적으로	경제/NNG+적/XSN+으로/JKB
보험	보험/NNG
수혜를	수혜/NNG+를/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없어져도	없어지/VV+어도/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
금전적	금전/NNG+적/XSN
손실을	손실/NNG+을/JKO
감수하며	감수/NNG+하/XSV+며/EC
보험을	보험/NNG+을/JKO
해지해야	해지/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.5.4.1
이 같은 상황을 개선하기 위해 민주당 박선숙 의원(비례대표)은 생명보험 가입자가 보험계약을 해지하지 않고, 다른 사람에게 팔 수 있도록 허용하는 내용의 보험업법 및 상법 개정안을 최근 발의했다.

이	이/NP
같은	같/VA+은/ETM
상황을	상황/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
민주당	민주당/NNP
박선숙	박선숙/NNP
의원(비례대표)은	의원/NNG+(/SS+비례/NNG+대표/NNG+)/SS+은/JX
생명보험	생명/NNG+보험/NNG
가입자가	가입자/NNG+가/JKS
보험계약을	보험/NNG+계약/NNG+을/JKO
해지하지	해지/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
다른	다른/MMD
사람에게	사람/NNG+에게/JKB
팔	팔/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용하는	허용/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
보험업법	보험업법/NNG
및	및/MAG
상법	상법/NNG
개정안을	개정안/NNG+을/JKO
최근	최근/MAG
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.5.4.2
생명보험 전매(轉賣)회사를 만들어 생명보험을 사고팔 수 있게 한다는 게 핵심이다.

생명보험	생명/NNG+보험/NNG
전매(轉賣)회사를	전매/NNG+(/SS+轉賣/SH+)/SS+회사/NNG+를/JKO
만들어	만들/VV+어/EC
생명보험을	생명/NNG+보험/NNG+을/JKO
사고팔	사고팔/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.5.4.3
개정안은 보험사가 이를 거부하지 못하도록 하는 대신 부작용을 막기 위해 보험 가입자의 보험금과 기대 수명을 고려해 금융위원회가 산정한 최저가격 이하로는 전매를 금지하는 ‘안전장치’도 마련했다.

개정안은	개정안/NNG+은/JX
보험사가	보험사/NNG+가/JKS
이를	이/NP+를/JKO
거부하지	거부/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
