# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.320
metadata : {}


# id : NWRW1800000024.320.1.1
유명아파트 공사중단 잇따라 계약자 발동동

유명아파트	유명/NNG+아파트/NNG
공사중단	공사/NNG+중단/NNG
잇따라	잇따르/VV+아/EC
계약자	계약자/NNG
발동동	발/NNG+동동/MAG


# id : NWRW1800000024.320.2.1
울산에 대규모 아파트를 지으려던 수도권의 대형 건설회사들이 분양률 저조와 자금난으로 잇따라 사업을 포기하거나 공사를 중단해 계약자들의 피해가 커지고 있다.

울산에	울산/NNP+에/JKB
대규모	대/XPN+규모/NNG
아파트를	아파트/NNG+를/JKO
지으려던	짓/VV+으려던/ETM
수도권의	수도/NNG+권/XSN+의/JKG
대형	대형/NNG
건설회사들이	건설/NNG+회사/NNG+들/XSN+이/JKS
분양률	분양/NNG+률/XSN
저조와	저조/NNG+와/JC
자금난으로	자금난/NNG+으로/JKB
잇따라	잇따르/VV+아/EC
사업을	사업/NNG+을/JKO
포기하거나	포기/NNG+하/XSV+거나/EC
공사를	공사/NNG+를/JKO
중단해	중단/NNG+하/XSV+아/EC
계약자들의	계약자/NNG+들/XSN+의/JKG
피해가	피해/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.320.3.1
2001년 옥동 ‘문수로 아이파크’를 시작으로 울산에서 연거푸 분양에 성공했던 현대산업개발은 남구 신정동에 886가구 규모의 아파트를 내년 9월 완공할 예정이었으나 최근 사업 포기를 선언했다.

2001년	2001/SN+년/NNB
옥동	옥동/NNP
‘문수로	‘/SS+문수로/NNP
아이파크’를	아이파크/NNP+’/SS+를/JKO
시작으로	시작/NNG+으로/JKB
울산에서	울산/NNP+에서/JKB
연거푸	연거푸/MAG
분양에	분양/NNG+에/JKB
성공했던	성공/NNG+하/XSV+았/EP+던/ETM
현대산업개발은	현대산업개발/NNP+은/JX
남구	남구/NNP
신정동에	신정동/NNP+에/JKB
886가구	886/SN+가구/NNG
규모의	규모/NNG+의/JKG
아파트를	아파트/NNG+를/JKO
내년	내년/NNG
9월	9/SN+월/NNB
완공할	완공/NNG+하/XSV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
최근	최근/MAG
사업	사업/NNG
포기를	포기/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.320.3.2
3.3㎡당 1600만원으로 울산에서 분양가가 가장 높은데다 경기 침체가 겹쳐 분양률이 약 10%(90여 가구)에 그쳤기 때문이다.

3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
1600만원으로	1600/SN+만/NR+원/NNB+으로/JKB
울산에서	울산/NNP+에서/JKB
분양가가	분양/NNG+가/XSN+가/JKS
가장	가장/MAG
높은데다	높/VA+은/ETM+데/NNB+다/JX
경기	경기/NNG
침체가	침체/NNG+가/JKS
겹쳐	겹치/VV+어/EC
분양률이	분양/NNG+률/XSN+이/JKS
약	약/MMA
10%(90여	10/SN+%/SW+(/SS+90/SN+여/XSN
가구)에	가구/NNG+)/SS+에/JKB
그쳤기	그치/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.320.3.3
이 회사가 울산에서 견본주택을 공개하고 분양을 시작한 뒤 사업을 포기한 것은 이번이 처음이다.

이	이/MMD
회사가	회사/NNG+가/JKS
울산에서	울산/NNP+에서/JKB
견본주택을	견본/NNG+주택/NNG+을/JKO
공개하고	공개/NNG+하/XSV+고/EC
분양을	분양/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
사업을	사업/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.320.3.4
이 아파트 계약자들은 “유명 브랜드를 보고 계약을 했는데 시공사가 시행사에만 책임을 떠넘기며 발을 빼고 있다”며 분양 납입금 환수소송에 나설 태세다.

이	이/MMD
아파트	아파트/NNG
계약자들은	계약자/NNG+들/XSN+은/JX
“유명	“/SS+유명/NNG
브랜드를	브랜드/NNG+를/JKO
보고	보/VV+고/EC
계약을	계약/NNG+을/JKO
했는데	하/VV+았/EP+는데/EC
시공사가	시공사/NNG+가/JKS
시행사에만	시행사/NNG+에/JKB+만/JX
책임을	책임/NNG+을/JKO
떠넘기며	떠넘기/VV+며/EC
발을	발/NNG+을/JKO
빼고	빼/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
분양	분양/NNG
납입금	납입금/NNG
환수소송에	환수/NNG+소송/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.320.4.1
애초 다음달 준공 예정이던 울주군 범서읍 현진에버빌(1093가구)은 현재 공정률 85% 상태에서 공사가 중단됐다.

애초	애초/NNG
다음달	다음/NNG+달/NNG
준공	준공/NNG
예정이던	예정/NNG+이/VCP+던/ETM
울주군	울주군/NNP
범서읍	범서읍/NNP
현진에버빌(1093가구)은	현진에버빌/NNP+(/SS+1093/SN+가구/NNG+)/SS+은/JX
현재	현재/MAG
공정률	공정/NNG+률/XSN
85%	85/SN+%/SW
