# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.354
metadata : {}


# id : NWRW1800000022.354.1.1
[수도권Ⅰ] 안산시 평생학습센터 3년 내 건립

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
안산시	안산시/NNP
평생학습센터	평생/NNG+학습/NNG+센터/NNG
3년	3/SN+년/NNB
내	내/NNB
건립	건립/NNG


# id : NWRW1800000022.354.2.1
안산시가 평생학습센터를 2012년까지 건립할 계획이다.

안산시가	안산시/NNP+가/JKS
평생학습센터를	평생/NNG+학습/NNG+센터/NNG+를/JKO
2012년까지	2012/SN+년/NNB+까지/JX
건립할	건립/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.354.3.1
시에 따르면, 센터는 상록구 이동 한양대앞역 인근 1275㎡ 부지에 61억5400만원을 들여 지하 1층, 지상 4층 규모로 지어지고, 2011년 11월 착공해 2012년 11월 준공된다.

시에	시/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
센터는	센터/NNG+는/JX
상록구	상록구/NNP
이동	이동/NNP
한양대앞역	한양대앞역/NNP
인근	인근/NNG
1275㎡	1275/SN+㎡/SW
부지에	부지/NNG+에/JKB
61억5400만원을	61/SN+억/NR+5400/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
4층	4/SN+층/NNG
규모로	규모/NNG+로/JKB
지어지고,	짓/VV+어/EC+지/VX+고/EC+,/SP
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
착공해	착공/NNG+하/XSV+아/EC
2012년	2012/SN+년/NNB
준공된다.	준공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.354.4.1
센터 지상 1∼2층에는 전시실과 정보자료열람실, 소공연장, 놀이방이 들어서고 지상 3∼4층에는 어학실습실과 정보통신교육실, 사이버교육방송국, 다목적강의실이 마련된다.

센터	센터/NNG
지상	지상/NNG
1∼2층에는	1/SN+∼/SO+2/SN+층/NNG+에/JKB+는/JX
전시실과	전시실/NNG+과/JC
정보자료열람실,	정보/NNG+자료/NNG+열람실/NNG+,/SP
소공연장,	소/XPN+공연장/NNG+,/SP
놀이방이	놀이방/NNG+이/JKS
들어서고	들어서/VV+고/EC
3∼4층에는	3/SN+∼/SO+4/SN+층/NNG+에/JKB+는/JX
어학실습실과	어학/NNG+실습실/NNG+과/JC
정보통신교육실,	정보/NNG+통신/NNG+교육실/NNG+,/SP
사이버교육방송국,	사이버/NNG+교육/NNG+방송국/NNG+,/SP
다목적강의실이	다목적/NNG+강의실/NNG+이/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.354.4.2
센터는 평생학습에 대한 시책개발과 연구, 학습기관 종사자 연수, 자원봉사자 육성 등 평생학습의 거점으로 활용하게 된다.

센터는	센터/NNG+는/JX
평생학습에	평생/NNG+학습/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시책개발과	시책/NNG+개발/NNG+과/JC
연구,	연구/NNG+,/SP
학습기관	학습/NNG+기관/NNG
종사자	종사자/NNG
연수,	연수/NNG+,/SP
자원봉사자	자원봉사자/NNG
육성	육성/NNG
등	등/NNB
평생학습의	평생/NNG+학습/NNG+의/JKG
거점으로	거점/NNG+으로/JKB
활용하게	활용/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.354.5.1
박주원 안산시장은 "평생학습센터는 안산시, 안산교육청, 관학협정대학 등 평생학습 지원 기관의 정책 개발을 주로 담당하게 될 것"이라고 했다.

박주원	박주원/NNP
안산시장은	안산시장/NNG+은/JX
"평생학습센터는	"/SS+평생/NNG+학습/NNG+센터/NNG+는/JX
안산시,	안산시/NNP+,/SP
안산교육청,	안산교육청/NNP+,/SP
관학협정대학	관학/NNG+협정/NNG+대학/NNG
등	등/NNB
평생학습	평생/NNG+학습/NNG
지원	지원/NNG
기관의	기관/NNG+의/JKG
정책	정책/NNG
개발을	개발/NNG+을/JKO
주로	주로/MAG
담당하게	담당/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


