# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.389
metadata : {}


# id : NWRW1800000036.389.1.1
고해성사 없인 진보운동 전체 부정시련을 민주정당 거듭나는 기회로

고해성사	고해/NNG+성사/NNG
없인	없이/MAG+ㄴ/JX
진보운동	진보/NNG+운동/NNG
전체	전체/NNG
부정시련을	부정/NNG+시련/NNG+을/JKO
민주정당	민주/NNG+정당/NNG
거듭나는	거듭나/VV+는/ETM
기회로	기회/NNG+로/JKB


# id : NWRW1800000036.389.2.1
[한겨레] 위기의 통합진보당|정치전문가들 쓴소리

[한겨레]	[/SS+한겨레/NNP+]/SS
위기의	위기/NNG+의/JKG
통합진보당|정치전문가들	통합진보당/NNP+|/SW+정치/NNG+전문가/NNG+들/XSN
쓴소리	쓴소리/NNG


# id : NWRW1800000036.389.3.1
과거 운동권 문화 탈피해

과거	과거/NNG
운동권	운동/NNG+권/XSN
문화	문화/NNG
탈피해	탈피/NNG+하/XSV+아/EF


# id : NWRW1800000036.389.4.1
당내 민주주의 회복땐 희망

당내	당내/NNG
민주주의	민주주의/NNG
회복땐	회복/NNG+때/NNG+ㄴ/JX
희망	희망/NNG


# id : NWRW1800000036.389.5.1
진보당 여전히 할 일 많아

진보당	진보당/NNP
여전히	여전히/MAG
할	하/VV+ㄹ/ETM
일	일/NNG
많아	많/VA+아/EF


# id : NWRW1800000036.389.6.1
철저한 쇄신 계기 삼아야

철저한	철저/NNG+하/XSA+ㄴ/ETM
쇄신	쇄신/NNG
계기	계기/NNG
삼아야	삼/VV+아야/EC


# id : NWRW1800000036.389.7.1
통합진보당 비례대표 후보 경선 부정 사태와 관련해 정치 전문가들은 뼈저린 반성과 근본적 성찰, 철저한 쇄신의 계기로 삼는다면 오히려 기회가 될 것이라고 말했다.

통합진보당	통합진보당/NNP
비례대표	비례/NNG+대표/NNG
후보	후보/NNG
경선	경선/NNG
부정	부정/NNG
사태와	사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정치	정치/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
뼈저린	뼈저리/VA+ㄴ/ETM
반성과	반성/NNG+과/JC
근본적	근본/NNG+적/XSN
성찰,	성찰/NNG+,/SP
철저한	철저/NNG+하/XSA+ㄴ/ETM
쇄신의	쇄신/NNG+의/JKG
계기로	계기/NNG+로/JKB
삼는다면	삼/VV+는다면/EC
오히려	오히려/MAG
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.7.2
한국 사회에서 진보정당이 아직 할 일이 많다는 데 토를 다는 사람은 없었다.

한국	한국/NNP
사회에서	사회/NNG+에서/JKB
진보정당이	진보/NNG+정당/NNG+이/JKS
아직	아직/MAG
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많다는	많/VA+다는/ETM
데	데/NNB
토를	토/NNG+를/JKO
다는	달/VV+는/ETM
사람은	사람/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000036.389.8.1
고원 서울과학기술대 교수(정치학)는 “민첩한 쾌속정인 진보당이 이번 일만 지혜롭게 잘 수습하면 거대한 유조선 같은 민주통합당보다 훨씬 나을 것”이라며 “이번에 드러난 가장 심각한 문제는 민주적 절차의 문제인데, 이는 진보당뿐 아니라 민주당도 모두 안고 있는 문제다.

고원	고원/NNP
서울과학기술대	서울과학기술대/NNP
교수(정치학)는	교수/NNG+(/SS+정치학/NNG+)/SS+는/JX
“민첩한	“/SS+민첩하/VA+ㄴ/ETM
쾌속정인	쾌속정/NNG+이/VCP+ㄴ/ETM
진보당이	진보당/NNP+이/JKS
이번	이번/NNG
일만	일/NNG+만/JX
지혜롭게	지혜/NNG+롭/XSA+게/EC
잘	잘/MAG
수습하면	수습/NNG+하/XSV+면/EC
거대한	거대/NNG+하/XSA+ㄴ/ETM
유조선	유조선/NNG
같은	같/VA+은/ETM
민주통합당보다	민주통합당/NNP+보다/JKB
훨씬	훨씬/MAG
나을	낫/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이번에	“/SS+이번/NNG+에/JKB
드러난	드러나/VV+ㄴ/ETM
가장	가장/MAG
심각한	심각하/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
민주적	민주/NNG+적/XSN
절차의	절차/NNG+의/JKG
문제인데,	문제/NNG+이/VCP+ㄴ데/EC+,/SP
이는	이/NP+는/JX
진보당뿐	진보당/NNP+뿐/JX
아니라	아니/VCN+라/EC
민주당도	민주당/NNP+도/JX
모두	모두/MAG
안고	안/VV+고/EC
있는	있/VX+는/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.389.8.2
가령 민주당의 ‘밀실공천’ 파동은 민주적인가”라고 말했다.

가령	가령/MAG
민주당의	민주당/NNP+의/JKG
‘밀실공천’	‘/SS+밀실/NNG+공천/NNG+’/SS
파동은	파동/NNG+은/JX
민주적인가”라고	민주/NNG+적/XSN+이/VCP+ㄴ가/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.8.3
그는 “진보당 당권파가 역사의 장애물로 전락할지, 민주화에 헌신한 세력으로서 최소한의 역사성을 보존할지 기로에 놓였다”며 “현실을 잘 직시했으면 좋겠다”고 주문했다.

그는	그/NP+는/JX
“진보당	“/SS+진보당/NNP
당권파가	당권파/NNG+가/JKS
역사의	역사/NNG+의/JKG
장애물로	장애물/NNG+로/JKB
전락할지,	전락/NNG+하/XSV+ㄹ지/EF+,/SP
민주화에	민주/NNG+화/XSN+에/JKB
헌신한	헌신/NNG+하/XSV+ㄴ/ETM
세력으로서	세력/NNG+으로서/JKB
최소한의	최소한/NNG+의/JKG
역사성을	역사/NNG+성/XSN+을/JKO
보존할지	보존/NNG+하/XSV+ㄹ지/EF
기로에	기로/NNG+에/JKB
놓였다”며	놓이/VV+었/EP+다/EF+”/SS+며/EC
“현실을	“/SS+현실/NNG+을/JKO
잘	잘/MAG
직시했으면	직시/NNG+하/XSV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.9.1
박상훈 후마니타스 대표는 “현 상황을 4년 전 민주노동당과 진보신당의 분열에 빗대는 시각이 많은 것 같은데, 이번엔 당이 깨지진 않을 것 같다”며 “그땐 정파 간의 싸움이었지만, 지금은 국민참여당이란 이질적 세력과 민주적 절차를 둘러싼 경쟁”이라고 설명했다.

박상훈	박상훈/NNP
후마니타스	후마니타스/NNP
대표는	대표/NNG+는/JX
“현	“/SS+현/MMD
상황을	상황/NNG+을/JKO
4년	4/SN+년/NNB
전	전/NNG
민주노동당과	민주노동당/NNP+과/JC
진보신당의	진보신당/NNP+의/JKG
분열에	분열/NNG+에/JKB
빗대는	빗대/VV+는/ETM
시각이	시각/NNG+이/JKS
많은	많/VA+은/ETM
것	것/NNB
같은데,	같/VA+은데/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
당이	당/NNG+이/JKS
깨지진	깨지/VV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
같다”며	같/VA+다/EF+”/SS+며/EC
“그땐	“/SS+그때/NNG+ㄴ/JX
정파	정파/NNG
간의	간/NNB+의/JKG
싸움이었지만,	싸움/NNG+이/VCP+었/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
국민참여당이란	국민참여당/NNP+이/VCP+란/ETM
이질적	이질/NNG+적/XSN
세력과	세력/NNG+과/JC
민주적	민주/NNG+적/XSN
절차를	절차/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
경쟁”이라고	경쟁/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.9.2
박 대표는 “당권파가 한발 물러나 ‘당내 야당’의 지위를 받아들이는 등 제대로 수습하기만 한다면, 각 정파가 경쟁을 통해 각자 특성을 발전시키는 진정한 ‘통합진보’ 체제를 기대할 수도 있을 것”이라고 덧붙였다.

박	박/NNP
대표는	대표/NNG+는/JX
“당권파가	“/SS+당권파/NNG+가/JKS
한발	한발/MAG
물러나	물러나/VV+아/EC
‘당내	‘/SS+당내/NNG
야당’의	야당/NNG+’/SS+의/JKG
지위를	지위/NNG+를/JKO
받아들이는	받아들이/VV+는/ETM
등	등/NNB
제대로	제대로/MAG
수습하기만	수습/NNG+하/XSV+기/ETN+만/JX
한다면,	하/VX+ㄴ다면/EC+,/SP
각	각/MMD
정파가	정파/NNG+가/JKS
경쟁을	경쟁/NNG+을/JKO
통해	통하/VV+아/EC
각자	각자/MAG
특성을	특성/NNG+을/JKO
발전시키는	발전/NNG+시키/XSV+는/ETM
진정한	진정하/VA+ㄴ/ETM
‘통합진보’	‘/SS+통합/NNG+진보/NNG+’/SS
체제를	체제/NNG+를/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.389.10.1
김호기 연세대 교수(사회학)는 “비례대표 당선자들이 사퇴를 권고받는 경우는 거의 없다.

김호기	김호기/NNP
연세대	연세대/NNP
교수(사회학)는	교수/NNG+(/SS+사회학/NNG+)/SS+는/JX
“비례대표	“/SS+비례/NNG+대표/NNG
당선자들이	당선자/NNG+들/XSN+이/JKS
사퇴를	사퇴/NNG+를/JKO
권고받는	권고/NNG+받/XSV+는/ETM
경우는	경우/NNG+는/JX
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.389.10.2
운영위의 결론이 어찌 보면 최선의 처방일 것”이라며 진보당 전국운영위의 결정을 옹호했다.

운영위의	운영위/NNG+의/JKG
결론이	결론/NNG+이/JKS
어찌	어찌/MAG
보면	보/VV+면/EC
최선의	최선/NNG+의/JKG
처방일	처방/NNG+이/VCP+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
진보당	진보당/NNP
전국운영위의	전국/NNG+운영위/NNG+의/JKG
결정을	결정/NNG+을/JKO
옹호했다.	옹호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.389.10.3
그는 “진보개혁세력에 일대 시련의 시기”라며 “중도진보적인 민주당에 견줘 ‘정통진보’라 할 수 있는 진보당이 양극화 해소 등 문제를 겪는 우리 사회에 필요하다.

그는	그/NP+는/JX
“진보개혁세력에	“/SS+진보/NNG+개혁/NNG+세력/NNG+에/JKB
일대	일대/MMA
시련의	시련/NNG+의/JKG
시기”라며	시기/NNG+”/SS+이/VCP+라며/EC
“중도진보적인	“/SS+중도/NNG+진보/NNG+적/XSN+이/VCP+ㄴ/ETM
민주당에	민주당/NNP+에/JKB
견줘	견주/VV+어/EC
‘정통진보’라	‘/SS+정통/NNG+진보/NNG+’/SS+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
진보당이	진보당/NNP+이/JKS
양극화	양극/NNG+화/XSN
해소	해소/NNG
등	등/NNB
문제를	문제/NNG+를/JKO
겪는	겪/VV+는/ETM
우리	우리/NP
사회에	사회/NNG+에/JKB
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.389.10.4
시련의 계절을 잘 극복해서 제대로 된 민주정당, 민중정당으로 거듭나기를 바란다”고 말했다.

시련의	시련/NNG+의/JKG
계절을	계절/NNG+을/JKO
잘	잘/MAG
극복해서	극복/NNG+하/XSV+아서/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
민주정당,	민주/NNG+정당/NNG+,/SP
민중정당으로	민중/NNG+정당/NNG+으로/JKB
