# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.324
metadata : {}


# id : NWRW1800000030.324.1.1
오세훈의 승부수… 이기면 대선주자 탄력, 지면 시장 사퇴압력

오세훈의	오세훈/NNP+의/JKG
승부수…	승부수/NNG+…/SE
이기면	이기/VV+면/EC
대선주자	대선/NNG+주자/NNG
탄력,	탄력/NNG+,/SP
지면	지/VV+면/EC
시장	시장/NNG
사퇴압력	사퇴/NNG+압력/NNG


# id : NWRW1800000030.324.2.1
'전면 무상급식' 반대를 위한 주민투표가 가시화되면서 오세훈 서울시장의 정치적 명운도 급물살을 타기 시작했다.

'전면	'/SS+전면/NNG
무상급식'	무상/NNG+급식/NNG+'/SS
반대를	반대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
주민투표가	주민/NNG+투표/NNG+가/JKS
가시화되면서	가시/NNG+화/XSN+되/XSV+면서/EC
오세훈	오세훈/NNP
서울시장의	서울시장/NNG+의/JKG
정치적	정치/NNG+적/XSN
명운도	명운/NNG+도/JX
급물살을	급물살/NNG+을/JKO
타기	타/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.324.2.2
오 시장은 16일 기자회견을 갖고 "80만 시민의 (주민투표)서명부가 오늘 시청에 접수됐다"며 "주민투표가 복지 포퓰리즘에 종지부를 찍을 역사적인 기로가 될 것"이라고 선언했다.

오	오/NNP
시장은	시장/NNG+은/JX
16일	16/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"80만	"/SS+80/SN+만/NR
시민의	시민/NNG+의/JKG
(주민투표)서명부가	(/SS+주민/NNG+투표/NNG+)/SS+서명부/NNG+가/JKS
오늘	오늘/NNG
시청에	시청/NNG+에/JKB
접수됐다"며	접수/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"주민투표가	"/SS+주민/NNG+투표/NNG+가/JKS
복지	복지/NNG
포퓰리즘에	포퓰리즘/NNG+에/JKB
종지부를	종지부/NNG+를/JKO
찍을	찍/VV+을/ETM
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
기로가	기로/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.324.3.1
오 시장은 올 초 야당이 무상의료 등 '3무(無) 시리즈'를 내놓은 가운데 '전면 무상급식' 반대를 외치며 야당에 맞서왔다.

오	오/NNP
시장은	시장/NNG+은/JX
올	올/NNG
초	초/NNB
야당이	야당/NNG+이/JKS
무상의료	무상/NNG+의료/NNG
등	등/NNB
'3무(無)	'/SS+3/SN+무/NNG+(/SS+無/SH+)/SS
시리즈'를	시리즈/NNG+'/SS+를/JKO
내놓은	내놓/VV+은/ETM
가운데	가운데/NNG
'전면	'/SS+전면/NNG
무상급식'	무상/NNG+급식/NNG+'/SS
반대를	반대/NNG+를/JKO
외치며	외치/VV+며/EC
야당에	야당/NNG+에/JKB
맞서왔다.	맞서/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.324.3.2
대의(大義)를 위해 몸을 아끼지 않는 투사(鬪士) 이미지를 얻었다.

대의(大義)를	대의/NNG+(/SS+大義/SH+)/SS+를/JKO
위해	위하/VV+아/EC
몸을	몸/NNG+을/JKO
아끼지	아끼/VV+지/EC
않는	않/VX+는/ETM
투사(鬪士)	투사/NNG+(/SS+鬪士/SH+)/SS
이미지를	이미지/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.324.3.3
'전면 무상급식'의 부당함을 알리는 과정에서 정치적 행보도 넓혀갔다.

'전면	'/SS+전면/NNG
무상급식'의	무상/NNG+급식/NNG+'/SS+의/JKG
부당함을	부당/NNG+하/XSA+ㅁ/ETN+을/JKO
알리는	알리/VV+는/ETM
과정에서	과정/NNG+에서/JKB
정치적	정치/NNG+적/XSN
행보도	행보/NNG+도/JX
넓혀갔다.	넓히/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.324.4.1
그러나 주민투표를 둘러싼 상황이 오 시장에게 유리한 것은 아니다.

그러나	그러나/MAJ
주민투표를	주민/NNG+투표/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
상황이	상황/NNG+이/JKS
오	오/NNP
시장에게	시장/NNG+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.324.4.2
도움을 받아야 할 한나라당이 반값 등록금을 들고 나오고 있으며, 여야가 경쟁하듯 선심성 복지 정책을 내놓고 있기 때문이다.

