# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.90
metadata : {}


# id : NWRW1800000022.90.1.1
[Interview in Depth]'브랜드 자산' 데이비드 아커 인터뷰_"제네시스, 공격적 마케팅은 홈런"

[Interview	[/SS+Interview/SL
in	in/SL
Depth]'브랜드	Depth/SL+]/SS+'/SS+브랜드/NNG
자산'	자산/NNG+'/SS
데이비드	데이비드/NNP
아커	아커/NNP
인터뷰_"제네시스,	인터뷰/NNG+_/SS+"/SS+제네시스/NNP+,/SP
공격적	공격/NNG+적/XSN
마케팅은	마케팅/NNG+은/JX
홈런"	홈런/NNG+"/SS


# id : NWRW1800000022.90.2.1
현대자동차는 얼마 전 미국 최대의 광고 경연장인 수퍼볼(미식축구 결승전)에 엄청난 비용을 쏟아부으며 광고를 해서 화제를 뿌렸다.

현대자동차는	현대자동차/NNP+는/JX
얼마	얼마/NNG
전	전/NNG
미국	미국/NNP
최대의	최대/NNG+의/JKG
광고	광고/NNG
경연장인	경연장/NNG+이/VCP+ㄴ/ETM
수퍼볼(미식축구	수퍼볼/NNG+(/SS+미식축구/NNG
결승전)에	결승전/NNG+)/SS+에/JKB
엄청난	엄청나/VA+ㄴ/ETM
비용을	비용/NNG+을/JKO
쏟아부으며	쏟아붓/VV+으며/EC
광고를	광고/NNG+를/JKO
해서	하/VV+아서/EC
화제를	화제/NNG+를/JKO
뿌렸다.	뿌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.90.2.2
아커 교수는 어떻게 생각할까?

아커	아커/NNP
교수는	교수/NNG+는/JX
어떻게	어떻/VA+게/EC
생각할까?	생각/NNG+하/XSV+ㄹ까/EF+?/SF


# id : NWRW1800000022.90.2.3
그가 말하는 홈런일까?

그가	그/NP+가/JKS
말하는	말/NNG+하/XSV+는/ETM
홈런일까?	홈런/NNG+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000022.90.3.1
―현대차의 공격적인 제네시스 마케팅은 홈런인가?

―현대차의	―/SS+현대차/NNP+의/JKG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
제네시스	제네시스/NNP
마케팅은	마케팅/NNG+은/JX
홈런인가?	홈런/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000022.90.4.1
