# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.458
metadata : {}


# id : NWRW1800000028.458.1.1
복지후퇴의 시대

복지후퇴의	복지/NNG+후퇴/NNG+의/JKG
시대	시대/NNG


# id : NWRW1800000028.458.2.1
찰스 디킨스의 소설 <크리스마스 캐럴>은 산업혁명 초기 빈부격차가 극심했던 19세기 초반 영국 런던이 배경이다.

찰스	찰스/NNP
디킨스의	디킨스/NNP+의/JKG
소설	소설/NNG
<크리스마스	</SS+크리스마스/NNG
캐럴>은	캐럴/NNG+>/SS+은/JX
산업혁명	산업/NNG+혁명/NNG
초기	초기/NNG
빈부격차가	빈부/NNG+격차/NNG+가/JKS
극심했던	극심하/VA+았/EP+던/ETM
19세기	19/SN+세기/NNG
초반	초반/NNG
영국	영국/NNP
런던이	런던/NNP+이/JKS
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.458.2.2
디킨스는 이 소설을 통해 정부의 빈민구제 지원을 최소화하라는 보수파의 견해를 비판하고자 했다.

디킨스는	디킨스/NNP+는/JX
이	이/MMD
소설을	소설/NNG+을/JKO
통해	통하/VV+아/EC
정부의	정부/NNG+의/JKG
빈민구제	빈민/NNG+구제/NNG
지원을	지원/NNG+을/JKO
최소화하라는	최소/NNG+화/XSN+하/XSV+라는/ETM
보수파의	보수파/NNG+의/JKG
견해를	견해/NNG+를/JKO
비판하고자	비판/NNG+하/XSV+고자/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.3
보수파들은 빈민구제가 수혜자들의 독립성과 근면성을 파괴해 오히려 사회에 비생산적이므로 자유방임 상태로 놔두라고 주장했다.

보수파들은	보수파/NNG+들/XSN+은/JX
빈민구제가	빈민/NNG+구제/NNG+가/JKS
수혜자들의	수혜자/NNG+들/XSN+의/JKG
독립성과	독립/NNG+성/XSN+과/JC
근면성을	근면/NNG+성/XSN+을/JKO
파괴해	파괴/NNG+하/XSV+아/EC
오히려	오히려/MAG
사회에	사회/NNG+에/JKB
비생산적이므로	비/XPN+생산/NNG+적/XSN+이/VCP+므로/EC
자유방임	자유방임/NNG
상태로	상태/NNG+로/JKB
놔두라고	놔두/VV+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.458.2.4
특히 인구학자 토머스 맬서스는 <인구론>에서 “인구 증가 속도가 식량 증가 속도보다 훨씬 빨라 이를 방치하면 파국이 오는 만큼 인구억제 정책을 펴야 한다”고 했다.

특히	특히/MAG
인구학자	인구학자/NNG
토머스	토머스/NNP
맬서스는	맬서스/NNP+는/JX
<인구론>에서	</SS+인구론/NNP+>/SS+에서/JKB
“인구	“/SS+인구/NNG
증가	증가/NNG
속도가	속도/NNG+가/JKS
식량	식량/NNG
속도보다	속도/NNG+보다/JKB
훨씬	훨씬/MAG
빨라	빠르/VA+아/EC
이를	이/NP+를/JKO
방치하면	방치/NNG+하/XSV+면/EC
파국이	파국/NNG+이/JKS
오는	오/VV+는/ETM
만큼	만큼/NNB
인구억제	인구/NNG+억제/NNG
