# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.37
metadata : {}


# id : NWRW1800000033.37.1.1
모건스탠리 “한국 부동산 6∼12개월간 침체”

모건스탠리	모건스탠리/NNP
“한국	“/SS+한국/NNP
부동산	부동산/NNG
6∼12개월간	6/SN+∼/SO+12/SN+개월/NNB+간/XSN
침체”	침체/NNG+”/SS


# id : NWRW1800000033.37.2.1
해외 투자은행(IB)이 총부채상환비율(DTI) 규제 완화 등 한국 정부의 부동산 경기 부양책에도 불구하고 향후 6∼12개월간 부동산 경기가 부진할 것이라는 전망을 내놓았다.

해외	해외/NNG
투자은행(IB)이	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS+이/JKS
총부채상환비율(DTI)	총부채/NNG+상환/NNG+비율/NNG+(/SS+DTI/SL+)/SS
규제	규제/NNG
완화	완화/NNG
등	등/NNB
한국	한국/NNP
정부의	정부/NNG+의/JKG
부동산	부동산/NNG
경기	경기/NNG
부양책에도	부양책/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
향후	향후/NNG
6∼12개월간	6/SN+∼/SO+12/SN+개월/NNB+간/XSN
경기가	경기/NNG+가/JKS
부진할	부진/NNG+하/XSA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망을	전망/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.37.3.1
21일 국제금융센터에 따르면 모건스탠리는 “정부가 부동산 경기 부양에 애쓰고 있지만 부동산 경기가 부진한 모습을 보이고 있다”며 상당 기간 부동산 경기가 개선되기 어려울 것으로 분석했다.

21일	21/SN+일/NNB
국제금융센터에	국제금융센터/NNP+에/JKB
따르면	따르/VV+면/EC
모건스탠리는	모건스탠리/NNP+는/JX
“정부가	“/SS+정부/NNG+가/JKS
부동산	부동산/NNG
경기	경기/NNG
부양에	부양/NNG+에/JKB
애쓰고	애쓰/VV+고/EC
있지만	있/VX+지만/EC
경기가	경기/NNG+가/JKS
부진한	부진/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
상당	상당/NNG
기간	기간/NNG
개선되기	개선/NNG+되/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.37.4.1
정부는 최근 부동산 등 보유 자산이 있는 은퇴자 및 고령자와 20, 30대 직장인에 대한 은행 담보대출 한도를 늘리는 내용의 DTI 규제 완화 대책을 내놓았다.

정부는	정부/NNG+는/JX
최근	최근/MAG
부동산	부동산/NNG
등	등/NNB
보유	보유/NNG
자산이	자산/NNG+이/JKS
있는	있/VA+는/ETM
은퇴자	은퇴자/NNG
및	및/MAG
고령자와	고령자/NNG+와/JC
20,	20/SN+,/SP
30대	30/SN+대/NNB
직장인에	직장인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
은행	은행/NNG
담보대출	담보/NNG+대출/NNG
한도를	한도/NNG+를/JKO
늘리는	늘리/VV+는/ETM
내용의	내용/NNG+의/JKG
DTI	DTI/SL
규제	규제/NNG
완화	완화/NNG
대책을	대책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.37.5.1
모건스탠리는 “이런 조치가 주택 구매자들의 자금조달 여건 개선에 도움을 줄 것으로 기대한다”라면서도 “하반기 주택담보대출이 크게 늘어나지는 않을 것”이라고 밝혔다.

