# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.374
metadata : {}


# id : NWRW1800000028.374.1.1
G20 경주회의 합의 내용 살펴보니 /환율전쟁 ‘불안한 봉합’

G20	G/SL+20/SN
경주회의	경주/NNP+회의/NNG
합의	합의/NNG
내용	내용/NNG
살펴보니	살펴보/VV+니/EC
/환율전쟁	//SP+환율/NNG+전쟁/NNG
‘불안한	‘/SS+불안/NNG+하/XSA+ㄴ/ETM
봉합’	봉합/NNG+’/SS


# id : NWRW1800000028.374.2.1
지난 주말 경북 경주에서 열린 주요 20개국(G20) 재무장관·중앙은행총재 회의가 중국을 비롯한 신흥국의 과도한 경상수지 흑자를 줄이고 좀더 ‘시장 결정적인 환율제도’로 이행한다는 데 합의했다.

지난	지나/VV+ㄴ/ETM
주말	주말/NNG
경북	경북/NNP
경주에서	경주/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
재무장관·중앙은행총재	재무/NNG+장관/NNG+·/SP+중앙은행/NNG+총재/NNG
회의가	회의/NNG+가/JKS
중국을	중국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
신흥국의	신흥국/NNG+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
경상수지	경상/NNG+수지/NNG
흑자를	흑자/NNG+를/JKO
줄이고	줄이/VV+고/EC
좀더	좀/MAG+더/MAG
‘시장	‘/SS+시장/NNG
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
환율제도’로	환율/NNG+제도/NNG+’/SS+로/JKB
이행한다는	이행/NNG+하/XSV+ㄴ다는/ETM
데	데/NNB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.374.2.2
이로써 걷잡을 수 없던 ‘환율전쟁’이 일단 봉합될 것으로 보인다.

이로써	이/NP+로써/JKB
걷잡을	걷잡/VV+을/ETM
수	수/NNB
없던	없/VA+던/ETM
