# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.443
metadata : {}


# id : NWRW1800000024.443.1.1
출구 없는 ‘패권 중독증’…미국의 화근

출구	출구/NNG
없는	없/VA+는/ETM
‘패권	‘/SS+패권/NNG
중독증’…미국의	중독증/NNG+’/SS+…/SE+미국/NNP+의/JKG
화근	화근/NNG


# id : NWRW1800000024.443.2.1
제국의 몰락- 미국의 패권은 어떻게 무너지는가 가브리엘 콜코 지음·지소철 옮김/비아북·1만4500원 미국의 실패와 몰락을 다룬 담론들은 이제 새삼스러울 게 없을 지경이 됐지만, 가브리엘 콜코(77) 캐나다 요크대 명예교수의 새 책 <제국의 몰락>은 그 주제를 달리 보게 만드는 중량감이 있다.

제국의	제국/NNG+의/JKG
몰락-	몰락/NNG+-/SO
미국의	미국/NNP+의/JKG
패권은	패권/NNG+은/JX
어떻게	어떻/VA+게/EC
무너지는가	무너지/VV+는가/EF
가브리엘	가브리엘/NNP
콜코	콜코/NNP
지음·지소철	짓/VV+음/ETN+·/SP+지소철/NNP
옮김/비아북·1만4500원	옮기/VV+ㅁ/ETN+//SP+비아북/NNP+·/SP+1/SN+만/NR+4500/SN+원/NNB
실패와	실패/NNG+와/JC
몰락을	몰락/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
담론들은	담론/NNG+들/XSN+은/JX
이제	이제/MAG
새삼스러울	새삼/MAG+스럽/XSA+ㄹ/ETM
게	거/NNB+이/JKS
없을	없/VA+을/ETM
지경이	지경/NNB+이/JKC
됐지만,	되/VV+었/EP+지만/EC+,/SP
콜코(77)	콜코/NNP+(/SS+77/SN+)/SS
캐나다	캐나다/NNP
요크대	요크대/NNP
명예교수의	명예/NNG+교수/NNG+의/JKG
새	새/MMA
책	책/NNG
<제국의	</SS+제국/NNG+의/JKG
몰락>은	몰락/NNG+>/SS+은/JX
그	그/MMD
주제를	주제/NNG+를/JKO
달리	달리/MAG
보게	보/VV+게/EC
만드는	만들/VV+는/ETM
중량감이	중량감/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.443.3.1
미국의 초기 신좌파(뉴레프트)를 이끈 수정주의 역사가로, <한국전쟁의 기원>을 쓴 브루스 커밍스 등에게 큰 영향을 준 것으로 알려진 콜코의 책에 붙은 원래 제목은 ‘위기에 처한 세계- 미국 세기의 종언’(World in Crisis: The End of the American Century)이다.

미국의	미국/NNP+의/JKG
초기	초기/NNG
신좌파(뉴레프트)를	신/XPN+좌파/NNG+(/SS+뉴레프트/NNG+)/SS+를/JKO
이끈	이끌/VV+ㄴ/ETM
수정주의	수정주의/NNG
역사가로,	역사가/NNG+로/JKB+,/SP
<한국전쟁의	</SS+한국/NNP+전쟁/NNG+의/JKG
기원>을	기원/NNG+>/SS+을/JKO
쓴	쓰/VV+ㄴ/ETM
브루스	브루스/NNP
커밍스	커밍스/NNP
등에게	등/NNB+에게/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
준	주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
콜코의	콜코/NNP+의/JKG
책에	책/NNG+에/JKB
붙은	붙/VV+은/ETM
원래	원래/NNG
제목은	제목/NNG+은/JX
‘위기에	‘/SS+위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
세계-	세계/NNG+-/SO
미국	미국/NNP
세기의	세기/NNG+의/JKG
종언’(World	종언/NNG+’/SS+(/SS+World/SL
in	in/SL
Crisis:	Crisis/SL+:/SP
The	The/SL
End	End/SL
of	of/SL
the	the/SL
American	American/SL
Century)이다.	Century/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.443.3.2
이는 이 책이 비중있게 다루는 도널드 럼스펠드 전 국방장관 등의 네오콘(신보수주의)적 세계관에 대한 야유로도 들린다.

이는	이/NP+는/JX
이	이/MMD
책이	책/NNG+이/JKS
비중있게	비중/NNG+있/VA+게/EC
다루는	다루/VV+는/ETM
도널드	도널드/NNP
럼스펠드	럼스펠드/NNP
전	전/MMD
국방장관	국방/NNG+장관/NNG
등의	등/NNB+의/JKG
네오콘(신보수주의)적	네오콘/NNG+(/SS+신/XPN+보수주의/NNG+)/SS+적/XSN
세계관에	세계관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
야유로도	야유/NNG+로/JKB+도/JX
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.3.3
미국의 세기가 끝났다고 했을 때 콜코는 <위클리 스탠더드>를 운영한 네오콘의 이론가 윌리엄 크리스톨이나 로버트 케이건이 주도한 싱크탱크 ‘새로운 미국의 세기를 위한 프로젝트’(Project for the New American Century)를 염두에 두지 않았을까.

미국의	미국/NNP+의/JKG
세기가	세기/NNG+가/JKS
끝났다고	끝나/VV+았/EP+다고/EC
했을	하/VV+았/EP+을/ETM
때	때/NNG
콜코는	콜코/NNP+는/JX
<위클리	</SS+위클리/NNP
스탠더드>를	스탠더드/NNP+>/SS+를/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
네오콘의	네오콘/NNG+의/JKG
이론가	이론가/NNG
윌리엄	윌리엄/NNP
크리스톨이나	크리스톨/NNP+이나/JC
로버트	로버트/NNP
케이건이	케이건/NNP+이/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
싱크탱크	싱크탱크/NNG
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
세기를	세기/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
프로젝트’(Project	프로젝트/NNG+’/SS+(/SS+Project/SL
for	for/SL
the	the/SL
New	New/SL
American	American/SL
Century)를	Century/SL+)/SS+를/JKO
염두에	염두/NNG+에/JKB
두지	두/VV+지/EC
않았을까.	않/VX+았/EP+을까/EF+./SF


# id : NWRW1800000024.443.3.4
2001년 9·11사태 이후 아프가니스탄과 이라크 침공, ‘테러와의 전쟁’ 선포 등을 거치면서 세계를 압도하듯 기세등등했던 미국의 ‘새로운’ 세기는 부시의 짧았던 치세와 더불어 그야말로 신기루처럼 사라져가고 있다.

2001년	2001/SN+년/NNB
9·11사태	9/SN+·/SP+11/SN+사태/NNG
이후	이후/NNG
아프가니스탄과	아프가니스탄/NNP+과/JKB
이라크	이라크/NNP
침공,	침공/NNG+,/SP
‘테러와의	‘/SS+테러/NNG+와/JKB+의/JKG
전쟁’	전쟁/NNG+’/SS
선포	선포/NNG
등을	등/NNB+을/JKO
거치면서	거치/VV+면서/EC
세계를	세계/NNG+를/JKO
압도하듯	압도/NNG+하/XSV+듯/EC
기세등등했던	기세등등/MAG+하/XSA+았/EP+던/ETM
미국의	미국/NNP+의/JKG
‘새로운’	‘/SS+새롭/VA+ㄴ/ETM+’/SS
세기는	세기/NNG+는/JX
부시의	부시/NNP+의/JKG
짧았던	짧/VA+았/EP+던/ETM
치세와	치세/NNG+와/JKB
더불어	더불/VV+어/EC
그야말로	그야말로/MAG
신기루처럼	신기루/NNG+처럼/JKB
사라져가고	사라지/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.443.3.5
“미국의 리더십은 미국만이 아니라 세계에도 좋다”며 “우리 편이 아니면 적”을 외치던 그들의 위세와 오만은 옛말이 됐다.

“미국의	“/SS+미국/NNP+의/JKG
리더십은	리더십/NNG+은/JX
미국만이	미국/NNP+만/JX+이/JKC
아니라	아니/VCN+라/EC
세계에도	세계/NNG+에/JKB+도/JX
좋다”며	좋/VA+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
편이	편/NNG+이/JKC
아니면	아니/VCN+면/EC
적”을	적/NNG+”/SS+을/JKO
외치던	외치/VV+던/ETM
그들의	그/NP+들/XSN+의/JKG
위세와	위세/NNG+와/JC
오만은	오만/NNG+은/JX
옛말이	옛말/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.443.4.1
콜코는 미국의 실패와 몰락을 크게 세가지 방향에서 살핀다.

콜코는	콜코/NNP+는/JX
미국의	미국/NNP+의/JKG
실패와	실패/NNG+와/JC
몰락을	몰락/NNG+을/JKO
크게	크/VA+게/EC
세가지	세/MMN+가지/NNB
방향에서	방향/NNG+에서/JKB
살핀다.	살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.443.4.2
하나는 서브프라임 모기지(비우량 주택담보대출) 부실화를 계기로 적나라하게 그 모순을 드러낸 미국경제의 금융투기자본주의화.

하나는	하나/NR+는/JX
서브프라임	서브프라임/NNG
모기지(비우량	모기지/NNG+(/SS+비/XPN+우량/NNG
주택담보대출)	주택/NNG+담보/NNG+대출/NNG+)/SS
부실화를	부실/NNG+화/XSN+를/JKO
계기로	계기/NNG+로/JKB
적나라하게	적나라하/VA+게/EC
그	그/MMD
모순을	모순/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
미국경제의	미국/NNP+경제/NNG+의/JKG
금융투기자본주의화.	금융/NNG+투기/NNG+자본주의/NNG+화/XSN+./SF


# id : NWRW1800000024.443.4.3
