# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.268
metadata : {}


# id : NWRW1800000032.268.1.1
‘원폭피해 대물림 고통 덜자’…지원조례 만든다

‘원폭피해	‘/SS+원폭/NNG+피해/NNG
대물림	대물림/NNG
고통	고통/NNG
덜자’…지원조례	덜/VV+자/EF+’/SS+…/SE+지원/NNG+조례/NNG
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000032.268.2.1
경남도의회, 전국 첫 발의…자손 포함 복지·건강 시책 담아

경남도의회,	경남도의회/NNP+,/SP
전국	전국/NNG
첫	첫/MMN
발의…자손	발의/NNG+…/SE+자손/NNG
포함	포함/NNG
복지·건강	복지/NNG+·/SP+건강/NNG
시책	시책/NNG
담아	담/VV+아/EC


# id : NWRW1800000032.268.3.1
피폭 후유증 2300여명 추산…합천 쉼터 “실태조사가 첫걸음”

피폭	피폭/NNG
후유증	후유증/NNG
2300여명	2300/SN+여/XSN+명/NNB
추산…합천	추산/NNG+…/SE+합천/NNP
쉼터	쉼터/NNG
“실태조사가	“/SS+실태/NNG+조사/NNG+가/JKS
첫걸음”	첫걸음/NNG+”/SS


# id : NWRW1800000032.268.4.1
경남도의회가 원자폭탄 직접피해자와, 태어날 때부터 부모에게서 피폭 후유증을 물려받아 고통 당하고 있는 자손을 지원하는 조례 제정을 추진하고 나섰다.

경남도의회가	경남도의회/NNP+가/JKS
원자폭탄	원자/NNG+폭탄/NNG
직접피해자와,	직접/NNG+피해자/NNG+와/JC+,/SP
태어날	태어나/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
부모에게서	부모/NNG+에게서/JKB
피폭	피폭/NNG
후유증을	후유증/NNG+을/JKO
물려받아	물려받/VV+아/EC
고통	고통/NNG
당하고	당하/VV+고/EC
있는	있/VX+는/ETM
자손을	자손/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
조례	조례/NNG
제정을	제정/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.268.4.2
1945년 일본 히로시마와 나가사키에 원자폭탄이 떨어져 한국인 4만여명 등 23만여명이 목숨을 잃은 지 66년이 흘렀지만, 원폭 직접피해자의 자손까지 공식적으로 지원하려는 것은 한국과 일본을 통틀어 이번이 처음이다.

1945년	1945/SN+년/NNB
일본	일본/NNP
히로시마와	히로시마/NNP+와/JC
나가사키에	나가사키/NNP+에/JKB
원자폭탄이	원자/NNG+폭탄/NNG+이/JKS
떨어져	떨어지/VV+어/EC
한국인	한국인/NNG
4만여명	4/SN+만/NR+여/XSN+명/NNB
등	등/NNB
23만여명이	23/SN+만/NR+여/XSN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
지	지/NNB
66년이	66/SN+년/NNB+이/JKS
흘렀지만,	흐르/VV+었/EP+지만/EC+,/SP
원폭	원폭/NNG
직접피해자의	직접/NNG+피해자/NNG+의/JKG
자손까지	자손/NNG+까지/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
지원하려는	지원/NNG+하/XSV+려는/ETM
것은	것/NNB+은/JX
한국과	한국/NNP+과/JC
일본을	일본/NNP+을/JKO
통틀어	통틀어/MAG
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.268.5.1
경남도의회 문화복지위원회는 다음달 15일 ‘경상남도 원자폭탄 피해자 지원 조례안’을 심의키로 하고, 심의에 앞서 도민의 의견을 듣기 위해 조례안을 최근 예고했다.

경남도의회	경남도의회/NNP
문화복지위원회는	문화/NNG+복지/NNG+위원회/NNG+는/JX
다음달	다음/NNG+달/NNG
15일	15/SN+일/NNB
‘경상남도	‘/SS+경상남도/NNP
원자폭탄	원자/NNG+폭탄/NNG
피해자	피해자/NNG
지원	지원/NNG
조례안’을	조례안/NNG+’/SS+을/JKO
심의키로	심의/NNG+하/XSV+기/ETN+로/JKB
하고,	하/VV+고/EC+,/SP
심의에	심의/NNG+에/JKB
앞서	앞서/VV+어/EC
도민의	도민/NNG+의/JKG
의견을	의견/NNG+을/JKO
듣기	듣/VV+기/ETN
위해	위하/VV+아/EC
조례안을	조례안/NNG+을/JKO
최근	최근/MAG
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.268.5.2
경남도의회는 다음달 22일 본회의를 열어 조례 제정 여부를 결정한다.

경남도의회는	경남도의회/NNP+는/JX
다음달	다음/NNG+달/NNG
22일	22/SN+일/NNB
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
조례	조례/NNG
제정	제정/NNG
여부를	여부/NNG+를/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.268.6.1
현재 우리 정부의 원폭 피해자 지원은 한 사람 앞에 다달이 10만원씩 주는 것이 전부이다.

현재	현재/MAG
우리	우리/NP
정부의	정부/NNG+의/JKG
원폭	원폭/NNG
피해자	피해자/NNG
지원은	지원/NNG+은/JX
한	한/MMN
사람	사람/NNG
앞에	앞/NNG+에/JKB
다달이	다달이/MAG
10만원씩	10/SN+만/NR+원/NNB+씩/XSN
주는	주/VV+는/ETM
것이	것/NNB+이/JKS
전부이다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.268.6.2
그나마 지원 대상자는 대한적십자사에 등록된 원폭 직접 피해자 2650여명에 한정된다.

그나마	그나마/MAG
지원	지원/NNG
대상자는	대상자/NNG+는/JX
대한적십자사에	대한적십자사/NNP+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
원폭	원폭/NNG
직접	직접/NNG
피해자	피해자/NNG
2650여명에	2650/SN+여/XSN+명/NNB+에/JKB
한정된다.	한정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.268.6.3
태어날 때부터 부모에게서 피폭 후유증을 물려받아 고통당하고 있는 2세, 3세는 아무런 지원을 받지 못하고 있다.

태어날	태어나/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
부모에게서	부모/NNG+에게서/JKB
피폭	피폭/NNG
후유증을	후유증/NNG+을/JKO
물려받아	물려받/VV+아/EC
고통당하고	고통/NNG+당하/XSV+고/EC
있는	있/VX+는/ETM
2세,	2/SN+세/NNB+,/SP
3세는	3/SN+세/NNB+는/JX
아무런	아무런/MMD
지원을	지원/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.268.6.4
피폭 후유증이 유전된다는 것이 의학적으로 증명되지 않았다는 이유다.

피폭	피폭/NNG
후유증이	후유증/NNG+이/JKS
유전된다는	유전/NNG+되/XSV+ㄴ다는/ETM
것이	것/NNB+이/JKS
의학적으로	의학/NNG+적/XSN+으로/JKB
증명되지	증명/NNG+되/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.268.7.1
하지만 원폭 직접피해자의 자손 가운데 상당수가 무혈성 괴사증, 피부병, 정신지체, 다운증후군 등 선천성 질환을 앓고 있는 것은 분명한 사실이다.

하지만	하지만/MAJ
원폭	원폭/NNG
직접피해자의	직접/NNG+피해자/NNG+의/JKG
자손	자손/NNG
가운데	가운데/NNG
상당수가	상당수/NNG+가/JKS
무혈성	무혈/NNG+성/XSN
괴사증,	괴사증/NNG+,/SP
피부병,	피부병/NNG+,/SP
정신지체,	정신/NNG+지체/NNG+,/SP
다운증후군	다운/NNG+증후군/NNG
등	등/NNB
선천성	선천/NNG+성/XSN
질환을	질환/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
분명한	분명/MAG+하/XSA+ㄴ/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.268.7.2
국가인권위원회가 2004년 국내에서 원폭 피해자가 가장 많아 ‘한국의 히로시마’라고 불리는 경남 합천군에서 원폭 피해자의 건강실태를 조사한 결과, 원폭 직접피해자의 우울증, 빈혈, 정신분열증 등 유병률이 국민 평균의 최고 93배에 이르렀다.

국가인권위원회가	국가인권위원회/NNP+가/JKS
2004년	2004/SN+년/NNB
국내에서	국내/NNG+에서/JKB
원폭	원폭/NNG
피해자가	피해자/NNG+가/JKS
가장	가장/MAG
많아	많/VA+아/EC
‘한국의	‘/SS+한국/NNP+의/JKG
히로시마’라고	히로시마/NNP+’/SS+라고/JKQ
불리는	불리/VV+는/ETM
경남	경남/NNP
합천군에서	합천군/NNP+에서/JKB
피해자의	피해자/NNG+의/JKG
건강실태를	건강/NNG+실태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
직접피해자의	직접/NNG+피해자/NNG+의/JKG
우울증,	우울증/NNG+,/SP
빈혈,	빈혈/NNG+,/SP
정신분열증	정신/NNG+분열증/NNG
등	등/NNB
유병률이	유병/NNG+률/XSN+이/JKS
국민	국민/NNG
평균의	평균/NNG+의/JKG
최고	최고/NNG
93배에	93/SN+배/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.268.7.3
또 그들의 자녀 역시 유병률이 최고 89배나 되는 것으로 나타났다.

또	또/MAG
그들의	그/NP+들/XSN+의/JKG
자녀	자녀/NNG
역시	역시/MAG
유병률이	유병/NNG+률/XSN+이/JKS
최고	최고/NNG
89배나	89/SN+배/NNG+나/JX
