# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.119
metadata : {}


# id : NWRW1800000054.119.1.1
"백성 생각해… 황실 옷에 사치 못 부리게 했죠"

"백성	"/SS+백성/NNG
생각해…	생각/NNG+하/XSV+아/EC+…/SE
황실	황실/NNG
옷에	옷/NNG+에/JKB
사치	사치/NNG
못	못/MAG
부리게	부리/VV+게/EC
했죠"	하/VX+았/EP+죠/EF+"/SS


# id : NWRW1800000054.119.2.1
대한제국 선포 120주년 기념… 황실 복식 전시 찾은 이해경 여사

대한제국	대한제국/NNP
선포	선포/NNG
120주년	120/SN+주년/NNB
기념…	기념/NNG+…/SE
황실	황실/NNG
복식	복식/NNG
전시	전시/NNG
찾은	찾/VV+은/ETM
이해경	이해경/NNP
여사	여사/NNG


# id : NWRW1800000054.119.3.1
"저는 고종 황제와 순종 황제가 돌아가신 뒤에 태어나, 그분들이 12장복 입은 모습을 보지는 못했어요.

"저는	"/SS+저/NP+는/JX
고종	고종/NNP
황제와	황제/NNG+와/JC
순종	순종/NNP
황제가	황제/NNG+가/JKS
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
태어나,	태어나/VV+아/EC+,/SP
그분들이	그분/NP+들/XSN+이/JKS
12장복	12/SN+장복/NNG
입은	입/VV+은/ETM
모습을	모습/NNG+을/JKO
보지는	보/VV+지/EC+는/JX
못했어요.	못하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000054.119.3.2
다만 1년에 한 번씩 순정효황후가 계신 창덕궁에서 옷을 꺼내 말리고 바람을 쐬어줄 때 봤던 기억이 납니다."

다만	다만/MAG
1년에	1/SN+년/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
순정효황후가	순정효황후/NNP+가/JKS
계신	계시/VV+ㄴ/ETM
창덕궁에서	창덕궁/NNP+에서/JKB
옷을	옷/NNG+을/JKO
꺼내	꺼내/VV+어/EC
말리고	말리/VV+고/EC
바람을	바람/NNG+을/JKO
쐬어줄	쐬/VV+어/EC+주/VX+ㄹ/ETM
때	때/NNG
봤던	보/VV+았/EP+던/ETM
기억이	기억/NNG+이/JKS
납니다."	나/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.119.4.1
지난 16일 서울 강남구 경기여고 내 경운박물관 특별전시실.

지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
경기여고	경기여고/NNP
내	내/NNB
경운박물관	경운박물관/NNP
특별전시실.	특별/NNG+전시실/NNG+./SF


# id : NWRW1800000054.119.4.2
옥빛 두루마기를 입은 이해경(88) 여사가 검은색 12장복을 바라봤다.

옥빛	옥빛/NNG
두루마기를	두루마기/NNG+를/JKO
입은	입/VV+은/ETM
이해경(88)	이해경/NNP+(/SS+88/SN+)/SS
여사가	여사/NNG+가/JKS
검은색	검은색/NNG
12장복을	12/SN+장복/NNG+을/JKO
바라봤다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.119.4.3
해·달·용 등 12개 문양을 새긴 제례복으로, 고종 황제가 1897년 대한제국을 선포하며 황제복으로 제정한 옷이다.

해·달·용	해/NNG+·/SP+달/NNG+·/SP+용/NNG
등	등/NNB
12개	12/SN+개/NNB
문양을	문양/NNG+을/JKO
새긴	새기/VV+ㄴ/ETM
제례복으로,	제례복/NNG+으로/JKB+,/SP
고종	고종/NNP
황제가	황제/NNG+가/JKS
1897년	1897/SN+년/NNB
대한제국을	대한제국/NNP+을/JKO
선포하며	선포/NNG+하/XSV+며/EC
황제복으로	황제복/NNG+으로/JKB
제정한	제정/NNG+하/XSV+ㄴ/ETM
옷이다.	옷/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.119.5.1
이 여사는 고종 황제의 손녀이자 순종의 이복동생 의친왕(본명 이강·1877~ 1955)의 다섯째 딸이다.

이	이/NNP
여사는	여사/NNG+는/JX
고종	고종/NNP
황제의	황제/NNG+의/JKG
손녀이자	손녀/NNG+이/VCP+자/EC
순종의	순종/NNP+의/JKG
이복동생	이복동생/NNG
의친왕(본명	의친왕/NNP+(/SS+본명/NNG
이강·1877~	이강/NNP+·/SP+1877/SN+~/SO
1955)의	1955/SN+)/SS+의/JKG
다섯째	다섯째/NR
딸이다.	딸/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.119.5.2
의친왕비가 호적에 유일하게 올려 '조선왕조의 마지막 왕녀'로 불린다.

의친왕비가	의친왕/NNP+비/NNG+가/JKS
호적에	호적/NNG+에/JKB
유일하게	유일/NNG+하/XSA+게/EC
올려	올리/VV+어/EC
'조선왕조의	'/SS+조선/NNP+왕조/NNG+의/JKG
마지막	마지막/NNG
왕녀'로	왕녀/NNG+'/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.119.5.3
미국 컬럼비아대학 동아시아도서관 사서로 27년간 일하다 은퇴 후 뉴욕에서 지내온 그는 경운박물관 초청으로 5년 만에 한국을 찾았다.

미국	미국/NNP
컬럼비아대학	컬럼비아대학/NNP
동아시아도서관	동아시아/NNP+도서관/NNG
사서로	사서/NNG+로/JKB
27년간	27/SN+년/NNB+간/XSN
일하다	일/NNG+하/XSV+다/EC
은퇴	은퇴/NNG
후	후/NNG
뉴욕에서	뉴욕/NNP+에서/JKB
지내온	지내/VV+어/EC+오/VX+ㄴ/ETM
그는	그/NP+는/JX
경운박물관	경운박물관/NNP
초청으로	초청/NNG+으로/JKB
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
한국을	한국/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


