# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.94
metadata : {}


# id : NWRW1800000030.94.1.1
美 명문 쿠싱아카데미 짐 트레이시 교장 "19세기式 교실 수업 버려야"

美	美/SH
명문	명문/NNG
쿠싱아카데미	쿠싱아카데미/NNP
짐	짐/NNP
트레이시	트레이시/NNP
교장	교장/NNG
"19세기式	"/SS+19/SN+세기/NNG+式/SH
교실	교실/NNG
수업	수업/NNG
버려야"	버리/VV+어야/EC+"/SS


# id : NWRW1800000030.94.2.1
"21세기는 디지털 시대입니다.

"21세기는	"/SS+21/SN+세기/NNG+는/JX
디지털	디지털/NNG
시대입니다.	시대/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000030.94.2.2
아이들을 경쟁력 있게 키우려면 교육 패러다임을 이에 맞춰 혁명적으로 바꿔야 합니다."

아이들을	아이/NNG+들/XSN+을/JKO
경쟁력	경쟁력/NNG
있게	있/VA+게/EC
키우려면	키우/VV+려면/EC
교육	교육/NNG
패러다임을	패러다임/NNG+을/JKO
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
혁명적으로	혁명/NNG+적/XSN+으로/JKB
바꿔야	바꾸/VV+어야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.94.3.1
미국 동부 명문 사립고인 쿠싱아카데미(Cushing Academy)의 짐 트레이시(Tracy) 교장이 방한했다.

미국	미국/NNP
동부	동부/NNG
명문	명문/NNG
사립고인	사립고/NNG+이/VCP+ㄴ/ETM
쿠싱아카데미(Cushing	쿠싱아카데미/NNP+(/SS+Cushing/SL
Academy)의	Academy/SL+)/SS+의/JKG
짐	짐/NNP
트레이시(Tracy)	트레이시/NNP+(/SS+Tracy/SL+)/SS
교장이	교장/NNG+이/JKS
방한했다.	방한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.94.3.2
그는 "디지털 시대에 19세기식 교실 수업을 강요하는 건 정말 비효율적"이라고 했다.

그는	그/NP+는/JX
"디지털	"/SS+디지털/NNG
시대에	시대/NNG+에/JKB
19세기식	19/SN+세기식/NNG
교실	교실/NNG
수업을	수업/NNG+을/JKO
강요하는	강요/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
정말	정말/MAG
비효율적"이라고	비/XPN+효율/NNG+적/XSN+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.94.4.1
"과거 지식과 정보가 주로 책을 통해 전파되던 시절에는 지식인들이 도서관이나 학교에 학생들을 모아놓고 가르치는 게 효과적이었습니다.

"과거	"/SS+과거/NNG
지식과	지식/NNG+과/JC
정보가	정보/NNG+가/JKS
주로	주로/MAG
책을	책/NNG+을/JKO
통해	통하/VV+아/EC
전파되던	전파/NNG+되/XSV+던/ETM
시절에는	시절/NNG+에/JKB+는/JX
지식인들이	지식인/NNG+들/XSN+이/JKS
도서관이나	도서관/NNG+이나/JC
학교에	학교/NNG+에/JKB
학생들을	학생/NNG+들/XSN+을/JKO
모아놓고	모으/VV+아/EC+놓/VX+고/EC
가르치는	가르치/VV+는/ETM
게	거/NNB+이/JKS
효과적이었습니다.	효과/NNG+적/XSN+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000030.94.4.2
그러나 이제는 누구나 지식과 정보에 접근할 수 있잖아요.

그러나	그러나/MAJ
이제는	이제/NNG+는/JX
누구나	누구/NP+나/JX
지식과	지식/NNG+과/JC
정보에	정보/NNG+에/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있잖아요.	있/VA+잖아요/EF+./SF


# id : NWRW1800000030.94.4.3
공부 방식 자체가 달라져야 합니다."

공부	공부/NNG
방식	방식/NNG
자체가	자체/NNG+가/JKS
달라져야	달라지/VV+어야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.94.5.1
그는 "쿠싱의 경우 노벨상 수상자, 금융정책 입안자, 유명 프로선수, 교수 등 저명인들을 인터넷 영상전화로 연결해 학생들과 토론하는 수업을 한다"고 했다.

그는	그/NP+는/JX
"쿠싱의	"/SS+쿠싱/NNP+의/JKG
경우	경우/NNG
노벨상	노벨상/NNG
수상자,	수상자/NNG+,/SP
금융정책	금융/NNG+정책/NNG
입안자,	입안자/NNG+,/SP
유명	유명/NNG
프로선수,	프로/NNG+선수/NNG+,/SP
교수	교수/NNG
등	등/NNB
저명인들을	저명인/NNG+들/XSN+을/JKO
인터넷	인터넷/NNG
영상전화로	영상/NNG+전화/NNG+로/JKB
연결해	연결/NNG+하/XSV+아/EC
학생들과	학생/NNG+들/XSN+과/JKB
토론하는	토론/NNG+하/XSV+는/ETM
수업을	수업/NNG+을/JKO
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.94.5.2
수십 명 학생이 유럽의 노벨상 수상자, 독일을 여행 중인 교수, 미국 서부로 출장 간 재무부 간부로부터 강의를 듣는다.

수십	수십/NR
명	명/NNB
학생이	학생/NNG+이/JKS
유럽의	유럽/NNP+의/JKG
노벨상	노벨상/NNG
수상자,	수상자/NNG+,/SP
독일을	독일/NNP+을/JKO
여행	여행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
교수,	교수/NNG+,/SP
미국	미국/NNP
서부로	서부/NNG+로/JKB
출장	출장/NNG
간	가/VV+ㄴ/ETM
재무부	재무부/NNG
간부로부터	간부/NNG+로부터/JKB
강의를	강의/NNG+를/JKO
