# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.399
metadata : {}


# id : NWRW1800000033.399.1.1
[수도권]서울시, 뉴타운 출구전략 마찰 시작되나

[수도권]서울시,	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP+,/SP
뉴타운	뉴타운/NNG
출구전략	출구/NNG+전략/NNG
마찰	마찰/NNG
시작되나	시작/NNG+되/XSV+나/EF


# id : NWRW1800000033.399.2.1
사업 추진주체 있는 구역 15개구 70곳 12월 실태조사… 취소 결론땐 매몰비용 갈등

사업	사업/NNG
추진주체	추진/NNG+주체/NNG
있는	있/VA+는/ETM
구역	구역/NNG
15개구	15/SN+개/NNB+구/NNG
70곳	70/SN+곳/NNG
12월	12/SN+월/NNB
실태조사…	실태/NNG+조사/NNG+…/SE
취소	취소/NNG
결론땐	결론/NNG+때/NNG+ㄴ/JX
매몰비용	매몰/NNG+비용/NNG
갈등	갈등/NNG


# id : NWRW1800000033.399.3.1
뉴타운 출구전략을 둘러싼 서울시와 찬성 반대 측 주민 간의 갈등이 본격적으로 점화될 것으로 보인다.

뉴타운	뉴타운/NNG
출구전략을	출구/NNG+전략/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
서울시와	서울시/NNP+와/JC
찬성	찬성/NNG
반대	반대/NNG
측	측/NNB
주민	주민/NNG
간의	간/NNB+의/JKG
갈등이	갈등/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
점화될	점화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.399.3.2
서울시가 그동안 실태조사를 벌였던 곳은 사업추진 주체가 없었던 터라 상대적으로 뉴타운 사업이 거의 진척되지 않았다.

서울시가	서울시/NNP+가/JKS
그동안	그동안/NNG
실태조사를	실태/NNG+조사/NNG+를/JKO
벌였던	벌이/VV+었/EP+던/ETM
곳은	곳/NNG+은/JX
사업추진	사업/NNG+추진/NNG
주체가	주체/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
뉴타운	뉴타운/NNG
