# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.337
metadata : {}


# id : NWRW1800000044.337.1.1
개혁한다더니…군, 사이버심리전 포기 안해

개혁한다더니…군,	개혁/NNG+하/XSV+ㄴ다더니/EF+…/SE+군/NNG+,/SP
사이버심리전	사이버/NNG+심리전/NNG
포기	포기/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000044.337.2.1
[한겨레] 사이버사 ‘졸속 개혁안’ 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
사이버사	사이버사/NNG
‘졸속	‘/SS+졸속/NNG
개혁안’	개혁안/NNG+’/SS
발표	발표/NNG


# id : NWRW1800000044.337.3.1
정부 정책·통수권자 옹호 등

정부	정부/NNG
정책·통수권자	정책/NNG+·/SP+통수권자/NNG
옹호	옹호/NNG
등	등/NNB


# id : NWRW1800000044.337.4.1
SNS 익명글로 정치개입 여지

SNS	SNS/SL
익명글로	익명/NNG+글/NNG+로/JKB
정치개입	정치/NNG+개입/NNG
여지	여지/NNB


# id : NWRW1800000044.337.5.1
국방부가 선거 개입 의혹을 받고 있는 군 사이버사령부의 개혁 방안을 발표하면서 기존처럼 군 통수권자 옹호나 정부 정책 홍보 등 ‘정치 개입’이 우려되는 활동을 앞으로도 허용하기로 했다.

국방부가	국방부/NNG+가/JKS
선거	선거/NNG
개입	개입/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
군	군/NNG
사이버사령부의	사이버/NNG+사령부/NNG+의/JKG
개혁	개혁/NNG
방안을	방안/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
기존처럼	기존/NNG+처럼/JKB
통수권자	통수권자/NNG
옹호나	옹호/NNG+나/JC
정부	정부/NNG
정책	정책/NNG
홍보	홍보/NNG
등	등/NNB
‘정치	‘/SS+정치/NNG
개입’이	개입/NNG+’/SS+이/JKS
우려되는	우려/NNG+되/XSV+는/ETM
활동을	활동/NNG+을/JKO
앞으로도	앞/NNG+으로/JKB+도/JX
허용하기로	허용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.5.2
사이버사 요원들이 포털사이트 게시판, 사회관계망서비스(SNS)에서 익명으로 활동하는 것도 허용된다.

사이버사	사이버사/NNG
요원들이	요원/NNG+들/XSN+이/JKS
포털사이트	포털/NNG+사이트/NNG
게시판,	게시판/NNG+,/SP
사회관계망서비스(SNS)에서	사회관계망/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에서/JKB
익명으로	익명/NNG+으로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
허용된다.	허용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.337.5.3
국방부 장관과 사이버사령관을 대선 개입 의혹 사건의 수사 대상에서 배제해 ‘축소 수사’ 논란을 부른 데 이어 ‘개혁 회피’라는 비판을 면하기 어렵게 됐다.

국방부	국방부/NNG
장관과	장관/NNG+과/JC
사이버사령관을	사이버/NNG+사령관/NNG+을/JKO
대선	대선/NNG
개입	개입/NNG
의혹	의혹/NNG
사건의	사건/NNG+의/JKG
수사	수사/NNG
대상에서	대상/NNG+에서/JKB
배제해	배제/NNG+하/XSV+아/EC
‘축소	‘/SS+축소/NNG
수사’	수사/NNG+’/SS
논란을	논란/NNG+을/JKO
부른	부르/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
‘개혁	‘/SS+개혁/NNG
회피’라는	회피/NNG+’/SS+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
면하기	면하/VV+기/ETN
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.337.6.1
김민석 국방부 대변인은 19일 브리핑에서 “‘군의 정치적 중립을 위한 세부 행동기준’(이하 행동기준)과 ‘사이버사 작전 수행요원용 가이드라인’을 지난 4일부터 시행했고, 작전 내용의 사전 검토를 위한 사이버심리전심의위원회를 운영하기로 했다.

김민석	김민석/NNP
국방부	국방부/NNG
대변인은	대변인/NNG+은/JX
19일	19/SN+일/NNB
브리핑에서	브리핑/NNG+에서/JKB
“‘군의	“/SS+‘/SS+군/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립을	중립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세부	세부/NNG
행동기준’(이하	행동/NNG+기준/NNG+’/SS+(/SS+이하/NNG
행동기준)과	행동/NNG+기준/NNG+)/SS+과/JC
‘사이버사	‘/SS+사이버사/NNG
작전	작전/NNG
수행요원용	수행/NNG+요원/NNG+용/XSN
가이드라인’을	가이드라인/NNG+’/SS+을/JKO
지난	지나/VV+ㄴ/ETM
4일부터	4/SN+일/NNB+부터/JX
시행했고,	시행/NNG+하/XSV+았/EP+고/EC+,/SP
내용의	내용/NNG+의/JKG
사전	사전/NNG
검토를	검토/NNG+를/JKO
사이버심리전심의위원회를	사이버/NNG+심리전/NNG+심의/NNG+위원회/NNG+를/JKO
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.337.6.2
또 올해 사이버사 안에 상시 모니터링 체계를 구축한다”고 밝혔다.

또	또/MAG
올해	올해/NNG
사이버사	사이버사/NNG
안에	안/NNG+에/JKB
상시	상시/NNG
모니터링	모니터링/NNG
체계를	체계/NNG+를/JKO
구축한다”고	구축/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.337.6.3
김 대변인은 또 “군 형법을 개정해 ‘정치관여죄’의 형량을 현재의 2년에서 5년으로, 공소시효도 5년에서 10년으로 연장하기로 하고, 정치관여 행위 지시 거부권 등을 담은 공익 신고자 보호법도 개정했다”고 밝혔다.

김	김/NNP
대변인은	대변인/NNG+은/JX
또	또/MAG
“군	“/SS+군/NNG
형법을	형법/NNG+을/JKO
개정해	개정/NNG+하/XSV+아/EC
‘정치관여죄’의	‘/SS+정치/NNG+관여죄/NNG+’/SS+의/JKG
형량을	형량/NNG+을/JKO
현재의	현재/NNG+의/JKG
2년에서	2/SN+년/NNB+에서/JKB
5년으로,	5/SN+년/NNB+으로/JKB+,/SP
공소시효도	공소/NNG+시효/NNG+도/JX
5년에서	5/SN+년/NNB+에서/JKB
10년으로	10/SN+년/NNB+으로/JKB
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
하고,	하/VV+고/EC+,/SP
정치관여	정치/NNG+관여/NNG
행위	행위/NNG
지시	지시/NNG
거부권	거부/NNG+권/XSN
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
공익	공익/NNG
신고자	신고자/NNG
보호법도	보호법/NNG+도/JX
개정했다”고	개정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.337.7.1
그러나 이달 초 국방부가 전군에 내려보낸 ‘행동기준’을 보면, 군 통수권자 비방이나 정치 현안 관련 찬성·반대의 글은 금지하지만, 그동안 정치 개입의 빌미가 돼온 군 통수권자 보필이나 정부·국방 정책 홍보 등에 대해서는 금지한다는 언급이 없다.

그러나	그러나/MAJ
이달	이달/NNG
초	초/NNB
국방부가	국방부/NNG+가/JKS
전군에	전군/NNG+에/JKB
내려보낸	내려보내/VV+ㄴ/ETM
‘행동기준’을	‘/SS+행동/NNG+기준/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
군	군/NNG
통수권자	통수권자/NNG
비방이나	비방/NNG+이나/JC
정치	정치/NNG
현안	현안/NNG
관련	관련/NNG
찬성·반대의	찬성/NNG+·/SP+반대/NNG+의/JKG
글은	글/NNG+은/JX
