# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.24
metadata : {}


# id : NWRW1800000040.24.1.1
사회적 경제의 오래된 가치

사회적	사회/NNG+적/XSN
경제의	경제/NNG+의/JKG
오래된	오래/MAG+되/XSA+ㄴ/ETM
가치	가치/NNG


# id : NWRW1800000040.24.2.1
99%의 경제

99%의	99/SN+%/SW+의/JKG
경제	경제/NNG


# id : NWRW1800000040.24.3.1
아하! 협동조합

아하!	아하/IC+!/SF
협동조합	협동조합/NNG


# id : NWRW1800000040.24.4.1
언젠가부터, 경제는 이윤 동기로만 작동한다는 고정관념이 세상을 지배하고 있다.

언젠가부터,	언젠가/MAG+부터/JX+,/SP
경제는	경제/NNG+는/JX
이윤	이윤/NNG
동기로만	동기/NNG+로/JKB+만/JX
작동한다는	작동/NNG+하/XSV+ㄴ다는/ETM
고정관념이	고정/NNG+관념/NNG+이/JKS
세상을	세상/NNG+을/JKO
지배하고	지배/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.24.4.2
승자독식은 시장을 굴러가게 하는 불가피한 요소라는 믿음에서 우리의 의식은 자유롭지 못하다.

승자독식은	승자/NNG+독식/NNG+은/JX
시장을	시장/NNG+을/JKO
굴러가게	굴러가/VV+게/EC
하는	하/VX+는/ETM
불가피한	불가피하/VA+ㄴ/ETM
요소라는	요소/NNG+이/VCP+라는/ETM
믿음에서	믿음/NNG+에서/JKB
우리의	우리/NP+의/JKG
의식은	의식/NNG+은/JX
자유롭지	자유/NNG+롭/XSA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000040.24.4.3
가히 협동조합 열풍이 불고 있지만, 협동조합은 자본주의 기업이 고장났을 때 일시적으로 작동할 뿐이라는 회의론을 논리적으로 극복하기도 쉽지 않아 보인다.

가히	가히/MAG
협동조합	협동조합/NNG
열풍이	열풍/NNG+이/JKS
불고	불/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
협동조합은	협동조합/NNG+은/JX
자본주의	자본주의/NNG
기업이	기업/NNG+이/JKS
고장났을	고장/NNG+나/VV+았/EP+을/ETM
때	때/NNG
일시적으로	일시/NNG+적/XSN+으로/JKB
작동할	작동/NNG+하/XSV+ㄹ/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
회의론을	회의/NNG+론/XSN+을/JKO
논리적으로	논리/NNG+적/XSN+으로/JKB
극복하기도	극복/NNG+하/XSV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.24.4.4
자본조달이 어렵고 의사결정이 더디다는 생래적 한계를 지니고 있기 때문이다.

자본조달이	자본/NNG+조달/NNG+이/JKS
어렵고	어렵/VA+고/EC
의사결정이	의사/NNG+결정/NNG+이/JKS
더디다는	더디/VA+다는/ETM
생래적	생래/NNG+적/XSN
한계를	한계/NNG+를/JKO
지니고	지니/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.24.5.1
협동조합 쪽의 반론은 ‘오래된 가치’에서 출발한다.

협동조합	협동조합/NNG
쪽의	쪽/NNB+의/JKG
반론은	반론/NNG+은/JX
‘오래된	‘/SS+오래/MAG+되/XSA+ㄴ/ETM
가치’에서	가치/NNG+’/SS+에서/JKB
