# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.353
metadata : {}


# id : NWRW1800000037.353.1.1
개인 빚 올해 최대 100만명 감면

개인	개인/NNG
빚	빚/NNG
올해	올해/NNG
최대	최대/NNG
100만명	100/SN+만/NR+명/NNB
감면	감면/NNG


# id : NWRW1800000037.353.2.1
“성실하게 갚는 사람은…” 불만 커져

“성실하게	“/SS+성실/NNG+하/XSA+게/EC
갚는	갚/VV+는/ETM
사람은…”	사람/NNG+은/JX+…/SE+”/SS
불만	불만/NNG
커져	커지/VV+어/EF


# id : NWRW1800000037.353.3.1
정부가 여러 채무조정 프로그램을 동시에 가동하면서 올해 최대 100만여 명이 빚을 탕감받거나 이자 부담이 줄어드는 혜택을 보게 됐다.

정부가	정부/NNG+가/JKS
여러	여러/MMN
채무조정	채무/NNG+조정/NNG
프로그램을	프로그램/NNG+을/JKO
동시에	동시/NNG+에/JKB
가동하면서	가동/NNG+하/XSV+면서/EC
올해	올해/NNG
최대	최대/NNG
100만여	100/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
빚을	빚/NNG+을/JKO
탕감받거나	탕감/NNG+받/XSV+거나/EC
이자	이자/NNG
부담이	부담/NNG+이/JKS
줄어드는	줄어들/VV+는/ETM
혜택을	혜택/NNG+을/JKO
보게	보/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.353.3.2
서민을 도우려는 취지는 좋지만 자칫 본인의 채무 책임을 회피하게 만들어 도덕적 해이를 조장할 수 있다는 우려가 나온다.

서민을	서민/NNG+을/JKO
도우려는	돕/VV+으려는/ETM
취지는	취지/NNG+는/JX
좋지만	좋/VA+지만/EC
자칫	자칫/MAG
본인의	본인/NNG+의/JKG
채무	채무/NNG
책임을	책임/NNG+을/JKO
회피하게	회피/NNG+하/XSV+게/EC
만들어	만들/VV+어/EC
도덕적	도덕/NNG+적/XSN
해이를	해이/NNG+를/JKO
조장할	조장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.4.1
26일 금융계에 따르면 정부가 올해 국민행복기금, 자산관리공사(캠코), 신용회복위원회, 민간 금융회사 등을 통해 채무조정을 해줄 사람은 100만 명에 이를 것으로 추산된다.

26일	26/SN+일/NNB
금융계에	금융/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
정부가	정부/NNG+가/JKS
올해	올해/NNG
국민행복기금,	국민행복기금/NNP+,/SP
자산관리공사(캠코),	자산관리공사/NNP+(/SS+캠코/NNP+)/SS+,/SP
신용회복위원회,	신용/NNG+회복/NNG+위원회/NNG+,/SP
민간	민간/NNG
금융회사	금융/NNG+회사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
채무조정을	채무/NNG+조정/NNG+을/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
사람은	사람/NNG+은/JX
100만	100/SN+만/NR
명에	명/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.5.1
우선 국민행복기금이 4월 말부터 채무조정 사전신청을 받은 결과 지금까지 11만 명이 신청했다.

우선	우선/MAG
국민행복기금이	국민행복기금/NNP+이/JKS
4월	4/SN+월/NNB
말부터	말/NNB+부터/JX
채무조정	채무/NNG+조정/NNG
사전신청을	사전/NNG+신청/NNG+을/JKO
받은	받/VV+은/ETM
결과	결과/NNG
지금까지	지금/NNG+까지/JX
11만	11/SN+만/NR
명이	명/NNB+이/JKS
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.353.5.2
최근 기금 신청 대상이 연대보증 채무자로 확대됨에 따라 금융권은 연말까지 40만 명이 채무탕감 혜택을 볼 것으로 예상한다.

최근	최근/MAG
기금	기금/NNG
신청	신청/NNG
대상이	대상/NNG+이/JKS
연대보증	연대/NNG+보증/NNG
채무자로	채무자/NNG+로/JKB
확대됨에	확대/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
금융권은	금융/NNG+권/XSN+은/JX
연말까지	연말/NNG+까지/JX
40만	40/SN+만/NR
명이	명/NNB+이/JKS
채무탕감	채무/NNG+탕감/NNG
혜택을	혜택/NNG+을/JKO
볼	보/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.5.3
금융위원회는 현재 미소금융 햇살론 새희망홀씨대출 등 서민금융상품을 이용했다가 연체한 사람들에게도 기금에서 지원하는 방안을 검토 중이다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
현재	현재/MAG
미소금융	미소/NNG+금융/NNG
햇살론	햇살론/NNP
새희망홀씨대출	새희망홀씨대출/NNP
등	등/NNB
서민금융상품을	서민/NNG+금융/NNG+상품/NNG+을/JKO
이용했다가	이용/NNG+하/XSV+았/EP+다가/EC
연체한	연체/NNG+하/XSV+ㄴ/ETM
사람들에게도	사람/NNG+들/XSN+에게/JKB+도/JX
기금에서	기금/NNG+에서/JKB
지원하는	지원/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.353.5.4
이 방안이 확정되면 국민행복기금 수혜자가 올해 70만 명으로 늘어날 것으로 보인다.

이	이/MMD
방안이	방안/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
국민행복기금	국민행복기금/NNP
수혜자가	수혜자/NNG+가/JKS
올해	올해/NNG
70만	70/SN+만/NR
명으로	명/NNB+으로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.353.5.5
