# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.60
metadata : {}


# id : NWRW1800000048.60.1.1
KT “지능형 기가 인프라에 13조원 투자”

KT	KT/SL
“지능형	“/SS+지능/NNG+형/XSN
기가	기가/NNG
인프라에	인프라/NNG+에/JKB
13조원	13/SN+조/NR+원/NNB
투자”	투자/NNG+”/SS


# id : NWRW1800000048.60.2.1
황창규 회장, 2020년 청사진 밝혀

황창규	황창규/NNP
회장,	회장/NNG+,/SP
2020년	2020/SN+년/NNB
청사진	청사진/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000048.60.3.1
“체질 변화 끝내고 성장동력 주력”

“체질	“/SS+체질/NNG
변화	변화/NNG
끝내고	끝내/VV+고/EC
성장동력	성장/NNG+동력/NNG
주력”	주력/NNG+”/SS


# id : NWRW1800000048.60.4.1
휴대형 보안 플랫폼 하반기 출시

휴대형	휴대/NNG+형/XSN
보안	보안/NNG
플랫폼	플랫폼/NNG
하반기	하반기/NNG
출시	출시/NNG


# id : NWRW1800000048.60.5.1
취임 2주년째인 황창규 케이티(KT) 회장이 대한민국 통신 130주년(9월28일)을 맞아 새로운 성장 비전을 내놨다.

취임	취임/NNG
2주년째인	2/SN+주년/NNB+째/XSN+이/VCP+ㄴ/ETM
황창규	황창규/NNP
케이티(KT)	케이티/NNP+(/SS+KT/SL+)/SS
회장이	회장/NNG+이/JKS
대한민국	대한민국/NNP
통신	통신/NNG
130주년(9월28일)을	130/SN+주년/NNB+(/SS+9/SN+월/NNB+28/SN+일/NNB+)/SS+을/JKO
맞아	맞/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
성장	성장/NNG
비전을	비전/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.60.6.1
