# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.211
metadata : {}


# id : NWRW1800000033.211.1.1
주택가 창살 벌려 머리 쏙… 미꾸라지 발바리

주택가	주택가/NNG
창살	창살/NNG
벌려	벌리/VV+어/EC
머리	머리/NNG
쏙…	쏙/MAG+…/SE
미꾸라지	미꾸라지/NNG
발바리	발바리/NNG


# id : NWRW1800000033.211.2.1
울산서 4년간 12명 성폭행 초등생딸 둔 40대 가장 체포

울산서	울산/NNP+서/JKB
4년간	4/SN+년/NNB+간/XSN
12명	12/SN+명/NNB
성폭행	성폭행/NNG
초등생딸	초등/NNG+생/XSN+딸/NNG
둔	두/VV+ㄴ/ETM
40대	40/SN+대/NNB
가장	가장/NNG
체포	체포/NNG


# id : NWRW1800000033.211.3.1
낡은 창살 틈을 벌려 집안으로 침입하는 수법으로 여성 12명을 성폭행한 40대가 경찰에 붙잡혔다.

낡은	낡/VV+은/ETM
창살	창살/NNG
틈을	틈/NNG+을/JKO
벌려	벌리/VV+어/EC
집안으로	집/NNG+안/NNG+으로/JKB
침입하는	침입/NNG+하/XSV+는/ETM
수법으로	수법/NNG+으로/JKB
여성	여성/NNG
12명을	12/SN+명/NNB+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
40대가	40/SN+대/NNB+가/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.211.3.2
용의자는 초등학생 딸을 둔 평범한 회사원으로 집 인근에서 범행을 저지른 것으로 드러났다.

용의자는	용의자/NNG+는/JX
초등학생	초등학생/NNG
딸을	딸/NNG+을/JKO
둔	두/VV+ㄴ/ETM
평범한	평범하/VA+ㄴ/ETM
회사원으로	회사원/NNG+으로/JKB
집	집/NNG
인근에서	인근/NNG+에서/JKB
범행을	범행/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.211.4.1
울산 동부경찰서는 26일 주택가를 돌아다니며 여성들을 성폭행한 혐의(성폭력 범죄의 처벌 등에 관한 특례법 위반 등)로 안모 씨(42·울산 동구)를 붙잡아 조사 중이다.

울산	울산/NNP
동부경찰서는	동부/NNG+경찰서/NNG+는/JX
26일	26/SN+일/NNB
주택가를	주택가/NNG+를/JKO
돌아다니며	돌아다니/VV+며/EC
여성들을	여성/NNG+들/XSN+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의(성폭력	혐의/NNG+(/SS+성폭력/NNG
범죄의	범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
안모	안/NNP+모/NP
씨(42·울산	씨/NNB+(/SS+42/SN+·/SP+울산/NNP
동구)를	동구/NNP+)/SS+를/JKO
붙잡아	붙잡/VV+아/EC
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.211.4.2
키 165cm에 왜소한 체격인 안 씨는 2008년 8월 15일부터 지금까지 약한 창살을 벌리거나 아예 뽑는 수법으로 주택에 침입해 10∼30대 여성 12명을 성폭행하고 1명은 미수에 그친 혐의를 받고 있다.

키	키/NNG
165cm에	165/SN+cm/SW+에/JKB
왜소한	왜소하/VA+ㄴ/ETM
체격인	체격/NNG+이/VCP+ㄴ/ETM
안	안/NNP
씨는	씨/NNB+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
15일부터	15/SN+일/NNB+부터/JX
지금까지	지금/NNG+까지/JX
약한	약하/VA+ㄴ/ETM
창살을	창살/NNG+을/JKO
벌리거나	벌리/VV+거나/EC
아예	아예/MAG
뽑는	뽑/VV+는/ETM
수법으로	수법/NNG+으로/JKB
주택에	주택/NNG+에/JKB
침입해	침입/NNG+하/XSV+아/EC
10∼30대	10/SN+∼/SO+30/SN+대/NNB
여성	여성/NNG
12명을	12/SN+명/NNB+을/JKO
성폭행하고	성폭행/NNG+하/XSV+고/EC
1명은	1/SN+명/NNB+은/JX
미수에	미수/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.211.4.3
안 씨는 4일 오전 3시 반경 울산 동구의 한 주택 다락 창문으로 들어가 잠자던 A 양(17)을 흉기로 위협해 성폭행했다.

안	안/NNP
씨는	씨/NNB+는/JX
4일	4/SN+일/NNB
오전	오전/NNG
