# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.33
metadata : {}


# id : NWRW1800000053.33.1.1
“소통으로 ‘열린 과총’ 만들어 갈 것”

“소통으로	“/SS+소통/NNG+으로/JKB
‘열린	‘/SS+열리/VV+ㄴ/ETM
과총’	과총/NNP+’/SS
만들어	만들/VV+어/EC
갈	가/VX+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000053.33.2.1
김명자 신임 과총 회장

김명자	김명자/NNP
신임	신임/NNG
과총	과총/NNP
회장	회장/NNG


# id : NWRW1800000053.33.3.1
“회장으로서 가장 중요한 임무는 열정과 역량을 가진 좋은 분들을 많이 모시는 것이라고 생각합니다.

“회장으로서	“/SS+회장/NNG+으로서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
임무는	임무/NNG+는/JX
열정과	열정/NNG+과/JC
역량을	역량/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
좋은	좋/VA+은/ETM
분들을	분/NNB+들/XSN+을/JKO
많이	많이/MAG
모시는	모시/VV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각합니다.	생각/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000053.33.3.2
이분들과 소통과 합의로 ‘열린 과총’을 만들어 가겠습니다.”

이분들과	이분/NP+들/XSN+과/JKB
소통과	소통/NNG+과/JC
합의로	합의/NNG+로/JKB
‘열린	‘/SS+열리/VV+ㄴ/ETM
과총’을	과총/NNP+’/SS+을/JKO
만들어	만들/VV+어/EC
가겠습니다.”	가/VX+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000053.33.4.1
김명자 전 환경부 장관(73·사진)은 한국과학기술단체총연합회(과총) 19대 회장 취임식을 하루 앞둔 지난달 27일 서울 한국과학기술회관에서 진행된 본보와 인터뷰에서 이렇게 밝혔다.

김명자	김명자/NNP
전	전/MMD
환경부	환경부/NNG
장관(73·사진)은	장관/NNG+(/SS+73/SN+·/SP+사진/NNG+)/SS+은/JX
한국과학기술단체총연합회(과총)	한국과학기술단체총연합회/NNP+(/SS+과총/NNP+)/SS
19대	19/SN+대/NNB
회장	회장/NNG
취임식을	취임식/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
지난달	지난달/NNG
27일	27/SN+일/NNB
서울	서울/NNP
한국과학기술회관에서	한국과학기술회관/NNP+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
본보와	본보/NNG+와/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
이렇게	이렇/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.33.4.2
김 회장은 “지난 1년간 차기 회장 자격으로 지역을 돌며 과학기술계의 많은 분들과 대화를 나눴고 추진 과제를 다듬었다”며 ‘찾아가고 싶은 과총, 국민과 함께하는 과총, 프런티어 개척의 과총’이라는 3대 목표를 제시했다.

김	김/NNP
회장은	회장/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
차기	차기/NNG
회장	회장/NNG
자격으로	자격/NNG+으로/JKB
지역을	지역/NNG+을/JKO
돌며	돌/VV+며/EC
과학기술계의	과학/NNG+기술/NNG+계/XSN+의/JKG
많은	많/VA+은/ETM
분들과	분/NNB+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
나눴고	나누/VV+었/EP+고/EC
추진	추진/NNG
과제를	과제/NNG+를/JKO
다듬었다”며	다듬/VV+었/EP+다/EF+”/SS+며/EC
‘찾아가고	‘/SS+찾아가/VV+고/EC
싶은	싶/VX+은/ETM
과총,	과총/NNP+,/SP
국민과	국민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
프런티어	프런티어/NNG
개척의	개척/NNG+의/JKG
과총’이라는	과총/NNP+’/SS+이/VCP+라는/ETM
3대	3/SN+대/NNG
목표를	목표/NNG+를/JKO
