# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.15
metadata : {}


# id : NWRW1800000038.15.1.1
아베만 "美·日동맹 부활" 자찬… 美언론은 냉담

아베만	아베/NNP+만/JX
"美·日동맹	"/SS+美/SH+·/SP+日/SH+동맹/NNG
부활"	부활/NNG+"/SS
자찬…	자찬/NNG+…/SE
美언론은	美/SH+언론/NNG+은/JX
냉담	냉담/NNG


# id : NWRW1800000038.15.2.1
日 "오바마가 아베노믹스 용인… 엔低 가속화될 것"

日	日/SH
"오바마가	"/SS+오바마/NNP+가/JKS
아베노믹스	아베노믹스/NNG
용인…	용인/NNG+…/SE
엔低	엔/NNB+低/SH
가속화될	가속/NNG+화/XSN+되/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.15.3.1
"일·미 동맹의 신뢰와 강한 연대감이 완전히 부활했다고 자신 있게 선언한다."

"일·미	"/SS+일/NNP+·/SP+미/NNP
동맹의	동맹/NNG+의/JKG
신뢰와	신뢰/NNG+와/JC
강한	강하/VA+ㄴ/ETM
연대감이	연대감/NNG+이/JKS
완전히	완전히/MAG
부활했다고	부활/NNG+하/XSV+았/EP+다고/EC
자신	자신/NNG
있게	있/VA+게/EC
선언한다."	선언/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.15.4.1
아베 신조(安倍晋三) 일본 총리가 22일(현지 시각) 미국 워싱턴에서 열린 버락 오바마 대통령과의 정상회담 후 가진 기자회견에서 미·일 동맹의 부활을 선언했다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
22일(현지	22/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
후	후/NNG
가진	가지/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
미·일	미/NNP+·/SP+일/NNP
동맹의	동맹/NNG+의/JKG
부활을	부활/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.4.2
민주당 정부 시절 후텐마 미군기지 이전 문제, 미국이 주도해 온 TPP(환태평양경제동반자협정)의 일본 참여 등 현안과 관련 미국과 마찰을 빚은 것을 의식한 발언이다.

민주당	민주당/NNP
정부	정부/NNG
시절	시절/NNG
후텐마	후텐마/NNP
미군기지	미군/NNG+기지/NNG
이전	이전/NNG
문제,	문제/NNG+,/SP
미국이	미국/NNP+이/JKS
주도해	주도/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
TPP(환태평양경제동반자협정)의	TPP/SL+(/SS+환태평양/NNP+경제/NNG+동반자/NNG+협정/NNG+)/SS+의/JKG
일본	일본/NNP
참여	참여/NNG
등	등/NNB
현안과	현안/NNG+과/JKB
관련	관련/NNG
미국과	미국/NNP+과/JKB
마찰을	마찰/NNG+을/JKO
빚은	빚/VV+은/ETM
것을	것/NNB+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
발언이다.	발언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.15.5.1
◇日, 미국도 아베노믹스 용인 주장

◇日,	◇/SW+日/SH+,/SP
미국도	미국/NNP+도/JX
아베노믹스	아베노믹스/NNG
용인	용인/NNG
주장	주장/NNG


# id : NWRW1800000038.15.6.1
아베 총리는 이날 기자회견에서 오바마 대통령이 아베노믹스(아베총리의 경제정책)에 대해 환영한다고 밝혔다고 주장했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
아베노믹스(아베총리의	아베노믹스/NNG+(/SS+아베/NNP+총리/NNG+의/JKG
경제정책)에	경제/NNG+정책/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
환영한다고	환영/NNG+하/XSV+ㄴ다고/EC
밝혔다고	밝히/VV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.6.2
G20(주요 20개국) 재무장관·중앙은행 총재 회의에 이어 오바마 대통령이 아베노믹스를 용인함에 따라 엔저가 가속화될 수 있다고 지지(時事)통신은 전했다.

G20(주요	G/SL+20/SN+(/SS+주요/NNG
20개국)	20/SN+개국/NNB+)/SS
재무장관·중앙은행	재무/NNG+장관/NNG+·/SP+중앙은행/NNG
총재	총재/NNG
회의에	회의/NNG+에/JKB
이어	잇/VV+어/EC
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
아베노믹스를	아베노믹스/NNG+를/JKO
용인함에	용인/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
엔저가	엔저/NNG+가/JKS
가속화될	가속/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
지지(時事)통신은	지지/NNP+(/SS+時事/SH+)/SS+통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.15.7.1
아베 총리는 이번 회담에서 TPP 참여와 관련된 미·일 공동성명서 발표를 이끌어냈다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이번	이번/NNG
회담에서	회담/NNG+에서/JKB
TPP	TPP/SL
참여와	참여/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
미·일	미/NNP+·/SP+일/NNP
공동성명서	공동/NNG+성명서/NNG
발표를	발표/NNG+를/JKO
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.15.7.2
TPP 협상과 관련 일본 측이 요구해 온, '협상의 전제조건으로 모든 관세의 철폐를 사전에 요구하지 않는다'는 문구를 공동성명서에 넣는 데 성공한 것이다.

TPP	TPP/SL
협상과	협상/NNG+과/JKB
관련	관련/NNG
일본	일본/NNP
측이	측/NNB+이/JKS
요구해	요구/NNG+하/XSV+아/EC
온,	오/VX+ㄴ/ETM+,/SP
'협상의	'/SS+협상/NNG+의/JKG
전제조건으로	전제/NNG+조건/NNG+으로/JKB
모든	모든/MMN
관세의	관세/NNG+의/JKG
철폐를	철폐/NNG+를/JKO
사전에	사전/NNG+에/JKB
요구하지	요구/NNG+하/XSV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/ETM
문구를	문구/NNG+를/JKO
공동성명서에	공동/NNG+성명서/NNG+에/JKB
넣는	넣/VV+는/ETM
데	데/NNB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.15.7.3
일본은 노다 요시히코 총리 시절인 2011년 11월 TPP 교섭 참가를 선언했으나, 농업 분야 등의 100% 개방을 우려한 반발로 인해 그동안 추진되지 못했다.

일본은	일본/NNP+은/JX
노다	노다/NNP
요시히코	요시히코/NNP
총리	총리/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
TPP	TPP/SL
교섭	교섭/NNG
참가를	참가/NNG+를/JKO
선언했으나,	선언/NNG+하/XSV+았/EP+으나/EC+,/SP
농업	농업/NNG
분야	분야/NNG
등의	등/NNB+의/JKG
100%	100/SN+%/SW
개방을	개방/NNG+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
반발로	반발/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
그동안	그동안/NNG
추진되지	추진/NNG+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.15.8.1
TPP는 11개국이 참여하는 자유무역협정이지만 미국과 일본이 전체 교역의 90% 이상을 차지해 사실상 미·일 FTA라는 평가를 받고 있다.

TPP는	TPP/SL+는/JX
11개국이	11/SN+개국/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
자유무역협정이지만	자유/NNG+무역/NNG+협정/NNG+이/VCP+지만/EC
미국과	미국/NNP+과/JC
일본이	일본/NNP+이/JKS
전체	전체/NNG
교역의	교역/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
차지해	차지/NNG+하/XSV+아/EC
사실상	사실/NNG+상/XSN
미·일	미/NNP+·/SP+일/NNP
FTA라는	FTA/SL+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.15.8.2
미국은 그동안 예외없는 관세 철폐를 TPP 참가 조건으로 내걸었다.

미국은	미국/NNP+은/JX
그동안	그동안/NNG
예외없는	예외/NNG+없/VA+는/ETM
관세	관세/NNG
철폐를	철폐/NNG+를/JKO
TPP	TPP/SL
참가	참가/NNG
조건으로	조건/NNG+으로/JKB
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.15.9.1
◇日 "센카쿠, 미국에 도움 요청 안해"

◇日	◇/SW+日/SH
"센카쿠,	"/SS+센카쿠/NNP+,/SP
미국에	미국/NNP+에/JKB
도움	도움/NNG
요청	요청/NNG
안해"	안/MAG+하/VV+아/EF+"/SS


# id : NWRW1800000038.15.10.1
아베 총리는 중국과 관련 "일본은 냉정하게 대처하겠다. 대립이 있어도 윈윈관계를 구축하고 싶다"고 말했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
중국과	중국/NNP+과/JKB
관련	관련/NNG
"일본은	"/SS+일본/NNP+은/JX
