# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.408
metadata : {}


# id : NWRW1800000036.408.1.1
새누리 “안철수 위선 드러났다”

새누리	새누리/NNP
“안철수	“/SS+안철수/NNP
위선	위선/NNG
드러났다”	드러나/VV+았/EP+다/EF+”/SS


# id : NWRW1800000036.408.2.1
[한겨레] ‘민주당 왜 침묵’ 한묶음 공세

[한겨레]	[/SS+한겨레/NNP+]/SS
‘민주당	‘/SS+민주당/NNP
왜	왜/MAG
침묵’	침묵/NNG+’/SS
한묶음	한/MMN+묶음/NNG
공세	공세/NNG


# id : NWRW1800000036.408.3.1
박근혜 캠프선 공식논평 안내

박근혜	박근혜/NNP
캠프선	캠프/NNG+서/JKB+ㄴ/JX
공식논평	공식/NNG+논평/NNG
안내	안내/NNG


# id : NWRW1800000036.408.4.1
새누리당은 27일 안철수 대선 후보(무소속) 부인의 다운계약서 작성에 관해 “안 후보의 위선이 드러났다”고 비판했다.

새누리당은	새누리당/NNP+은/JX
27일	27/SN+일/NNB
안철수	안철수/NNP
대선	대선/NNG
후보(무소속)	후보/NNG+(/SS+무/XPN+소속/NNG+)/SS
부인의	부인/NNG+의/JKG
다운계약서	다운/NNG+계약서/NNG
작성에	작성/NNG+에/JKB
관해	관하/VV+아/EC
“안	“/SS+안/NNP
후보의	후보/NNG+의/JKG
위선이	위선/NNG+이/JKS
드러났다”고	드러나/VV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.5.1
이철우 원내대변인은 논평을 내어 “그동안 착한 척, 깨끗한 척은 다 했던 안 후보가 왜 그간 대선 출마 입장에 관해 연막전술과 지연작전을 펴왔는지 오늘에야 비로소 알게 됐다”며 “안 후보는 더는 착한 안철수가 아니다”라고 말했다.

이철우	이철우/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
“그동안	“/SS+그동안/NNG
착한	착하/VA+ㄴ/ETM
척,	척/NNB+,/SP
깨끗한	깨끗하/VA+ㄴ/ETM
척은	척/NNB+은/JX
다	다/MAG
했던	하/VV+았/EP+던/ETM
안	안/NNP
후보가	후보/NNG+가/JKS
왜	왜/MAG
그간	그/NP+간/XSN
대선	대선/NNG
출마	출마/NNG
입장에	입장/NNG+에/JKB
관해	관하/VV+아/EC
연막전술과	연막전술/NNG+과/JC
지연작전을	지연작전/NNG+을/JKO
펴왔는지	펴/VV+어/EC+오/VX+았/EP+는지/EF
오늘에야	오늘/NNG+에/JKB+야/JX
비로소	비로소/MAG
알게	알/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“안	“/SS+안/NNP
후보는	후보/NNG+는/JX
더는	더/MAG+는/JX
안철수가	안철수/NNP+가/JKS
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.408.5.2
이 원내대변인은 “단 한 건의 위장전입으로 총리 후보가 낙마하고, 최근 김병화 대법관 후보자도 다운계약서 논란에 휘말려 낙마하기도 했다”며 “이 사건은 안 후보의 10초짜리 사과로 끝날 문제가 아니다.

이	이/MMD
원내대변인은	원내/NNG+대변인/NNG+은/JX
“단	“/SS+단/MMA
한	한/MMN
건의	건/NNB+의/JKG
위장전입으로	위장/NNG+전입/NNG+으로/JKB
총리	총리/NNG
후보가	후보/NNG+가/JKS
낙마하고,	낙마/NNG+하/XSV+고/EC+,/SP
최근	최근/MAG
김병화	김병화/NNP
대법관	대/XPN+법관/NNG
