# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.398
metadata : {}


# id : NWRW1800000024.398.1.1
미국인이 뽑은 역대 최고스타 마이클 조든

미국인이	미국인/NNG+이/JKS
뽑은	뽑/VV+은/ETM
역대	역대/NNG
최고스타	최고/NNG+스타/NNG
마이클	마이클/NNP
조든	조든/NNP


# id : NWRW1800000024.398.2.1
미국인들이 꼽은 역대 스포츠 스타 1위에 ‘농구황제’ 마이클 조든(46·은퇴)이 꼽혔다.

미국인들이	미국인/NNG+들/XSN+이/JKS
꼽은	꼽/VV+은/ETM
역대	역대/NNG
스포츠	스포츠/NNG
스타	스타/NNG
1위에	1/SN+위/NNB+에/JKB
‘농구황제’	‘/SS+농구/NNG+황제/NNG+’/SS
마이클	마이클/NNP
조든(46·은퇴)이	조든/NNP+(/SS+46/SN+·/SP+은퇴/NNG+)/SS+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.398.3.1
미국 여론조사기관인 해리스 인터랙티브는 지난 5~12일(한국시각) 누리집을 통해 18살 이상 성인 2293명을 대상으로 조사한 ‘역대 최고 스포츠 스타’ 설문조사 결과를 29일 발표했다.

미국	미국/NNP
여론조사기관인	여론/NNG+조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
해리스	해리스/NNP
인터랙티브는	인터랙티브/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5~12일(한국시각)	5/SN+~/SO+12/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
누리집을	누리집/NNG+을/JKO
통해	통하/VV+아/EC
18살	18/SN+살/NNB
이상	이상/NNG
성인	성인/NNG
2293명을	2293/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
‘역대	‘/SS+역대/NNG
최고	최고/NNG
스포츠	스포츠/NNG
스타’	스타/NNG+’/SS
설문조사	설문/NNG+조사/NNG
결과를	결과/NNG+를/JKO
29일	29/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.398.4.1
‘당신이 아는 2명의 위대한 스포츠 스타를 꼽아달라’란 설문에 미국인들은 마이클 조든을 제일 많이 꼽았고, ‘골프황제’ 타이거 우즈(34·미국)와 메이저리그 ‘전설의 홈런왕’ 베이브 루스(사망·미국)가 뒤를 이었다.

‘당신이	‘/SS+당신/NP+이/JKS
아는	알/VV+는/ETM
2명의	2/SN+명/NNB+의/JKG
위대한	위대하/VA+ㄴ/ETM
스포츠	스포츠/NNG
스타를	스타/NNG+를/JKO
꼽아달라’란	꼽/VV+아/EC+달/VX+라/EF+’/SS+란/ETM
설문에	설문/NNG+에/JKB
미국인들은	미국인/NNG+들/XSN+은/JX
마이클	마이클/NNP
조든을	조든/NNP+을/JKO
제일	제일/MAG
많이	많이/MAG
꼽았고,	꼽/VV+았/EP+고/EC+,/SP
‘골프황제’	‘/SS+골프/NNG+황제/NNG+’/SS
