# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.6
metadata : {}


# id : NWRW1800000056.6.1.1
[단독] 자영업자 대출 사상 첫 500조원 돌파

[단독]	[/SS+단독/NNG+]/SS
자영업자	자영업자/NNG
대출	대출/NNG
사상	사상/NNG
첫	첫/MMN
500조원	500/SN+조/NR+원/NNB
돌파	돌파/NNG


# id : NWRW1800000056.6.2.1
[한겨레] 신용평가사 나이스의 자영업자 2012~2016년 대출 현황

[한겨레]	[/SS+한겨레/NNP+]/SS
신용평가사	신용/NNG+평가사/NNG
나이스의	나이스/NNP+의/JKG
자영업자	자영업자/NNG
2012~2016년	2012/SN+~/SO+2016/SN+년/NNB
대출	대출/NNG
현황	현황/NNG


# id : NWRW1800000056.6.3.1
자영업자 대출이 지난해 말 520조원대로 처음 500조원을 넘어서며 사상 최대치를 기록한 것으로 확인됐다.

자영업자	자영업자/NNG
대출이	대출/NNG+이/JKS
지난해	지난해/NNG
말	말/NNB
520조원대로	520/SN+조/NR+원/NNB+대/XSN+로/JKB
처음	처음/NNG
500조원을	500/SN+조/NR+원/NNB+을/JKO
넘어서며	넘어서/VV+며/EC
사상	사상/NNG
최대치를	최대/NNG+치/XSN+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.6.3.2
최근 한국은행에서 공식 발표한 수치보다 무려 40조원가량 많은 것이다.

최근	최근/MAG
한국은행에서	한국은행/NNP+에서/JKB
공식	공식/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
수치보다	수치/NNG+보다/JKB
무려	무려/MAG
40조원가량	40/SN+조/NR+원/NNB+가량/XSN
많은	많/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.6.3.3
현행 통계 편재상 일부가 기업대출에 들어가는 자영업자 대출은 가계부채의 증가 속도를 크게 웃돈다.

현행	현행/NNG
통계	통계/NNG
편재상	편재/NNG+상/XSN
일부가	일부/NNG+가/JKS
기업대출에	기업/NNG+대출/NNG+에/JKB
들어가는	들어가/VV+는/ETM
자영업자	자영업자/NNG
대출은	대출/NNG+은/JX
가계부채의	가계/NNG+부채/NNG+의/JKG
증가	증가/NNG
속도를	속도/NNG+를/JKO
크게	크/VA+게/EC
웃돈다.	웃돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.6.3.4
경기 침체로 고용시장에서 밀려난 이들이 빚을 내어 생계형 자영업으로 밀려드는데다 시중금리도 상승기에 접어들면서 자영업자 대출의 부실 위험성이 커지고 있다.

경기	경기/NNG
침체로	침체/NNG+로/JKB
고용시장에서	고용/NNG+시장/NNG+에서/JKB
밀려난	밀려나/VV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
빚을	빚/NNG+을/JKO
내어	내/VV+어/EC
생계형	생계/NNG+형/XSN
자영업으로	자영업/NNG+으로/JKB
밀려드는데다	밀려들/VV+는/ETM+데/NNB+다/JX
시중금리도	시중/NNG+금리/NNG+도/JX
상승기에	상승기/NNG+에/JKB
접어들면서	접어들/VV+면서/EC
자영업자	자영업자/NNG
대출의	대출/NNG+의/JKG
부실	부실/NNG
위험성이	위험/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.6.4.1
지난해 말 기준 520조1419억원

지난해	지난해/NNG
말	말/NNB
기준	기준/NNG
520조1419억원	520/SN+조/NR+1419/SN+억/NR+원/NNB


# id : NWRW1800000056.6.5.1
한은 발표치보다 40조원이나 많아

한은	한은/NNP
