# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.132
metadata : {}


# id : NWRW1800000025.132.1.1
[부산/경남]울산 일산-진하해수욕장 6월 26일-7월 3일 개장

[부산/경남]울산	[/SS+부산/NNP+//SP+경남/NNP+]/SS+울산/NNP
일산-진하해수욕장	일산/NNP+-/SO+진하해수욕장/NNP
6월	6/SN+월/NNB
26일-7월	26/SN+일/NNB+-/SO+7/SN+월/NNB
3일	3/SN+일/NNB
개장	개장/NNG


# id : NWRW1800000025.132.2.1
울산시는 동구 일산해수욕장과 울주군 진하해수욕장을 조기 개장한다고 11일 밝혔다.

울산시는	울산시/NNP+는/JX
동구	동구/NNP
일산해수욕장과	일산해수욕장/NNP+과/JC
울주군	울주군/NNP
진하해수욕장을	진하해수욕장/NNP+을/JKO
조기	조기/NNG
개장한다고	개장/NNG+하/XSV+ㄴ다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.132.2.2
시에 따르면 일산해수욕장은 6월 26일부터 8월 22일까지, 진하해수욕장은 7월 3일부터 8월 23일까지 각각 개장할 예정이다.

시에	시/NNG+에/JKB
따르면	따르/VV+면/EC
일산해수욕장은	일산해수욕장/NNP+은/JX
6월	6/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
8월	8/SN+월/NNB
22일까지,	22/SN+일/NNB+까지/JX+,/SP
진하해수욕장은	진하해수욕장/NNP+은/JX
7월	7/SN+월/NNB
3일부터	3/SN+일/NNB+부터/JX
23일까지	23/SN+일/NNB+까지/JX
각각	각각/MAG
개장할	개장/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.132.2.3
지난해보다 일주일가량 앞당겨 개장하는 것.

지난해보다	지난해/NNG+보다/JKB
일주일가량	일주일/NNG+가량/XSN
앞당겨	앞당기/VV+어/EC
개장하는	개장/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.132.2.4
진하해수욕장은 백사장 길이 2km, 폭 48m, 면적 9만6000여 m²(약 2만9000평)로 하루 최대 수용능력은 5만 명이다.

진하해수욕장은	진하해수욕장/NNP+은/JX
백사장	백사장/NNG
길이	길이/NNG
2km,	2/SN+km/SW+,/SP
폭	폭/NNG
48m,	48/SN+m/SW+,/SP
면적	면적/NNG
9만6000여	9/SN+만/NR+6000/SN+여/XSN
m²(약	m²/SW+(/SS+약/MMA
2만9000평)로	2/SN+만/NR+9000/SN+평/NNB+)/SS+로/JKB
하루	하루/NNG
최대	최대/NNG
수용능력은	수용/NNG+능력/NNG+은/JX
5만	5/SN+만/NR
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.132.2.5
일산해수욕장은 백사장 길이 600여 m, 폭 50m, 면적 3만여 m²(약 9000평)로 하루 약 1만 명을 수용할 수 있다.

일산해수욕장은	일산해수욕장/NNP+은/JX
백사장	백사장/NNG
길이	길이/NNG
600여	600/SN+여/XSN
m,	m/SW+,/SP
폭	폭/NNG
50m,	50/SN+m/SW+,/SP
면적	면적/NNG
3만여	3/SN+만/NR+여/XSN
m²(약	m²/SW+(/SS+약/MMA
9000평)로	9000/SN+평/NNB+)/SS+로/JKB
하루	하루/NNG
약	약/MMA
1만	1/SN+만/NR
명을	명/NNB+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


