# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.69
metadata : {}


# id : NWRW1800000029.69.1.1
줄어들던 연체자 다시 늘었다… 경기둔화에 대출 옥죄기 겹쳐 ‘연체대란’ 우려

줄어들던	줄어들/VV+던/ETM
연체자	연체자/NNG
다시	다시/MAG
늘었다…	늘/VV+었/EP+다/EF+…/SE
경기둔화에	경기/NNG+둔화/NNG+에/JKB
대출	대출/NNG
옥죄기	옥죄/VV+기/ETN
겹쳐	겹치/VV+어/EC
‘연체대란’	‘/SS+연체/NNG+대란/NNG+’/SS
우려	우려/NNG


# id : NWRW1800000029.69.2.1
올해 들어 금융권 연체자가 20만 명 가까이 늘어난 것으로 나타났다.

올해	올해/NNG
들어	들/VV+어/EC
금융권	금융/NNG+권/XSN
연체자가	연체자/NNG+가/JKS
20만	20/SN+만/NR
명	명/NNB
가까이	가까이/MAG
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.69.2.2
은행권의 대출 억제와 글로벌 경기침체로 연체자 수는 더욱 늘어날 전망이어서 내년에는 ‘연체대란’이 일어나는 것 아니냐는 우려마저 나오고 있다.

은행권의	은행/NNG+권/XSN+의/JKG
대출	대출/NNG
억제와	억제/NNG+와/JC
글로벌	글로벌/NNG
경기침체로	경기/NNG+침체/NNG+로/JKB
연체자	연체자/NNG
수는	수/NNG+는/JX
더욱	더욱/MAG
늘어날	늘어나/VV+ㄹ/ETM
전망이어서	전망/NNG+이/VCP+어서/EC
내년에는	내년/NNG+에/JKB+는/JX
‘연체대란’이	‘/SS+연체/NNG+대란/NNG+’/SS+이/JKS
일어나는	일어나/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려마저	우려/NNG+마저/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.69.2.3
18일 금융권 및 나이스신용평가정보에 따르면 지난해 12월 91만9570명이던 금융기관 연체자는 올해 6월 109만8878명으로 늘어 반년 새 17만9308명(19.5%) 증가했다.

18일	18/SN+일/NNB
금융권	금융/NNG+권/XSN
및	및/MAG
나이스신용평가정보에	나이스신용평가정보/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
12월	12/SN+월/NNB
91만9570명이던	91/SN+만/NR+9570/SN+명/NNB+이/VCP+던/ETM
금융기관	금융/NNG+기관/NNG
연체자는	연체자/NNG+는/JX
올해	올해/NNG
6월	6/SN+월/NNB
109만8878명으로	109/SN+만/NR+8878/SN+명/NNB+으로/JKB
늘어	늘/VV+어/EC
반년	반년/NNG
새	새/NNG
17만9308명(19.5%)	17/SN+만/NR+9308/SN+명/NNB+(/SS+19/SN+./SP+5/SN+%/SW+)/SS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.69.3.1
이는 2008년 말 글로벌 금융위기 후 연체자가 지속적으로 줄던 추세가 처음으로 반전된 것이다.

이는	이/NP+는/JX
2008년	2008/SN+년/NNB
말	말/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
후	후/NNG
연체자가	연체자/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
줄던	줄/VV+던/ETM
추세가	추세/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
반전된	반전/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.69.3.2
2008년 말 121만4731명에 이른 연체자는 2009년 말 103만2630명으로 약 18만 명 감소한 데 이어 지난해에도 11만 명가량 줄었다.

2008년	2008/SN+년/NNB
말	말/NNB
121만4731명에	121/SN+만/NR+4731/SN+명/NNB+에/JKB
이른	이르/VV+ㄴ/ETM
연체자는	연체자/NNG+는/JX
2009년	2009/SN+년/NNB
103만2630명으로	103/SN+만/NR+2630/SN+명/NNB+으로/JKB
약	약/MMA
18만	18/SN+만/NR
명	명/NNB
감소한	감소/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
지난해에도	지난해/NNG+에/JKB+도/JX
11만	11/SN+만/NR
명가량	명/NNB+가량/XSN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.3
연체자가 늘면서 연체율도 높아지고 있다.

연체자가	연체자/NNG+가/JKS
늘면서	늘/VV+면서/EC
연체율도	연체/NNG+율/XSN+도/JX
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.69.3.4
일부 시중은행의 연체율은 이미 글로벌 금융위기 당시 수준을 넘어섰다.

일부	일부/NNG
시중은행의	시중/NNG+은행/NNG+의/JKG
연체율은	연체/NNG+율/XSN+은/JX
이미	이미/MAG
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
당시	당시/NNG
수준을	수준/NNG+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.69.3.5
금융위기 후 우리은행의 가계대출 연체율은 2009년 3월 말 0.60%로 최고조에 달했다가 지난해 말 0.47%까지 낮아졌다.

금융위기	금융/NNG+위기/NNG
후	후/NNG
우리은행의	우리은행/NNP+의/JKG
가계대출	가계/NNG+대출/NNG
연체율은	연체/NNG+율/XSN+은/JX
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
말	말/NNB
0.60%로	0/SN+./SP+60/SN+%/SW+로/JKB
