# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.100
metadata : {}


# id : NWRW1800000049.100.1.1
[책의 향기]트로트부터 클래식까지… 방대한 樂書의 바다로

[책의	[/SS+책/NNG+의/JKG
향기]트로트부터	향기/NNG+]/SS+트로트/NNG+부터/JX
클래식까지…	클래식/NNG+까지/JX+…/SE
방대한	방대하/VA+ㄴ/ETM
樂書의	樂書/SH+의/JKG
바다로	바다/NNG+로/JKB


# id : NWRW1800000049.100.2.1
◇장정일의 악서총람/장정일 지음/592쪽·1만7800원·책세상

◇장정일의	◇/SW+장정일/NNP+의/JKG
악서총람/장정일	악서/NNG+총람/NNG+//SP+장정일/NNP
지음/592쪽·1만7800원·책세상	짓/VV+음/ETN+//SP+592/SN+쪽/NNG+·/SP+1/SN+만/NR+7800/SN+원/NNB+·/SP+책세상/NNP


# id : NWRW1800000049.100.3.1
먼저, 음반도 책도 잘 안 팔리는 시대에 ‘음악에 관한 책들에 관한 책’을 내놓은 저자와 출판사의 배포에 박수부터 보낸다.

먼저,	먼저/MAG+,/SP
음반도	음반/NNG+도/JX
책도	책/NNG+도/JX
잘	잘/MAG
안	안/MAG
팔리는	팔리/VV+는/ETM
시대에	시대/NNG+에/JKB
‘음악에	‘/SS+음악/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
책들에	책/NNG+들/XSN+에/JKB
책’을	책/NNG+’/SS+을/JKO
내놓은	내놓/VV+은/ETM
저자와	저자/NNG+와/JC
출판사의	출판사/NNG+의/JKG
배포에	배포/NNG+에/JKB
박수부터	박수/NNG+부터/JX
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.100.3.2
문학가이자 음악 마니아인 저자의 음악서적 독후감 모음집이다.

문학가이자	문학가/NNG+이/VCP+자/EC
음악	음악/NNG
마니아인	마니아/NNG+이/VCP+ㄴ/ETM
저자의	저자/NNG+의/JKG
음악서적	음악/NNG+서적/NNG
독후감	독후감/NNG
모음집이다.	모음집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.100.4.1
이 책이 소개하는 책은 무려 170권이 넘는다.

이	이/MMD
책이	책/NNG+이/JKS
소개하는	소개/NNG+하/XSV+는/ETM
책은	책/NNG+은/JX
무려	무려/MAG
170권이	170/SN+권/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000049.100.4.2
트로트부터 팝, 록, 재즈, 클래식, 국악까지 다양한 음악사를 꿰뚫으며 독후감을 늘어놓는 탓에 음악 마니아 아닌 독자는 버거울 수도 있다.

트로트부터	트로트/NNG+부터/JX
팝,	팝/NNG+,/SP
록,	록/NNG+,/SP
재즈,	재즈/NNG+,/SP
클래식,	클래식/NNG+,/SP
국악까지	국악/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
음악사를	음악사/NNG+를/JKO
꿰뚫으며	꿰뚫/VV+으며/EC
독후감을	독후감/NNG+을/JKO
늘어놓는	늘어놓/VV+는/ETM
탓에	탓/NNG+에/JKB
음악	음악/NNG
마니아	마니아/NNG
아닌	아니/VCN+ㄴ/ETM
독자는	독자/NNG+는/JX
버거울	버겁/VA+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.100.4.3
그런데 책장은 제법 술술 넘어가게끔 돼 있다.

그런데	그런데/MAJ
책장은	책장/NNG+은/JX
제법	제법/MAG
술술	술술/MAG
넘어가게끔	넘어가/VV+게끔/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.100.4.4
챕터별 분량이 5, 6쪽으로 짧게, 짧게 토막 나 있기 때문이다.

챕터별	챕터/NNG+별/XSN
분량이	분량/NNG+이/JKS
5,	5/SN+,/SP
6쪽으로	6/SN+쪽/NNG+으로/JKB
짧게,	짧/VA+게/EC+,/SP
짧게	짧/VA+게/EC
토막	토막/NNG
나	나/VV+아/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.100.4.5
재즈 전문 월간지 ‘엠엠재즈’에 연재된 ‘장정일의 음서(음악서적) 이야기’를 모은 게 내용의 대부분이어서다.

재즈	재즈/NNG
전문	전문/NNG
월간지	월간지/NNG
‘엠엠재즈’에	‘/SS+엠엠재즈/NNP+’/SS+에/JKB
연재된	연재/NNG+되/XSV+ㄴ/ETM
‘장정일의	‘/SS+장정일/NNP+의/JKG
음서(음악서적)	음서/NNG+(/SS+음악/NNG+서적/NNG+)/SS
이야기’를	이야기/NNG+’/SS+를/JKO
모은	모으/VV+ㄴ/ETM
게	거/NNB+이/JKS
내용의	내용/NNG+의/JKG
대부분이어서다.	대/XPN+부분/NNG+이/VCP+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.100.5.1
제목이 ‘딱’이다.

제목이	제목/NNG+이/JKS
‘딱’이다.	‘/SS+딱/MAG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.100.5.2
다루는 음악서적의 범주가 방대하다.

다루는	다루/VV+는/ETM
음악서적의	음악/NNG+서적/NNG+의/JKG
범주가	범주/NNG+가/JKS
방대하다.	방대하/VA+다/EF+./SF


# id : NWRW1800000049.100.5.3
국내에 우리말로 나온 음악서적은 거의 다 소개했다.

국내에	국내/NNG+에/JKB
우리말로	우리말/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
음악서적은	음악/NNG+서적/NNG+은/JX
거의	거의/MAG
다	다/MAG
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.100.5.4
‘존 레넌’ ‘마일스 데이비스’ ‘에디트 피아프’ 같은 음악가 평전, ‘호모 무지쿠스’ ‘서양음악사와 여성’ 같은 학술서가 많지만 ‘꿈꾸는 책들의 도시’ ‘콘트라베이스’ ‘와이키키 브라더스’ ‘매디슨 카운티의 다리’ 같은 소설 속에 녹아있는 음악 흔적들도 추출해 늘어놓는다.

‘존	‘/SS+존/NNP
레넌’	레넌/NNP+’/SS
‘마일스	‘/SS+마일스/NNP
데이비스’	데이비스/NNP+’/SS
‘에디트	‘/SS+에디트/NNP
피아프’	피아프/NNP+’/SS
같은	같/VA+은/ETM
음악가	음악가/NNG
평전,	평전/NNG+,/SP
‘호모	‘/SS+호모/NNP
무지쿠스’	무지쿠스/NNP+’/SS
‘서양음악사와	‘/SS+서양/NNG+음악사/NNG+와/JC
여성’	여성/NNG+’/SS
학술서가	학술서/NNG+가/JKS
많지만	많/VA+지만/EC
‘꿈꾸는	‘/SS+꿈꾸/VV+는/ETM
책들의	책/NNG+들/XSN+의/JKG
도시’	도시/NNG+’/SS
‘콘트라베이스’	‘/SS+콘트라베이스/NNP+’/SS
‘와이키키	‘/SS+와이키키/NNP
브라더스’	브라더스/NNP+’/SS
‘매디슨	‘/SS+매디슨/NNP
카운티의	카운티/NNG+의/JKG
다리’	다리/NNG+’/SS
소설	소설/NNG
속에	속/NNG+에/JKB
녹아있는	녹/VV+아/EC+있/VX+는/ETM
음악	음악/NNG
흔적들도	흔적/NNG+들/XSN+도/JX
추출해	추출/NNG+하/XSV+아/EC
늘어놓는다.	늘어놓/VV+는다/EF+./SF


# id : NWRW1800000049.100.5.5
저자는 여러 장을 할애해 헤르만 헤세를 음악의 성자라고 부르며 그의 장편소설 속에 음악이 흐르지 않는 경우는 ‘싯다르타’ ‘나르치스와 골드문트’뿐이라고 짚어내기도 한다.

저자는	저자/NNG+는/JX
여러	여러/MMN
장을	장/NNG+을/JKO
할애해	할애/NNG+하/XSV+아/EC
헤르만	헤르만/NNP
헤세를	헤세/NNP+를/JKO
음악의	음악/NNG+의/JKG
성자라고	성자/NNG+이/VCP+라고/EC
부르며	부르/VV+며/EC
그의	그/NP+의/JKG
장편소설	장편/NNG+소설/NNG
속에	속/NNG+에/JKB
음악이	음악/NNG+이/JKS
흐르지	흐르/VV+지/EC
않는	않/VX+는/ETM
경우는	경우/NNG+는/JX
‘싯다르타’	‘/SS+싯다르타/NNP+’/SS
‘나르치스와	‘/SS+나르치스/NNP+와/JC
골드문트’뿐이라고	골드문트/NNP+’/SS+뿐/JX+이/VCP+라고/EC
짚어내기도	짚/VV+어/EC+내/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.100.6.1
책의 줄거리와 중심 주제 설명은 친절하지만 강단 있는 작가의 독후감인 만큼 글에 넘치는 기개 역시 재밋거리다.

책의	책/NNG+의/JKG
줄거리와	줄거리/NNG+와/JC
중심	중심/NNG
주제	주제/NNG
설명은	설명/NNG+은/JX
친절하지만	친절/NNG+하/XSA+지만/EC
강단	강단/NNG
있는	있/VA+는/ETM
작가의	작가/NNG+의/JKG
독후감인	독후감/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
글에	글/NNG+에/JKB
넘치는	넘치/VV+는/ETM
기개	기개/NNG
역시	역시/MAG
재밋거리다.	재밋거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.100.6.2
이를테면 ‘에릭 클랩턴’ 챕터는 이렇게 시작한다.

이를테면	이를테면/MAG
‘에릭	‘/SS+에릭/NNP
클랩턴’	클랩턴/NNP+’/SS
챕터는	챕터/NNG+는/JX
이렇게	이렇/VA+게/EC
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.100.6.3
‘…원래 신이란 믿거나 안 믿거나 양단간의 문제지, 궁금하고 자시고 할 게 없다.

‘…원래	‘/SS+…/SE+원래/MAG
신이란	신/NNG+이란/JX
믿거나	믿/VV+거나/EC
안	안/MAG
양단간의	양단/NNG+간/XSN+의/JKG
문제지,	문제/NNG+이/VCP+지/EC+,/SP
궁금하고	궁금하/VA+고/EC
자시고	자시/VV+고/EC
할	하/VX+ㄹ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.100.6.4
그러므로 그의 자서전을 읽는 사람들은 믿음이 부족한 자들이라고 해야겠다.’

그러므로	그러므로/MAJ
그의	그/NP+의/JKG
자서전을	자서전/NNG+을/JKO
읽는	읽/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
믿음이	믿음/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
자들이라고	자/NNB+들/XSN+이/VCP+라고/EC
해야겠다.’	하/VV+아야/EC+하/VX+겠/EP+다/EF+./SF+’/SS


